focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_cca,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA107_ANT-F21_scaffold_100-cat_2,cat_2,TRUE
Bs_cca,CSUsets,Frack_STACK,1,VIRSorter_MC_6_XL_VIRSorter_scaffold_29-cat_2-cat_2,cat_2,TRUE
Bs_cca,CSUsets,Fractured_shale,1,VIRSorter_shale_MC_6_XL_scaffold_29-cat_2,cat_2,TRUE
Bs_cca,CSUsets,Fractured_shale,2,VIRSorter_shale_S_input_FT_scaffold_0_trim_2-cat_2,cat_2,TRUE
Bs_cca,CSUsets,Fractured_shale,3,VIRSorter_shale_S_input_FT_scaffold_192-cat_2,cat_2,TRUE
Bs_cca,CSUsets,Huttenhower,1,VIRSorter_2060_megahit_k119_13652_flag_0_multi_150_1654_len_110323-cat_2,cat_2,FALSE
Bs_cca,CSUsets,Huttenhower,2,VIRSorter_2084_megahit_k119_220785_flag_0_multi_20_9744_len_15725-cat_2,cat_2,FALSE
Bs_cca,CSUsets,Stordalen_mire,1,VIRSorter_JE_permafrost_QGNH01000221_1-cat_2,cat_2,FALSE
Bs_cca,CSUsets,Stordalen_mire,2,VIRSorter_JE_permafrost_QGNH01000674_1-cat_2,cat_2,MAYBE
Bs_cca,GPD,Camarillo-Guerrero,1,ivig_1689,NA,MAYBE
Bs_cca,GPD,Camarillo-Guerrero,2,ivig_2088,NA,MAYBE
Bs_cca,GPD,Camarillo-Guerrero,3,ivig_3981,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,4,uvig_100106,NA,FALSE
Bs_cca,GPD,Camarillo-Guerrero,5,uvig_10060,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,6,uvig_100687,NA,MAYBE
Bs_cca,GPD,Camarillo-Guerrero,7,uvig_101028,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,8,uvig_101127,NA,FALSE
Bs_cca,GPD,Camarillo-Guerrero,9,uvig_101162,NA,MAYBE
Bs_cca,GPD,Camarillo-Guerrero,10,uvig_101531,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,11,uvig_102074,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,12,uvig_102198,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,13,uvig_103398,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,14,uvig_10366,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,15,uvig_103871,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,16,uvig_104593,NA,TRUE
Bs_cca,GPD,Camarillo-Guerrero,17,uvig_105583,NA,TRUE
