gene_id,spor_gene,unkownSpor_host,nonSpor_host,spor_host,q,m,n,k,p.val,p.adj,significant
K00133,sporulation_gene,1029,84,595,595,25630,27634,679,1.1113e-106,4.030599999999999e-106,TRUE
K00134,sporulation_gene,688,112,200,200,25630,27634,312,4.4487e-9,1.4337e-8,TRUE
K00390,sporulation_gene,4562,1076,1908,1908,25630,27634,2984,5.954699999999999e-72,2.1465999999999996e-71,TRUE
K00640,sporulation_gene,148,28,150,150,25630,27634,178,1.461e-24,5.0963e-24,TRUE
K00703,sporulation_gene,56,13,88,88,25630,27634,101,2.5854e-17,8.8112e-17,TRUE
K00820,sporulation_gene,112,23,79,79,25630,27634,102,3.1673e-10,1.0348e-9,TRUE
K00974,sporulation_gene,637,0,213,213,25630,27634,213,0,0,TRUE
K00975,sporulation_gene,36,10,57,57,25630,27634,67,4.9489e-11,1.6349e-10,TRUE
K01142,sporulation_gene,97,14,58,58,25630,27634,72,3.0751e-9,9.9375e-9,TRUE
K01356,sporulation_gene,4394,229,1359,1359,25630,27634,1588,1.780799999999999e-221,6.559099999999996e-221,TRUE
K01449,sporulation_gene,3298,57,1005,1005,25630,27634,1062,2.2993999999999993e-246,8.495599999999996e-246,TRUE
K01714,sporulation_gene,755,85,190,190,25630,27634,275,5.8369e-13,1.95e-12,TRUE
K01770,sporulation_gene,55,11,45,45,25630,27634,56,1.4957e-7,4.6805e-7,TRUE
K02049,sporulation_gene,658,8,176,176,25630,27634,184,5.8134e-47,2.0642999999999997e-46,TRUE
K02050,sporulation_gene,210,8,82,82,25630,27634,90,3.3082e-19,1.1406e-18,TRUE
K02051,sporulation_gene,464,28,412,412,25630,27634,440,2.787599999999999e-97,1.0079999999999998e-96,TRUE
K02343,sporulation_gene,1466,32,180,180,25630,27634,212,6.856e-30,2.4127999999999997e-29,TRUE
K02647,sporulation_gene,233,4,34,34,25630,27634,38,9.5867e-9,3.0564e-8,TRUE
K03086,sporulation_gene,1051,105,237,237,25630,27634,342,6.2498e-16,2.1118e-15,TRUE
K03091,sporulation_gene,978,38,633,633,25630,27634,671,3.0125999999999996e-153,1.1061999999999997e-152,TRUE
K03310,sporulation_gene,119,12,61,61,25630,27634,73,6.0722e-11,1.9949e-10,TRUE
K03324,sporulation_gene,94,11,54,54,25630,27634,65,9.954e-10,3.2344e-9,TRUE
K03466,sporulation_gene,838,222,458,458,25630,27634,680,8.004900000000001e-25,2.8005000000000002e-24,TRUE
K03469,sporulation_gene,2888,811,1479,1479,25630,27634,2290,1.7855999999999999e-59,6.3595e-59,TRUE
K03496,sporulation_gene,3408,325,2923,2923,25630,27634,3248,0,0,TRUE
