gene_id,category
K00133,metabolic_enzyme
K00134,metabolic_enzyme
K00390,metabolic_enzyme
K00640,metabolic_enzyme
K00703,metabolic_enzyme
K00820,metabolic_enzyme
K00974,information
K00975,metabolic_enzyme
K01142,information
K01356,regulation
K01449,cell_wall
K01714,metabolic_enzyme
K01770,metabolic_enzyme
K02049,transporter
K02050,transporter
K02051,transporter
K02343,information
K03086,regulation
K03091,regulation
K03310,transporter
K03324,transporter
K03466,cell_division
K03469,information
K03496,cell_division
K03497,cell_division
K03588,cell_wall
K03664,information
K03698,information
K04769,regulation
K06131,metabolic_enzyme
K06283,regulation
K06284,regulation
K06333,spore_structure
K06334,spore_structure
K06381,cell_wall
K06383,regulation
K06396,transporter
K06406,germination
K06407,germination
K06409,cell_wall
K06412,regulation
K06901,transporter
K07171,other
K07175,other
K07258,cell_wall
K07699,regulation
K07738,regulation
K08384,cell_wall
K09747,information
K10979,information
K11751,metabolic_enzyme
K15633,metabolic_enzyme
K18889,transporter
K20118,transporter
