organism,keggID,taxID,lineage,seqID,domain,phylum,class,order,family,genus
mpc,T01508,TAX:491952,Bacteria; Proteobacteria; Gammaproteobacteria; Oceanospirillales; Oceanospirillaceae; Marinomonas,GB:CP002771,Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Oceanospirillaceae, Marinomonas
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
bsu,T00010,TAX:224308,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus,RS:NC_000964 (GB:AL009126),Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
