gtdb_d,gtdb_p,gtdb_c,gtdb_o,gtdb_f,f_spor
d__Bacteria,p__Firmicutes,c__Alicyclobacillia,o__Alicyclobacillales,f__Acidibacillaceae,NA
d__Bacteria,p__Firmicutes,c__Alicyclobacillia,o__Alicyclobacillales,f__Alicyclobacillaceae,TRUE
d__Bacteria,p__Firmicutes,c__Alicyclobacillia,o__Kyrpidiales,f__Kyrpidiaceae,TRUE
d__Bacteria,p__Firmicutes,c__Alicyclobacillia,o__Tumebacillales,f__Effusibacillaceae,TRUE
d__Bacteria,p__Firmicutes,c__Alicyclobacillia,o__Tumebacillales,f__Tumebacillaceae,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Acholeplasmatales,f__Acholeplasmataceae,NA
d__Bacteria,p__Firmicutes,c__Bacilli,o__Acholeplasmatales,f__Anaeroplasmataceae,FALSE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Acholeplasmatales,f__UBA5453,NA
d__Bacteria,p__Firmicutes,c__Bacilli,o__Acholeplasmatales,f__WRBM01,NA
d__Bacteria,p__Firmicutes,c__Bacilli,o__Aneurinibacillales,f__Aneurinibacillaceae,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Aneurinibacillales,f__RAOX-1,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Aeribacillaceae,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Anoxybacillaceae,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_G,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_H,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_I,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae_L,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__HMF5848,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__SA4,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_A,f__Planococcaceae,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__Bacillaceae_B,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__Bacillaceae_C,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__Bacillaceae_K,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__Caldibacillaceae,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__Caldibacillaceae_A,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__Domibacillaceae,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__DSM-1321,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__DSM-18226,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__DSM-25281,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_B,f__Jeotgalibacillaceae,FALSE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_C,f__Bacillaceae_J,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_C,f__Bacillaceae_N,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_D,f__Alkalibacillaceae,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_D,f__Amphibacillaceae,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_D,f__Bacillaceae_O,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_D,f__DSM-28697,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_D,f__Halobacillaceae,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_E,f__Massilibacteriaceae,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_E,f__SA5d-4,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_F,f__Bacillaceae_M,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_G,f__Anaerobacillaceae_A,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_G,f__Fictibacillaceae,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_G,f__Sporolactobacillaceae,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_G,f__UBA6769,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_H,f__Anaerobacillaceae,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_H,f__Bacillaceae_D,TRUE
d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales_H,f__Bacillaceae_F,TRUE
