GI,Regulators,Regulators2
GI:255767207,sigF,
GI:255767204,sigE,
GI:16079873,sigF,
GI:16080099,sigG,
GI:16078079,sigE,
GI:255767509,sigF,
GI:255767506,sigG,
GI:16078005,sigE,
GI:255767181,sigE,
GI:255767182,sigE,
GI:255767502,sigE,
GI:16079301,sigE,
GI:16080557,sigG,
GI:16077084,sigE,
GI:16077248,sigE,
GI:16077069,spo0A,
GI:16077408,sigE,
GI:16077409,sigF,sigG
GI:16078932,sigG,
GI:255767726,sigE,
GI:16078547,sigE,
GI:16078861,sigG,
GI:16078860,sigE,sigK
GI:16078862,sigG,
GI:16078865,sigF,sigG
GI:16079590,sigE,
GI:16078510,sigE,
GI:16078513,spo0A,
GI:16079026,sigE,
GI:16079027,sigE,
GI:16079024,sigE,
GI:16079025,sigE,sigK
GI:16079010,sigK,
GI:255767500,unknown,
GI:255767505,sigG,
GI:255767504,sigG,
GI:255767507,sigG,
GI:255767040,sigE,
GI:16079018,sigK,
GI:16078463,spo0A,
GI:16078468,sigK,
GI:16080155,sigE,
GI:16080150,sigE,
GI:16078244,sigE,
GI:16078241,sigK,
GI:16078240,sigE,sigK
GI:16078243,sigK,
GI:16078242,sigK,
GI:16078643,sigE,sigG
GI:16078644,sigE,
GI:16078889,sigE,sigK
GI:16078883,sigE,
GI:16078881,sigE,
GI:16078887,sigE,
GI:16078886,sigE,
GI:16078885,sigE,
GI:16078884,sigE,
GI:255767265,sigK,
GI:255767260,sigE,
GI:255767668,sigE,
GI:255767405,sigE,
GI:255767406,sigF,
GI:255767407,sigK,
GI:255767408,sigE,sigK
GI:16081115,sigE,
GI:16077128,sigE,
GI:255767315,sigE,
GI:16079845,spo0A,
GI:255767089,sigG,
GI:255767087,sigE,
GI:16077276,sigG,
GI:16077272,sigG,
GI:16077875,sigK,
GI:16077878,sigG,
GI:16079614,sigE,
GI:16080631,sigG,
GI:16077478,sigK,
GI:16079968,sigE,
GI:16078119,sigE,
GI:16077129,sigE,
GI:16077983,sigG,
GI:16077988,sigE,sigG
GI:16077697,sigK,
GI:16077696,sigE,
GI:16077695,sigE,
GI:16080840,sigE,sigK
GI:16078058,sigE,
GI:16080439,sigE,
GI:16077123,sigF,
GI:16079053,sigG,
GI:16079691,sigK,
GI:16079278,sigK,
GI:16078297,sigE,sigG
GI:16079850,sigE,
GI:16080843,sigE,
GI:255767044,sigE,
GI:16079470,sigE,
GI:16079473,sigE,
GI:16079303,sigE,
GI:16079302,sigE,
GI:16079307,sigE,
GI:16079306,sigE,
GI:16079305,sigE,
GI:16077124,sigF,sigG
GI:16078658,sigK,
GI:16078654,sigK,
GI:16078092,sigF,
GI:16078093,sigE,
GI:16078095,sigE,
GI:255767070,sigE,
GI:255767272,sigE,
GI:255767278,sigE,
GI:255767672,sigE,
GI:255767670,sigE,
GI:255767675,sigE,
GI:255767674,sigE,
GI:16080450,unknown,
GI:16077092,sigF,
GI:16079851,spo0A,
GI:255767090,sigE,
GI:16077515,sigE,
GI:16077860,sigE,sigG
GI:16077865,sigG,
GI:16079918,sigG,
GI:16080620,unknown,
GI:16077460,sigG,
GI:16077461,sigG,
GI:16081009,sigE,sigK
GI:16077997,sigE,
GI:16077998,sigE,
GI:16079821,sigE,sigG
GI:16077963,sigE,
GI:16079262,sigG,
GI:16079263,sigG,
GI:16079827,sigF,sigG
GI:16078791,sigE,
GI:16078408,sigK,
GI:16078406,sigG,
GI:16078405,sigG,
GI:16078404,sigG,
GI:16078403,sigG,
GI:16079468,sigE,
GI:16078227,sigG,
GI:16079310,sigE,
GI:16078138,sigK,
GI:16078133,sigK,
GI:16078132,sigK,
GI:16078131,sigK,
GI:16078137,spo0A,
GI:16078136,sigK,
GI:16078135,sigK,
GI:16078134,sigK,
GI:255767136,sigE,
GI:255767792,sigF,sigG
GI:255767797,sigK,
GI:255767799,sigE,
GI:16080190,sigG,
GI:16080196,sigE,
GI:16080199,sigE,
GI:255767426,sigE,
GI:255767427,sigE,
GI:255767424,sigF,sigG
GI:16079316,sigE,
GI:16080444,sigF,
GI:16080445,sigF,
GI:16080446,sigF,
GI:16080500,sigG,
GI:16080505,sigG,sigK
GI:16080504,sigG,
GI:16077524,sigE,
GI:16077528,sigE,
GI:16077850,sigF,
GI:16077859,sigG,
GI:16079382,sigK,
GI:50812301,sigK,
GI:50812307,sigK,
GI:16079387,sigE,
GI:16079785,sigE,sigF
GI:16079784,sigE,sigF
GI:16079783,sigK,
GI:16079780,sigK,
GI:255767350,sigE,
GI:16080874,sigE,
GI:255767359,sigG,
GI:16080836,sigE,sigK
GI:16078415,sigG,
GI:16078417,spo0A,
GI:16078411,sigG,
GI:16078413,sigE,
GI:16079410,sigE,
GI:16079419,sigE,
GI:16078238,sigE,
GI:16078239,sigE,sigK
GI:16078300,sigE,
GI:16078301,sigE,
GI:16078302,sigE,
GI:16078303,sigE,
GI:16078308,spo0A,
GI:16078309,spo0A,
GI:16079254,sigG,
GI:16080294,sigE,
GI:16078124,sigK,
GI:16078125,sigE,sigK
GI:16080054,sigE,
GI:16080059,sigE,
GI:255767256,sigE,
GI:255767785,sigG,
GI:255767653,sigE,sigG
GI:255767655,sigK,
GI:255767654,sigK,
GI:255767659,sigG,
GI:255767439,sigK,
GI:255767431,sigE,
GI:16077933,sigG,
GI:16077930,sigE,sigG
GI:16079028,sigE,
GI:255767325,sigE,
GI:16080513,sigK,
GI:16079898,sigE,
GI:16080772,sigE,sigG
