GI,Regulators,Regulators
GI:126698479,sigE,sigK
GI:126698473,sigE,sigK
GI:126698650,sigE,sigK
GI:126698653,sigE,
GI:126698652,sigE,sigK
GI:126698655,sigE,
GI:126698654,sigE,sigK
GI:126698899,sigG,
GI:126698898,sigE,
GI:126698895,sigG,
GI:126698894,sigF,sigG
GI:126701222,sigF,sigG
GI:126698372,sigG,
GI:126698373,sigG,
GI:126698809,sigG,
GI:126700085,sigF,
GI:126700061,sigE,
GI:126700931,sigG,
GI:126700840,sigG,
GI:126698791,sigE,
GI:126698792,sigE,
GI:126698793,sigE,
GI:126698794,sigE,
GI:126698795,sigE,
GI:126698405,sigG,
GI:126699314,sigG,
GI:126700255,sigE,sigK
GI:126698136,sigE,
GI:126698130,sigE,sigK
GI:126701078,sigE,
GI:126701079,sigE,
GI:126700301,sigF,
GI:126699862,sigF,
GI:126699865,sigE,
GI:126699864,sigE,
GI:126701106,sigE,
GI:126700479,sigE,sigF
GI:126700076,sigK,
GI:126700075,sigK,
GI:126700218,sigE,sigG
GI:126699783,sigE,sigK
GI:126700854,sigE,
GI:126699672,sigE,sigK
GI:126698919,sigE,
GI:126699090,sigG,
GI:126698789,sigE,
GI:126698788,sigE,
GI:126698781,sigE,
GI:126698785,sigE,
GI:126701063,sigE,
GI:126700316,sigE,
GI:126701113,sigG,
GI:400927468,sigF,
GI:126700449,sigE,
GI:552951170,sigE,
GI:126700047,sigG,
GI:126700044,sigE,
GI:126700045,sigE,
GI:126700042,sigE,
GI:126700043,sigE,
GI:126699797,sigE,
GI:126699067,sigG,
GI:126699668,sigG,
GI:126698939,sigE,
GI:126699330,sigE,
GI:126699332,sigE,
GI:126698337,sigE,
GI:126699538,sigE,
GI:126699537,sigE,
GI:126701279,sigE,
GI:126700415,sigE,
GI:400927466,sigF,
GI:126700416,sigE,
GI:126699885,sigG,
GI:126699884,sigF,
GI:126699883,sigF,
GI:126699882,sigE,
GI:126701123,sigG,
GI:126697784,sigE,
GI:126700053,sigE,
GI:126700055,sigE,
GI:126700054,sigE,
GI:126700057,sigE,
GI:126700056,sigE,
GI:126700059,sigE,
GI:126700058,sigE,
GI:126698922,sigE,sigF
GI:126698921,sigE,
GI:126698920,sigE,
GI:126698329,sigK,
GI:126699508,sigK,
GI:126699507,sigK,
GI:126697868,sigE,
GI:126697822,sigE,
GI:126700082,sigE,
GI:126700086,sigF,
GI:126700087,sigF,
GI:400927337,sigE,
GI:400927485,sigE,
GI:400927521,sigG,
GI:126700888,sigE,
GI:126700889,sigE,
GI:126699539,sigE,
GI:126698918,sigE,
GI:126699353,sigE,
GI:126698353,sigG,
GI:126698354,sigG,
GI:126698355,sigG,
GI:126699515,sigE,
GI:126699514,sigE,sigK
GI:126698174,sigE,sigK
GI:126698175,sigE,sigK
GI:126698176,sigE,sigK
GI:126698778,sigE,
GI:126698005,sigK,
GI:400927348,sigG,
GI:400927346,sigE,
GI:126701145,sigE,
GI:126701146,sigE,
GI:126700432,sigE,
GI:126698207,sigE,
GI:400927410,sigE,
GI:126697614,sigF,
GI:126697613,sigF,sigE
GI:126697582,sigE,
GI:126697583,sigE,
GI:400927501,sigK,
GI:126699989,sigE,
GI:126699184,sigK,
GI:126698341,sigE,sigF
GI:126698340,sigE,
GI:126698763,sigE,
GI:126698762,sigE,
GI:126698364,sigG,
GI:126700278,sigK,
GI:126699933,sigG,
GI:126697883,sigE,
GI:400927244,sigK,
GI:126699934,sigE,
GI:126700154,sigK,
GI:126700377,sigE,
GI:126699991,sigF,
GI:126699990,sigF,sigG
GI:126699992,sigF,
GI:126700970,sigE,sigK
GI:126699752,sigG,
GI:126699178,sigE,
GI:126699171,sigG,
GI:126699170,sigG,
GI:126699281,sigG,
GI:126699282,sigG,
GI:126698158,sigF,
GI:126701091,sigE,
GI:126701166,sigE,
GI:126701165,sigE,
GI:126697904,sigE,sigK
GI:400927426,sigG,
GI:400927433,sigE,sigK
GI:126700969,sigE,sigK
GI:126699761,sigE,sigK
GI:126699147,sigG,
GI:126698362,sigE,
GI:126698566,sigE,
GI:400927396,sigF,
GI:126698143,sigE,sigK
GI:126701089,sigE,
GI:126701088,sigE,
GI:126701085,sigE,
GI:126701084,sigE,
GI:126701087,sigE,
GI:126701086,sigE,
GI:126701080,sigE,
GI:400927557,sigE,
GI:126701175,sigE,
GI:126701176,sigG,
GI:126700335,sigE,sigK
GI:126699560,sigE,sigK
GI:126697919,sigF,
GI:126700798,sigE,
GI:126698953,sigG,
GI:400927462,sigE,sigG
GI:126700917,sigE,
GI:126698825,sigF,
GI:126700424,sigG,
GI:126700425,sigG,
GI:126699397,sigG,
GI:126699398,sigG,
GI:126698363,sigF,sigG
GI:126699115,sigE,
GI:126701189,sigF,
GI:126700867,sigE,
GI:126701239,sigK,
GI:126700589,sigE,sigK
GI:126700588,sigE,sigK
GI:126698717,sigE,
GI:126699492,sigG,
GI:126699701,sigE,
GI:126700455,sigE,
GI:126697881,sigK,
GI:126699121,sigE,sigK
GI:126699122,sigE,sigK
GI:126698831,sigE,sigK
GI:126700839,sigF,
GI:126700457,sigG,
GI:126699011,sigE,
GI:126699019,sigE,
GI:126700472,sigF,
GI:126700801,sigE,
GI:126699235,sigG,
GI:126698723,sigE,
GI:126698722,sigF,
GI:126698725,sigE,
GI:126698724,sigF,
GI:126698727,sigE,sigK
GI:126698726,sigF,
GI:126699004,sigE,
GI:126698615,sigF,
GI:126698612,sigG,
GI:126697886,sigE,
GI:400927281,sigE,
GI:126699611,sigE,
GI:126699347,sigE,
