category id,gene,locus tag,category1,category2,category3,category4,category5
SW 1.1.1.1,BSU_36760,murAA,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_04570,murF,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_27670,spoVB,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_37100,murAB,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_30050,murJ,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_15200,murD,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_26810,yrpC,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_15370,ylmD,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_14000,patA,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_01770,glmM,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_19620,ldcB,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_04560,ddl,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_01780,glmS,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_28390,racE,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_09670,dat,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_15190,mraY,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_14180,ykuQ,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_34760,glmR,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_03350,yciB,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_15210,spoVE,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_32170,dapF,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_14190,ykuR,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_00570,yabM,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_04640,alr,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_16760,dapG,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_15230,murB,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
SW 1.1.1.1,BSU_40370,walJ,Cellular processes,Cell envelope and cell division,Cell wall synthesis,Biosynthesis of peptidoglycan,
