locus_tag,old_locus_tag,product,acc,gi,"                     substrate for methyltransfer, creating the product",note,                     (DIM6/NTAB) family [Energy production and conversion];
CD630_09020,CD0902,cation efflux protein,YP_001087376,126698479,NA,NA,NA
CD630_08960,CD0896,hypothetical protein,YP_001087370,126698473,NA,NA,NA
CD630_10633,CD1063C,hypothetical protein,YP_001087547,126698650,NA,NA,NA
CD630_10660,CD1066,hypothetical protein,YP_001087550,126698653,NA,NA,NA
CD630_10650,CD1065,hypothetical protein,YP_001087549,126698652,NA,NA,NA
CD630_10680,CD1068,polysaccharide biosynthesis/sporulation protein,YP_001087552,126698655,NA,NA,NA
CD630_10670,CD1067,hypothetical protein,YP_001087551,126698654,NA,NA,NA
CD630_13011,CD1301A,hypothetical protein,YP_001087796,126698899,NA,NA,NA
CD630_13010,CD1301,membrane protein,YP_001087795,126698898,NA,NA,NA
CD630_12980,CD1298,sporulation protein,YP_001087792,126698895,NA,NA,NA
CD630_12970,CD1297,hypothetical protein,YP_001087791,126698894,NA,NA,NA
CD630_35950,CD3595,aminopeptidase,YP_001090119,126701222,NA,NA,NA
CD630_07920,CD0792,hypothetical protein,YP_001087269,126698372,NA,NA,NA
CD630_07930,CD0793,hypothetical protein,YP_001087270,126698373,NA,NA,NA
CD630_12130,CD1213,peptidase S55 family stage IV sporulation,YP_001087706,126698809,NA,NA,NA
CD630_24680,CD2468,hypothetical protein,YP_001088982,126700085,NA,NA,NA
CD630_24450,CD2445,transmembrane signaling protein,YP_001088958,126700061,NA,NA,NA
CD630_33120,CD3312,major facilitator superfamily transporter,YP_001089828,126700931,NA,NA,NA
CD630_32201,CD3220A,small acid-soluble spore protein,YP_001089737,126700840,NA,NA,NA
CD630_11950,CD1195,stage III sporulation protein AD,YP_001087688,126698791,NA,NA,NA
CD630_11960,CD1196,stage III sporulation protein AE,YP_001087689,126698792,NA,NA,NA
CD630_11970,CD1197,stage III sporulation protein AF,YP_001087690,126698793,NA,NA,NA
CD630_11980,CD1198,stage III sporulation protein AG,YP_001087691,126698794,NA,NA,NA
CD630_11990,CD1199,stage III sporulation protein AH,YP_001087692,126698795,NA,NA,NA
CD630_08250,CD0825,rubrerythrin,YP_001087302,126698405,NA,NA,NA
CD630_17070,CD1707,C4-dicarboxylate anaerobic carrier,YP_001088211,126699314,NA,NA,NA
CD630_26410,CD2641,sporulation protein,YP_001089152,126700255,NA,NA,NA
CD630_05570,CD0557,uridine kinase,YP_001087033,126698136,NA,NA,NA
CD630_05510,CD0551,spore cortex-lytic protein,YP_001087027,126698130,NA,NA,NA
CD630_34550,CD3455,carboxy-terminal protease,YP_001089975,126701078,NA,NA,NA
CD630_34560,CD3456,5-formyltetrahydrofolate cyclo-ligase,YP_001089976,126701079,NA,NA,NA
CD630_26870,CD2687,hypothetical protein,YP_001089198,126700301,NA,NA,NA
CD630_22450,CD2245,asparagine--tRNA ligase,YP_001088759,126699862,NA,NA,NA
CD630_22470,CD2247,subtilisin-like serine protease,YP_001088762,126699865,NA,NA,NA
CD630_22460,CD2246,subtilisin-like serine protease,YP_001088761,126699864,NA,NA,NA
CD630_34830,CD3483,zinc/iron permease,YP_001090003,126701106,NA,NA,NA
CD630_28630,CD2863,sigma-54 dependent transcriptional regulator,YP_001089376,126700479,NA,NA,NA
CD630_24590,CD2459,ROK family glucokinase,YP_001088973,126700076,NA,NA,NA
CD630_24580,CD2458,major facilitator superfamily transporter,YP_001088972,126700075,NA,NA,NA
CD630_25980,CD2598,oligosaccharide deacetylase,YP_001089115,126700218,NA,NA,NA
CD630_21670,CD2167,acyl transferase/acyl,YP_001088680,126699783,NA,NA,NA
CD630_32340,CD3234,hypothetical protein,YP_001089751,126700854,NA,NA,NA
CD630_20550,CD2055,hypothetical protein,YP_001088569,126699672,NA,NA,NA
CD630_13200,CD1320,M16 family peptidase,YP_001087816,126698919,NA,NA,NA
CD630_14860,CD1486,hypothetical protein,YP_001087987,126699090,NA,NA,NA
CD630_11930,CD1193,stage III sporulation protein AB,YP_001087686,126698789,NA,NA,NA
CD630_11920,CD1192,stage III sporulation protein AA,YP_001087685,126698788,NA,NA,NA
CD630_11850,CD1185,diguanylate kinase signaling protein,YP_001087678,126698781,NA,NA,NA
CD630_11890,CD1189,amino acid/polyamine transporter I,YP_001087682,126698785,NA,NA,NA
CD630_34400,CD3440,glycoside hydrolase-type carbohydrate-binding,YP_001089960,126701063,NA,NA,NA
CD630_27020,CD2702,branched-chain amino acid transport system II,YP_001089213,126700316,NA,NA,NA
CD630_34890,CD3489,oligoendopeptidase F,YP_001090010,126701113,NA,NA,NA
CD630_26860,CD2686,membrane protein,YP_001089197,400927468,NA,NA,NA
CD630_28330,CD2833,calcium-transporting ATPase,YP_001089346,126700449,NA,NA,NA
CD630_06750,CD0675,acetyltransferase,YP_001087151,552951170,NA,NA,NA
CD630_24310,CD2431,nitrite/sulfite reductase,YP_001088944,126700047,NA,NA,NA
CD630_24290,CD2429,flavodoxin/ferredoxin oxidoreductase subunit,YP_001088941,126700044,NA,NA,NA
CD630_24291,CD2429A,flavodoxin/ferredoxin oxidoreductase subunit,YP_001088942,126700045,NA,NA,NA
CD630_24270,CD2427,flavodoxin/ferredoxin oxidoreductase subunit,YP_001088939,126700042,NA,NA,NA
CD630_24280,CD2428,flavodoxin/ferredoxin oxidoreductase subunit,YP_001088940,126700043,NA,NA,NA
CD630_21810,CD2181,alpha/beta hydrolase,YP_001088694,126699797,NA,NA,NA
CD630_14630,CD1463,hypothetical protein,YP_001087964,126699067,NA,NA,NA
