focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_ykoV,CSUsets,Huttenhower,1,VIRSorter_4030_megahit_k119_32660_flag_0_multi_115_0000_len_213471_gene_64_gene_83-63914-81074-cat_5,cat_5,FALSE
Bs_ykoV,CSUsets,Prairie_potholes,1,VIRSorter_PP_Contig_1325-cat_2,cat_2,FALSE
Bs_ykoV,GPD,Camarillo-Guerrero,1,ivig_1225,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,2,ivig_1903,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,3,ivig_3157,NA,FALSE
Bs_ykoV,GPD,Camarillo-Guerrero,4,ivig_3390,NA,MAYBE
Bs_ykoV,GPD,Camarillo-Guerrero,5,ivig_37,NA,MAYBE
Bs_ykoV,GPD,Camarillo-Guerrero,6,uvig_106141,NA,MAYBE
Bs_ykoV,GPD,Camarillo-Guerrero,7,uvig_108585,NA,MAYBE
Bs_ykoV,GPD,Camarillo-Guerrero,8,uvig_109559,NA,MAYBE
Bs_ykoV,GPD,Camarillo-Guerrero,9,uvig_113956,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,10,uvig_117056,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,11,uvig_121074,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,12,uvig_128810,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,13,uvig_130423,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,14,uvig_130994,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,15,uvig_134781,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,16,uvig_139040,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,17,uvig_139689,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,18,uvig_142769,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,19,uvig_146152,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,20,uvig_15933,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,21,uvig_175730,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,22,uvig_176232,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,23,uvig_176422,NA,MAYBE
Bs_ykoV,GPD,Camarillo-Guerrero,24,uvig_176969,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,25,uvig_18616,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,26,uvig_188113,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,27,uvig_195603,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,28,uvig_197241,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,29,uvig_200196,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,30,uvig_206745,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,31,uvig_210949,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,32,uvig_213426,NA,MAYBE
Bs_ykoV,GPD,Camarillo-Guerrero,33,uvig_213902,NA,MAYBE
Bs_ykoV,GPD,Camarillo-Guerrero,34,uvig_220336,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,35,uvig_221246,NA,FALSE
Bs_ykoV,GPD,Camarillo-Guerrero,36,uvig_226659,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,37,uvig_232175,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,38,uvig_237624,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,39,uvig_239364,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,40,uvig_241822,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,41,uvig_248447,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,42,uvig_249176,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,43,uvig_2560,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,44,uvig_267371,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,45,uvig_268068,NA,FALSE
Bs_ykoV,GPD,Camarillo-Guerrero,46,uvig_28026,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,47,uvig_287159,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,48,uvig_291185,NA,MAYBE
Bs_ykoV,GPD,Camarillo-Guerrero,49,uvig_292031,NA,TRUE
Bs_ykoV,GPD,Camarillo-Guerrero,50,uvig_294511,NA,MAYBE
Bs_ykoV,GPD,Camarillo-Guerrero,51,uvig_295002,NA,NA
Bs_ykoV,GPD,Camarillo-Guerrero,52,uvig_295252,NA,NA
Bs_ykoV,GPD,Camarillo-Guerrero,53,uvig_296004,NA,NA
Bs_ykoV,GPD,Camarillo-Guerrero,54,uvig_298696,NA,NA
Bs_ykoV,GPD,Camarillo-Guerrero,55,uvig_298942,NA,NA
Bs_ykoV,GPD,Camarillo-Guerrero,56,uvig_299142,NA,NA
Bs_ykoV,GPD,Camarillo-Guerrero,57,uvig_312036,NA,NA
Bs_ykoV,GPD,Camarillo-Guerrero,58,uvig_31553,NA,NA
Bs_ykoV,GPD,Camarillo-Guerrero,59,uvig_320301,NA,NA
Bs_ykoV,GPD,Camarillo-Guerrero,60,uvig_322403,NA,NA
Bs_ykoV,GPD,Camarillo-Guerrero,61,uvig_322772,NA,NA
