old_locus_tag,locus_tag,Gene product,gene name,Functional class,Functional colour,Transcriptome p-adj value , Transcriptome log2fold change in 630?erm?spo0A, Proteome log2fold change in 630?erm?spo0A,Mature spore proteome (PMID:19542279)
CD0001,CD630_00010,Chromosomal replication initiator protein,dnaA,2.2.3,2,not significant,not significant,0.0606,not detected
CD0002,CD630_00020,DNA polymerase III subunit beta,dnaN,2.2.3,2,not significant,not significant,0.1356,not detected
CD0003,CD630_00030,putative RNA-binding mediating protein,,2.2.11,2,not significant,not significant,0.0218,not detected
CD0004,CD630_00040,DNA replication and repair protein RecF,recF,2.2.3,2,not significant,not significant,not detected,not detected
CD0005,CD630_00050,DNA gyrase subunit B,gyrB,2.2.3,2,not significant,not significant,0.0019,not detected
CD0006,CD630_00060,DNA gyrase subunit A,gyrA,2.2.3,2,not significant,not significant,-0.0004,detected
CD0007,CD630_00070,putative spore protein,,1.8.1,0,not significant,not significant,-0.7694,detected
CD0008,CD630_00080,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0009,CD630_00090,Anti-anti-sigma factor,rsbV,6.2.3,9,not significant,not significant,-0.121,detected
CD0010,CD630_00100,Serine-protein kinase RsbW,rsbW,6.2.2,9,not significant,not significant,0.1558,not detected
CD0011,CD630_00110,RNA polymerase sigma-B factor (Sigma-37),sigB,6.2.1,9,not significant,not significant,not detected,not detected
CD0012,CD630_00120,putative small-molecule-binding protein,,7.0.0,13,not significant,not significant,not detected,not detected
CD0013,CD630_00130,putative mechanosensitive ion channel protein,,1.6.2,0,not significant,not significant,not detected,not detected
CD0014,CD630_00140,Seryl-tRNA synthetase 1,serS1,2.2.1,2,not significant,not significant,0.1469,detected
CD0015,CD630_00150,transfer RNA specific adenosine deaminase,tadA,3.3.11,7,not significant,not significant,not detected,not detected
CD0016,CD630_00160,DNA polymerase III subunits gamma and tau,dnaX,2.2.3,2,not significant,not significant,not detected,not detected
CD0017,CD630_00170,DNA binding protein,,1.5.5,2,not significant,not significant,0.1365,not detected
CD0018,CD630_00180,DNA repair and recombination protein,recR,2.2.3,2,not significant,not significant,0.5468,not detected
CD0018A,CD630_00181,conserved hypothetical protein,,0.0.2,10,not significant,not significant,0.2104,not detected
CD0019,CD630_00190,putative glycosyl transferase,,4.1.9,3,not significant,not significant,-0.0168,not detected
CD0020,CD630_00200,conserved hypothetical protein,,0.0.2,10,not significant,not significant,not detected,not detected
CD0021,CD630_00210,Pyruvate carboxylase,pycA,3.3.15,7,not significant,not significant,-0.1146,not detected
CD0022,CD630_00220,Elongation factor G (EF-G),fusA1,2.2.10,2,3.00E-11,-1.3143,-0.9254,not detected
CD0023,CD630_00230,"Transcriptional regulator, CtsR family",ctsR,6.5.0,9,not significant,not significant,not detected,not detected
CD0024,CD630_00240,Activator of protein kinase McsB,mcsA,6.4.2,9,not significant,not significant,-0.0666,not detected
CD0025,CD630_00250,Tyrosine kinase protein,mcsB,6.4.2,9,not significant,not significant,0.0573,not detected
CD0026,CD630_00260,"class III stress response-related ATPase, AAA+ superfamily",clpC,1.3.1,0,not significant,not significant,-0.0473,detected
CD0027,CD630_00270,DNA repair protein,radA,2.2.3,2,not significant,not significant,-0.1522,not detected
CD0028,CD630_00280,DNA integrity scanning protein disA,disA,2.2.3,2,not significant,not significant,not detected,not detected
CD0029,CD630_00290,putative membrane protein,,4.1.6,3,not significant,not significant,-0.198,detected
CD0030,CD630_00300,putative membrane protein,,4.1.6,3,not significant,not significant,0.1183,not detected
