focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_cwlJ,CSUsets,Anaerobic_Digestors,1,VIRSorter_AD_CERC_C7A_k121_130354_flag_1_multi_277_0000_len_32331-cat_2,cat_2,TRUE
Bs_cwlJ,CSUsets,Anaerobic_Digestors,2,VIRSorter_AD_CERC_C8A_k121_275883_flag_1_multi_200_0000_len_32300-cat_2,cat_2,TRUE
Bs_cwlJ,CSUsets,Anaerobic_Digestors,3,VIRSorter_AD_CERC_I3A_k121_73791_flag_1_multi_157_0000_len_81244-cat_2,cat_2,TRUE
Bs_cwlJ,CSUsets,Anaerobic_Digestors,4,VIRSorter_AD_CERC_I7A_k121_115825_flag_1_multi_98_0000_len_63743-cat_2,cat_2,TRUE
Bs_cwlJ,CSUsets,Anaerobic_Digestors,5,VIRSorter_AD_CERC_I8A_k121_99500_flag_1_multi_135_0000_len_64838-cat_2,cat_2,TRUE
Bs_cwlJ,CSUsets,ARDEC_agriculture,1,VIRSorter_Agribiome_L_E1_T5_co_scaffold_2723-cat_1,cat_1,TRUE
Bs_cwlJ,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_116_gene_13_gene_112-9920-73059-cat_4,cat_4,TRUE
Bs_cwlJ,CSUsets,CT_feces,2,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_937-cat_2,cat_2,TRUE
Bs_cwlJ,CSUsets,CT_feces,3,VIRSorter_CT_feces_enrich_feces_day27_scaffold_2154-cat_2,cat_2,TRUE
Bs_cwlJ,CSUsets,CT_feces,4,VIRSorter_CT_feces_enrich_feces_day27_scaffold_508-cat_2,cat_2,TRUE
Bs_cwlJ,CSUsets,CT_feces,5,VIRSorter_CT_feces_enrich_feces_day27_scaffold_912_gene_1_gene_67-33-44371-cat_5,cat_5,MAYBE
Bs_cwlJ,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA102_ANT-KO_scaffold_1779-cat_2,cat_2,MAYBE
Bs_cwlJ,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA123_ANT-F21_scaffold_1039-cat_2,cat_2,MAYBE
Bs_cwlJ,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA43_ANT-KO_scaffold_370-cat_2,cat_2,MAYBE
Bs_cwlJ,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA52_ANT-21_scaffold_1949-cat_2,cat_2,MAYBE
Bs_cwlJ,CSUsets,Frac_DJ_basin,5,VIRSorter_DJKA59_ANT-F21_scaffold_145-cat_2,cat_2,TRUE
Bs_cwlJ,CSUsets,Frac_DJ_basin,6,VIRSorter_DJKA59_ANT-F21_scaffold_734-cat_2,cat_2,MAYBE
Bs_cwlJ,CSUsets,Frac_DJ_basin,7,VIRSorter_DJKA60_ANT-21_scaffold_564-cat_2,cat_2,MAYBE
Bs_cwlJ,CSUsets,Frac_DJ_basin,8,VIRSorter_DJKA72_NP-F35_scaffold_25-cat_1,cat_1,TRUE
Bs_cwlJ,CSUsets,Frac_DJ_basin,9,VIRSorter_DJKA84_ANT-21_scaffold_533-cat_2,cat_2,MAYBE
Bs_cwlJ,CSUsets,Frac_DJ_basin,10,VIRSorter_JMDJ14_ANT-KO_scaffold_37-circular-cat_2,cat_2,TRUE
Bs_cwlJ,CSUsets,Frac_DJ_basin,11,VIRSorter_JMDJ20_ANT-21_scaffold_3-cat_2,cat_2,MAYBE
Bs_cwlJ,CSUsets,Frack_STACK,1,VIRSorter_CT3_VIRSorter_scaffold_164-circular-cat_1-cat_2,cat_2,MAYBE
Bs_cwlJ,CSUsets,Frack_STACK,2,VIRSorter_M1_7_1_VIRSorter_scaffold_295-cat_2-cat_2,cat_2,FALSE
Bs_cwlJ,CSUsets,Frack_STACK,3,VIRSorter_M1_7_4_VIRSorter_scaffold_809-cat_2-cat_2,cat_2,FALSE
Bs_cwlJ,CSUsets,Frack_STACK,4,VIRSorter_M2_7_1_VIRSorter_scaffold_1998-cat_2-cat_2,cat_2,MAYBE
Bs_cwlJ,CSUsets,Frack_STACK,5,VIRSorter_M2_7_6_VIRSorter_scaffold_262-circular-cat_1-cat_2,cat_2,MAYBE
Bs_cwlJ,CSUsets,Frack_STACK,6,VIRSorter_MC_6_LG_VIRSorter_scaffold_742-cat_2-cat_2,cat_2,TRUE
Bs_cwlJ,CSUsets,Fractured_shale,1,VIRSorter_shale_CT_3_scaffold_164-cat_1,cat_1,MAYBE
Bs_cwlJ,CSUsets,Fractured_shale,2,VIRSorter_shale_GTI_6SM_PW365_scaffold_297-cat_1,cat_1,TRUE
Bs_cwlJ,CSUsets,Fractured_shale,3,VIRSorter_shale_K_7_5_scaffold_326-cat_2,cat_2,MAYBE
Bs_cwlJ,CSUsets,Fractured_shale,4,VIRSorter_shale_M1_7_1_scaffold_295-cat_2,cat_2,MAYBE
Bs_cwlJ,CSUsets,Fractured_shale,5,VIRSorter_shale_M1_7_4_scaffold_809-cat_2,cat_2,FALSE
