focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_yqeW,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_59_gene_41_gene_140-41948-150985-cat_4,cat_4,FALSE
Bs_yqeW,CSUsets,CT_feces,2,VIRSorter_CT_feces_enrich_feces_day27_scaffold_117_gene_1_gene_100-1071-110108-cat_4,cat_4,FALSE
Bs_yqeW,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA116_ANT-21_scaffold_1379-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA123_ANT-F21_scaffold_1258-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA56_NP-F35_scaffold_234-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS016335_scaffold_468-cat_2-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,1,VIRSorter_2041_megahit_k119_130587_flag_0_multi_31_9651_len_102241-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,2,VIRSorter_2064_megahit_k119_124507_flag_0_multi_61_9937_len_385318_gene_1_gene_113-279-92843-cat_5,cat_5,FALSE
Bs_yqeW,CSUsets,Huttenhower,3,VIRSorter_2069_megahit_k119_69910_flag_0_multi_22_5075_len_52170-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,4,VIRSorter_2071_megahit_k119_40747_flag_0_multi_83_0847_len_52253-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,5,VIRSorter_2072_megahit_k119_157915_flag_0_multi_60_7203_len_80151-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,6,VIRSorter_2077_megahit_k119_67502_flag_0_multi_21_9086_len_32286-cat_2,cat_2,MAYBE
Bs_yqeW,CSUsets,Huttenhower,7,VIRSorter_2077_megahit_k119_79144_flag_0_multi_37_2051_len_82517-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,8,VIRSorter_2083_megahit_k119_58797_flag_0_multi_339_9656_len_196990-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,9,VIRSorter_2097_megahit_k119_12737_flag_0_multi_35_8486_len_469264_gene_5_gene_122-3649-115575-cat_5,cat_5,FALSE
Bs_yqeW,CSUsets,Huttenhower,10,VIRSorter_3002_megahit_k119_6643_flag_0_multi_106_9837_len_130549-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,11,VIRSorter_3008_megahit_k119_24599_flag_0_multi_28_0604_len_113634-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,12,VIRSorter_3027_megahit_k119_84692_flag_1_multi_26_0777_len_39394-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,13,VIRSorter_3034_megahit_k119_30929_flag_0_multi_59_1773_len_70911-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,14,VIRSorter_4004_megahit_k119_21995_flag_1_multi_19_9980_len_194836_gene_15_gene_114-15911-104823-cat_4,cat_4,FALSE
Bs_yqeW,CSUsets,Huttenhower,15,VIRSorter_4018_megahit_k119_26051_flag_0_multi_32_9933_len_191774_gene_105_gene_205-103628-191824-cat_5,cat_5,FALSE
Bs_yqeW,CSUsets,Huttenhower,16,VIRSorter_4020_megahit_k119_45896_flag_0_multi_32_9916_len_76152-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,17,VIRSorter_4024_megahit_k119_139368_flag_0_multi_118_9215_len_155011_gene_41_gene_140-42767-115020-cat_4,cat_4,FALSE
Bs_yqeW,CSUsets,Huttenhower,18,VIRSorter_4039_megahit_k119_81460_flag_0_multi_25_0000_len_97732-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,19,VIRSorter_4040_megahit_k119_114867_flag_1_multi_32_8724_len_77970-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,20,VIRSorter_6010_megahit_k119_100619_flag_0_multi_30_9867_len_45277-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,21,VIRSorter_6010_megahit_k119_17301_flag_0_multi_185_9581_len_30158-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Huttenhower,22,VIRSorter_6018_megahit_k119_142930_flag_0_multi_48_9705_len_110582_gene_25_gene_92-29069-109292-cat_5,cat_5,FALSE
Bs_yqeW,CSUsets,Huttenhower,23,VIRSorter_6037_megahit_k119_10827_flag_0_multi_27_9057_len_70265-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P135_scaffold_6419-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P142_scaffold_2_gene_125_gene_224-132876-230014-cat_4,cat_4,FALSE
Bs_yqeW,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P16_scaffold_194-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P20_scaffold_114-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P21_scaffold_2689-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P27_scaffold_644_gene_95_gene_194-102988-215386-cat_4,cat_4,FALSE
Bs_yqeW,CSUsets,Methylamines,7,VIRSorter_NIH_meth_P48_scaffold_36_gene_1_gene_101-0-100794-cat_5,cat_5,FALSE
Bs_yqeW,CSUsets,Methylamines,8,VIRSorter_NIH_meth_P54_scaffold_19_gene_156_gene_285-144946-271607-cat_5,cat_5,FALSE
Bs_yqeW,CSUsets,Methylamines,9,VIRSorter_NIH_meth_P54_scaffold_63_gene_14_gene_113-12251-96577-cat_4,cat_4,FALSE
Bs_yqeW,CSUsets,Methylamines,10,VIRSorter_NIH_meth_P71_scaffold_336-cat_2,cat_2,FALSE
Bs_yqeW,CSUsets,Methylamines,11,VIRSorter_NIH_meth_P74_scaffold_95_gene_1_gene_103-487-112958-cat_5,cat_5,FALSE
Bs_yqeW,CSUsets,Methylamines,12,VIRSorter_NIH_meth_P99_scaffold_250-cat_2,cat_2,FALSE
