gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral replication genes	Viral genes with unknown function	Viral hypothetical genes	Viral genes with host benefits	Viral structure genes	Viral genes with viral benefits	virus.tax.id	virus.name	virus.lineage	refseq.id.y	KEGG.GENOME	KEGG.DISEASE	DISEASE	host.tax.id	host.name	host.lineage	domain	phylum	class	order	family	genus.etc	pmid	evidence	sample.type	source.organism
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001884.1_25	NC_001884	K03611	bdbC;disulfide bond formation protein C	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	TM	0	FALSE	0	178	23	10	TRUE	0.04494382	11	49	109	8	0	1	66797	Bacillus virus SPbeta	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Spbetavirus	NC_001884	NA	NA	NA	1423	Bacillus subtilis	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus subtilis group	NA	"NCBI Virus, RefSeq, UniProt"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001884.1_28	NC_001884	K01447	cwlH;N-acetylmuramoyl-L-alanine amidase CwlH	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	TM	0	FALSE	0	178	23	10	TRUE	0.04494382	11	49	109	8	0	1	66797	Bacillus virus SPbeta	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Spbetavirus	NC_001884	NA	NA	NA	1423	Bacillus subtilis	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus subtilis group	NA	"NCBI Virus, RefSeq, UniProt"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001884.1_168	NC_001884	K06420	sspC;small acid-soluble spore protein C	MISC	Sporulation proteins	Small acid-soluble spore proteins	Sporulation	1	TFM	0	FALSE	0	178	23	10	TRUE	0.04494382	11	49	109	8	0	1	66797	Bacillus virus SPbeta	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Spbetavirus	NC_001884	NA	NA	NA	1423	Bacillus subtilis	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis group	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus; Bacillus subtilis group	NA	"NCBI Virus, RefSeq, UniProt"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_001901.1_26	NC_001901	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	59	6	2	FALSE	0.06779661	10	22	13	12	0	2	40631	Escherichia virus N15	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Ravinvirus	NC_001901	NA	NA	NA	562	Escherichia coli	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	UniProt	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002649.1_20	NC_002649	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	FM	0	FALSE	0	32	2	1	FALSE	0.03125	9	0	19	2	1	1	12345	Bacillus virus GA1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Picovirinae; Salasvirus	NC_002649	NA	NA	NA	1409	Bacillus sp. (in: Bacteria)	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	10773070	"Literature, NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_002649.1_20	NC_002649	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	FM	0	FALSE	0	32	2	1	FALSE	0.03125	9	0	19	2	1	1	12345	Bacillus virus GA1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Picovirinae; Salasvirus	NC_002649	NA	NA	NA	1409	Bacillus sp. (in: Bacteria)	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	10773070	"Literature, NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003309.1_60	NC_003309	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	72	14	1	FALSE	0.027777778	7	39	16	6	2	2	180504	Burkholderia virus phiE125	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Stanholtvirus	NC_003309	NA	NA	NA	57975	Burkholderia thailandensis	Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; pseudomallei group	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia; pseudomallei group	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003524.1_21	NC_003524	K01448	cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	52	2	1	FALSE	0.038461538	7	19	22	3	1	0	190478	Clostridium phage phi3626	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_003524	NA	NA	NA	1502	Clostridium perfringens	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003524.1_21	NC_003524	K01448	cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase	MISC	Sporulation proteins	Sporulation proteins/ other	Sporulation	1	M	0	FALSE	0	52	2	1	FALSE	0.038461538	7	19	22	3	1	0	190478	Clostridium phage phi3626	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae	NC_003524	NA	NA	NA	1502	Clostridium perfringens	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA	"NCBI Virus, RefSeq"	NA	NA
ViralRefSeq_Caudovirales_122120_sequences.simple_header_NC_003907.2_40	NC_003907	K03497	parB;stage 0 sporulation protein J	MISC	Sporulation/ other	NA	Sporulation	1	M	0	FALSE	0	72	3	1	FALSE	0	6	16	49	0	0	1	194802	Vibrio virus VpV262	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae	NC_003907	NA	NA	NA	670	Vibrio parahaemolyticus	Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Vibrio harveyi group	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio; Vibrio harveyi group	NA	"NCBI Virus, RefSeq"	NA	NA
