focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
NA_K06901,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_feces_day27_scaffold_159-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA105_NP-J24_scaffold_157_gene_1_gene_69-40-47848-cat_5,cat_5,FALSE
NA_K06901,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA113_NP-J24_scaffold_93_gene_1_gene_70-40-47949-cat_5,cat_5,FALSE
NA_K06901,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA97_NP-J24_scaffold_98_gene_24_gene_93-24522-72431-cat_5,cat_5,FALSE
NA_K06901,CSUsets,Huttenhower,1,VIRSorter_2071_megahit_k119_61285_flag_1_multi_23_0000_len_71191-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Huttenhower,2,VIRSorter_2072_megahit_k119_238609_flag_0_multi_53_1561_len_11735-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Huttenhower,3,VIRSorter_2075_megahit_k119_57039_flag_0_multi_106_9719_len_150870_gene_12_gene_111-15185-105737-cat_4,cat_4,FALSE
NA_K06901,CSUsets,Huttenhower,4,VIRSorter_2075_megahit_k119_61979_flag_0_multi_66_5080_len_24839_gene_5_gene_16-3803-15830-cat_5,cat_5,FALSE
NA_K06901,CSUsets,Huttenhower,5,VIRSorter_2084_megahit_k119_47386_flag_0_multi_123_7906_len_11599-cat_1,cat_1,FALSE
NA_K06901,CSUsets,Huttenhower,6,VIRSorter_2097_megahit_k119_61861_flag_0_multi_31_5532_len_11287-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Huttenhower,7,VIRSorter_3005_megahit_k119_42663_flag_0_multi_24_9575_len_11419-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Huttenhower,8,VIRSorter_3009_megahit_k119_48809_flag_0_multi_39_3333_len_98845-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Huttenhower,9,VIRSorter_3010_megahit_k119_137483_flag_1_multi_22_8166_len_11033-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Huttenhower,10,VIRSorter_3021_megahit_k119_162389_flag_0_multi_13_2092_len_19928-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Huttenhower,11,VIRSorter_3032_megahit_k119_83751_flag_0_multi_42_9886_len_147165_gene_28_gene_131-32226-113871-cat_5,cat_5,FALSE
NA_K06901,CSUsets,Huttenhower,12,VIRSorter_4006_megahit_k119_134084_flag_0_multi_145_2075_len_145236_gene_1_gene_100-243-100952-cat_4,cat_4,FALSE
NA_K06901,CSUsets,Huttenhower,13,VIRSorter_4006_megahit_k119_193536_flag_0_multi_73_2181_len_61881-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Huttenhower,14,VIRSorter_4006_megahit_k119_194818_flag_1_multi_20_2821_len_286736_gene_169_gene_291-176154-285929-cat_5,cat_5,FALSE
NA_K06901,CSUsets,Huttenhower,15,VIRSorter_4017_megahit_k119_130079_flag_0_multi_29_9885_len_159282_gene_9_gene_108-7563-101128-cat_4,cat_4,FALSE
NA_K06901,CSUsets,Huttenhower,16,VIRSorter_4019_megahit_k119_239017_flag_0_multi_19_5154_len_30539-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Huttenhower,17,VIRSorter_4031_megahit_k119_117386_flag_1_multi_13_8127_len_53554-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Huttenhower,18,VIRSorter_4031_megahit_k119_79098_flag_0_multi_78_8239_len_12409-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Huttenhower,19,VIRSorter_4032_megahit_k119_128550_flag_0_multi_13_9300_len_11254-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Huttenhower,20,VIRSorter_4040_megahit_k119_41383_flag_0_multi_60_8381_len_47545-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Huttenhower,21,VIRSorter_5009_megahit_k119_69562_flag_0_multi_189_4569_len_23750_gene_6_gene_20-8852-23541-cat_5,cat_5,TRUE
NA_K06901,CSUsets,Huttenhower,22,VIRSorter_6005_megahit_k119_194418_flag_0_multi_48_9991_len_11547-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Huttenhower,23,VIRSorter_6018_megahit_k119_143143_flag_0_multi_31_9610_len_255982_gene_100_gene_199-103960-192244-cat_4,cat_4,FALSE
NA_K06901,CSUsets,Huttenhower,24,VIRSorter_6035_megahit_k119_108573_flag_1_multi_30_8475_len_53230-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P135_scaffold_1610-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P135_scaffold_6099-cat_2,cat_2,FALSE
NA_K06901,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P135_scaffold_748_gene_57_gene_69-65929-78261-cat_5,cat_5,FALSE
