focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_spoVE,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_feces_day27_scaffold_125_gene_9_gene_108-7137-107092-cat_4,cat_4,FALSE
Bs_spoVE,CSUsets,CT_feces,2,VIRSorter_CT_feces_enrich_feces_day27_scaffold_29_gene_111_gene_229-130066-232054-cat_5,cat_5,FALSE
Bs_spoVE,CSUsets,Huttenhower,1,VIRSorter_2042_megahit_k119_346207_flag_0_multi_44_9576_len_41595-cat_2,cat_2,FALSE
Bs_spoVE,CSUsets,Huttenhower,2,VIRSorter_2047_megahit_k119_76288_flag_0_multi_105_9677_len_149871_gene_8_gene_127-6423-119183-cat_5,cat_5,FALSE
Bs_spoVE,CSUsets,Huttenhower,3,VIRSorter_2079_megahit_k119_81216_flag_0_multi_41_9870_len_125883-cat_2,cat_2,FALSE
Bs_spoVE,CSUsets,Huttenhower,4,VIRSorter_2083_megahit_k119_16213_flag_1_multi_12_0000_len_16746-cat_2,cat_2,FALSE
Bs_spoVE,CSUsets,Huttenhower,5,VIRSorter_2083_megahit_k119_93662_flag_1_multi_16_0000_len_17523-cat_2,cat_2,FALSE
Bs_spoVE,CSUsets,Huttenhower,6,VIRSorter_2083_megahit_k119_99190_flag_0_multi_35_3307_len_394372_gene_120_gene_219-122023-209633-cat_4,cat_4,FALSE
Bs_spoVE,CSUsets,Huttenhower,7,VIRSorter_2103_megahit_k119_159623_flag_0_multi_24_8807_len_16256_gene_4_gene_13-4046-16306-cat_5,cat_5,FALSE
Bs_spoVE,CSUsets,Huttenhower,8,VIRSorter_2103_megahit_k119_187480_flag_0_multi_198_6584_len_121635_gene_11_gene_22-13098-30206-cat_5,cat_5,FALSE
Bs_spoVE,CSUsets,Huttenhower,9,VIRSorter_2103_megahit_k119_41778_flag_1_multi_27_5140_len_238395_gene_1_gene_100-0-81676-cat_4,cat_4,FALSE
Bs_spoVE,CSUsets,Huttenhower,10,VIRSorter_3011_megahit_k119_72710_flag_0_multi_17_9869_len_93312-cat_2,cat_2,FALSE
Bs_spoVE,CSUsets,Huttenhower,11,VIRSorter_4022_megahit_k119_142623_flag_0_multi_25_1562_len_114804-cat_2,cat_2,FALSE
Bs_spoVE,CSUsets,Huttenhower,12,VIRSorter_5004_megahit_k119_83573_flag_0_multi_25_9983_len_302096_gene_205_gene_304-205917-301852-cat_4,cat_4,FALSE
Bs_spoVE,CSUsets,Huttenhower,13,VIRSorter_5009_megahit_k119_101090_flag_1_multi_25_9634_len_82097-cat_1,cat_1,FALSE
Bs_spoVE,CSUsets,Huttenhower,14,VIRSorter_6016_megahit_k119_598_flag_0_multi_56_5744_len_40032-cat_2,cat_2,FALSE
Bs_spoVE,CSUsets,Huttenhower,15,VIRSorter_6018_megahit_k119_210903_flag_0_multi_34_8362_len_49886-cat_2,cat_2,FALSE
Bs_spoVE,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P109_scaffold_161_gene_1_gene_100-0-111481-cat_5,cat_5,FALSE
Bs_spoVE,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P130_scaffold_7_gene_142_gene_382-133408-391695-cat_5,cat_5,FALSE
Bs_spoVE,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P130_scaffold_9_gene_106_gene_235-113048-240419-cat_5,cat_5,FALSE
Bs_spoVE,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P130_scaffold_993-cat_2,cat_2,FALSE
Bs_spoVE,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P135_scaffold_2443-cat_2,cat_2,FALSE
Bs_spoVE,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P30_scaffold_31-cat_2,cat_2,FALSE
Bs_spoVE,CSUsets,Methylamines,7,VIRSorter_NIH_meth_P37_scaffold_2100-cat_2,cat_2,FALSE
