focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_yknU,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA107_ANT-F21_scaffold_4443-cat_2,cat_2,FALSE
Bs_yknU,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA113_NP-J24_scaffold_63-cat_2,cat_2,FALSE
Bs_yknU,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA54_ANT-KO_scaffold_1793-cat_2,cat_2,FALSE
Bs_yknU,CSUsets,Huttenhower,1,VIRSorter_2071_megahit_k119_54214_flag_1_multi_11_0000_len_46443_gene_13_gene_52-15551-46493-cat_5,cat_5,FALSE
Bs_yknU,CSUsets,Huttenhower,2,VIRSorter_2072_megahit_k119_96260_flag_0_multi_89_3557_len_56099_gene_4_gene_42-6782-47996-cat_5,cat_5,FALSE
Bs_yknU,CSUsets,Huttenhower,3,VIRSorter_3017_megahit_k119_87937_flag_0_multi_41_0029_len_68550_gene_5_gene_53-3746-55448-cat_5,cat_5,FALSE
Bs_yknU,CSUsets,Huttenhower,4,VIRSorter_4044_megahit_k119_3903_flag_0_multi_39_1574_len_42791-cat_2,cat_2,FALSE
Bs_yknU,CSUsets,Huttenhower,5,VIRSorter_6018_megahit_k119_120958_flag_0_multi_2091_3560_len_19499-cat_2,cat_2,FALSE
Bs_yknU,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P1_scaffold_63_gene_23_gene_93-22894-77175-cat_5,cat_5,FALSE
Bs_yknU,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P139_scaffold_1027-cat_2,cat_2,FALSE
Bs_yknU,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P140_scaffold_451_gene_20_gene_68-20857-57045-cat_4,cat_4,FALSE
Bs_yknU,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P31_scaffold_3681-cat_2,cat_2,FALSE
Bs_yknU,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P31_scaffold_802_gene_1_gene_51-0-36555-cat_5,cat_5,FALSE
Bs_yknU,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P32_scaffold_130-cat_2,cat_2,FALSE
Bs_yknU,CSUsets,Methylamines,7,VIRSorter_NIH_meth_P71_scaffold_791-cat_2,cat_2,FALSE
Bs_yknU,GPD,Camarillo-Guerrero,1,uvig_106651,NA,FALSE
Bs_yknU,GPD,Camarillo-Guerrero,2,uvig_112752,NA,FALSE
Bs_yknU,GPD,Camarillo-Guerrero,3,uvig_112963,NA,FALSE
Bs_yknU,GPD,Camarillo-Guerrero,4,uvig_126907,NA,FALSE
Bs_yknU,GPD,Camarillo-Guerrero,5,uvig_128102,NA,FALSE
Bs_yknU,GPD,Camarillo-Guerrero,6,uvig_129318,NA,FALSE
Bs_yknU,GPD,Camarillo-Guerrero,7,uvig_141515,NA,FALSE
Bs_yknU,GPD,Camarillo-Guerrero,8,uvig_151620,NA,FALSE
Bs_yknU,GPD,Camarillo-Guerrero,9,uvig_153116,NA,FALSE
