focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_spoIIGA,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_feces_day27_scaffold_283-cat_2,cat_2,FALSE
Bs_spoIIGA,CSUsets,CT_feces,2,VIRSorter_CT_feces_enrich_feces_day27_scaffold_29_gene_111_gene_229-130066-232054-cat_5,cat_5,FALSE
Bs_spoIIGA,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA103_NP-F11_scaffold_402_gene_4_gene_13-3199-11739-cat_5,cat_5,FALSE
Bs_spoIIGA,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA124_ANT-21_scaffold_1174_gene_3_gene_12-2060-10600-cat_5,cat_5,FALSE
Bs_spoIIGA,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA59_ANT-F21_scaffold_1097_gene_2_gene_11-1310-9850-cat_5,cat_5,FALSE
Bs_spoIIGA,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA68_ANT-21_scaffold_732_gene_2_gene_11-1310-9850-cat_5,cat_5,FALSE
Bs_spoIIGA,CSUsets,Frac_DJ_basin,5,VIRSorter_DJKA86_ANT-KO_scaffold_684_gene_2_gene_11-1310-9850-cat_5,cat_5,FALSE
Bs_spoIIGA,CSUsets,Frac_DJ_basin,6,VIRSorter_DJKA95_NP-F11_scaffold_430_gene_5_gene_14-3770-12310-cat_5,cat_5,FALSE
Bs_spoIIGA,CSUsets,Huttenhower,1,VIRSorter_2025_megahit_k119_57443_flag_0_multi_17_4154_len_178697_gene_66_gene_165-63357-156505-cat_4,cat_4,FALSE
Bs_spoIIGA,CSUsets,Huttenhower,2,VIRSorter_2034_megahit_k119_218586_flag_1_multi_488_7969_len_167377_gene_58_gene_166-65098-167427-cat_5,cat_5,FALSE
Bs_spoIIGA,CSUsets,Huttenhower,3,VIRSorter_2041_megahit_k119_157174_flag_1_multi_21_9627_len_49132-cat_2,cat_2,FALSE
Bs_spoIIGA,CSUsets,Huttenhower,4,VIRSorter_2075_megahit_k119_31816_flag_0_multi_53_3706_len_37838_gene_1_gene_30-291-20594-cat_5,cat_5,FALSE
Bs_spoIIGA,CSUsets,Huttenhower,5,VIRSorter_2083_megahit_k119_178923_flag_0_multi_342_7012_len_17542-cat_2,cat_2,FALSE
Bs_spoIIGA,CSUsets,Huttenhower,6,VIRSorter_3021_megahit_k119_179614_flag_0_multi_21_7880_len_145858-cat_2,cat_2,FALSE
Bs_spoIIGA,CSUsets,Huttenhower,7,VIRSorter_3029_megahit_k119_72198_flag_0_multi_9_0000_len_11860-cat_2,cat_2,FALSE
Bs_spoIIGA,CSUsets,Huttenhower,8,VIRSorter_4039_megahit_k119_162042_flag_0_multi_27_9982_len_321661_gene_56_gene_199-60926-198421-cat_5,cat_5,FALSE
Bs_spoIIGA,CSUsets,Huttenhower,9,VIRSorter_6037_megahit_k119_112244_flag_0_multi_32_9922_len_114100_gene_2_gene_101-492-78425-cat_4,cat_4,FALSE
Bs_spoIIGA,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P130_scaffold_9_gene_106_gene_235-113048-240419-cat_5,cat_5,FALSE
Bs_spoIIGA,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P130_scaffold_993-cat_2,cat_2,FALSE
