focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_cotJC,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_30_gene_47_gene_146-53824-154949-cat_4,cat_4,FALSE
Bs_cotJC,CSUsets,CT_feces,2,VIRSorter_CT_feces_enrich_feces_day27_scaffold_144_gene_60_gene_173-54629-135225-cat_5,cat_5,FALSE
Bs_cotJC,CSUsets,CT_feces,3,VIRSorter_CT_feces_enrich_feces_day27_scaffold_872_gene_12_gene_50-15730-45576-cat_5,cat_5,FALSE
Bs_cotJC,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA47_NP-F11_scaffold_333-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA47_NP-F11_scaffold_786-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS013940_scaffold_0_gene_148_gene_210-169801-217947-cat_5-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS013940_scaffold_468_gene_1_gene_45-46-24571-cat_4-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Human_Microbiome_Project,3,VIRSorter_HMP_SRS013940_scaffold_756_gene_13_gene_34-12470-27109-cat_5-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Human_Microbiome_Project,4,VIRSorter_HMP_SRS014287_scaffold_412_gene_2_gene_47-711-30354-cat_4-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Human_Microbiome_Project,5,VIRSorter_HMP_SRS014613_scaffold_397-cat_2-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Human_Microbiome_Project,6,VIRSorter_HMP_SRS015133_scaffold_420-cat_2-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Human_Microbiome_Project,7,VIRSorter_HMP_SRS015264_scaffold_1077-cat_2-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Human_Microbiome_Project,8,VIRSorter_HMP_SRS051031_scaffold_38_gene_122_gene_167-128137-163335-cat_5-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Human_Microbiome_Project,9,VIRSorter_HMP_SRS098717_scaffold_525-cat_2-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Human_Microbiome_Project,10,VIRSorter_HMP_SRS1055034_scaffold_545-cat_2-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,1,VIRSorter_2014_megahit_k119_33316_flag_0_multi_101_2838_len_110609_gene_20_gene_84-23679-79358-cat_5,cat_5,FALSE
Bs_cotJC,CSUsets,Huttenhower,2,VIRSorter_2034_megahit_k119_145190_flag_0_multi_69_7392_len_32670-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,3,VIRSorter_2034_megahit_k119_46429_flag_1_multi_22_9897_len_17178-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,4,VIRSorter_2034_megahit_k119_50810_flag_1_multi_350_4463_len_34796-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,5,VIRSorter_2041_megahit_k119_157174_flag_1_multi_21_9627_len_49132-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,6,VIRSorter_2042_megahit_k119_340045_flag_1_multi_53_9943_len_319006_gene_112_gene_185-108843-155289-cat_5,cat_5,FALSE
Bs_cotJC,CSUsets,Huttenhower,7,VIRSorter_2048_megahit_k119_135491_flag_0_multi_32_0000_len_31064-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,8,VIRSorter_2061_megahit_k119_237704_flag_0_multi_19_9711_len_26417-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,9,VIRSorter_2064_megahit_k119_167133_flag_0_multi_47_1152_len_26636-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,10,VIRSorter_2072_megahit_k119_166_flag_0_multi_115_4892_len_110850-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,11,VIRSorter_2072_megahit_k119_256219_flag_1_multi_76_9819_len_167900_gene_93_gene_138-101964-133785-cat_5,cat_5,FALSE
Bs_cotJC,CSUsets,Huttenhower,12,VIRSorter_2072_megahit_k119_59444_flag_0_multi_139_8805_len_46664-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,13,VIRSorter_2084_megahit_k119_215996_flag_1_multi_243_2688_len_78442-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,14,VIRSorter_2085_megahit_k119_131015_flag_0_multi_27_9525_len_64876-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,15,VIRSorter_2097_megahit_k119_131359_flag_1_multi_23_0000_len_44066-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,16,VIRSorter_2103_megahit_k119_151811_flag_0_multi_28_9798_len_27812-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,17,VIRSorter_3001_megahit_k119_33704_flag_0_multi_19_9899_len_37593-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,18,VIRSorter_3001_megahit_k119_49616_flag_1_multi_18_0000_len_28221-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,19,VIRSorter_3002_megahit_k119_21788_flag_0_multi_10_9853_len_13709-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,20,VIRSorter_3004_megahit_k119_49493_flag_1_multi_14_0000_len_14694-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,21,VIRSorter_3004_megahit_k119_77673_flag_1_multi_43_9925_len_228888_gene_59_gene_158-61913-146507-cat_4,cat_4,FALSE
Bs_cotJC,CSUsets,Huttenhower,22,VIRSorter_3004_megahit_k119_77673_flag_1_multi_43_9925_len_228888_gene_95_gene_158-102758-146507-cat_5,cat_5,FALSE
Bs_cotJC,CSUsets,Huttenhower,23,VIRSorter_3006_megahit_k119_149439_flag_0_multi_50_9906_len_213196_gene_37_gene_53-32398-46569-cat_4,cat_4,FALSE
Bs_cotJC,CSUsets,Huttenhower,24,VIRSorter_3011_megahit_k119_72710_flag_0_multi_17_9869_len_93312-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,25,VIRSorter_3012_megahit_k119_139011_flag_0_multi_40_9802_len_80749_gene_1_gene_65-0-60034-cat_5,cat_5,FALSE
Bs_cotJC,CSUsets,Huttenhower,26,VIRSorter_3012_megahit_k119_17347_flag_0_multi_48_6788_len_60120_gene_1_gene_44-54-26755-cat_5,cat_5,FALSE
Bs_cotJC,CSUsets,Huttenhower,27,VIRSorter_3015_megahit_k119_17506_flag_1_multi_32_9119_len_111964_gene_90_gene_148-80533-112012-cat_5,cat_5,FALSE
Bs_cotJC,CSUsets,Huttenhower,28,VIRSorter_3021_megahit_k119_139879_flag_0_multi_135_3570_len_32738-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,29,VIRSorter_3022_megahit_k119_221164_flag_1_multi_13_0000_len_22601-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,30,VIRSorter_3022_megahit_k119_53839_flag_0_multi_29_9194_len_142416_gene_1_gene_102-0-83583-cat_5,cat_5,FALSE
Bs_cotJC,CSUsets,Huttenhower,31,VIRSorter_3029_megahit_k119_26575_flag_0_multi_60_7836_len_95253_gene_41_gene_91-46243-95083-cat_5,cat_5,FALSE
Bs_cotJC,CSUsets,Huttenhower,32,VIRSorter_3030_megahit_k119_22458_flag_1_multi_25_2361_len_57490-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,33,VIRSorter_3031_megahit_k119_106446_flag_1_multi_15_0000_len_37464-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,34,VIRSorter_4004_megahit_k119_41812_flag_0_multi_16_3567_len_55511-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,35,VIRSorter_4020_megahit_k119_133235_flag_0_multi_13_6717_len_26412_gene_9_gene_30-6048-25816-cat_5,cat_5,FALSE
Bs_cotJC,CSUsets,Huttenhower,36,VIRSorter_4020_megahit_k119_28689_flag_0_multi_31_9848_len_40876-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,37,VIRSorter_4022_megahit_k119_103839_flag_0_multi_25_9855_len_34700_gene_25_gene_37-23584-34660-cat_5,cat_5,FALSE
Bs_cotJC,CSUsets,Huttenhower,38,VIRSorter_4022_megahit_k119_67883_flag_0_multi_27_9502_len_53520-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,39,VIRSorter_4024_megahit_k119_85086_flag_1_multi_10_0000_len_13210-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,40,VIRSorter_4027_megahit_k119_111907_flag_0_multi_16_0000_len_15786-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,41,VIRSorter_4027_megahit_k119_85718_flag_1_multi_15_0000_len_43416-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,42,VIRSorter_4035_megahit_k119_33300_flag_0_multi_38_1363_len_34078-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,43,VIRSorter_4038_megahit_k119_25907_flag_0_multi_24_9816_len_26154-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,44,VIRSorter_4038_megahit_k119_98160_flag_1_multi_9_9746_len_11117-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,45,VIRSorter_4039_megahit_k119_14497_flag_1_multi_73_0000_len_47979-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,46,VIRSorter_4045_megahit_k119_228911_flag_1_multi_15_9922_len_65354_gene_2_gene_57-863-41798-cat_5,cat_5,MAYBE
Bs_cotJC,CSUsets,Huttenhower,47,VIRSorter_4045_megahit_k119_6889_flag_0_multi_20_9855_len_55399-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,48,VIRSorter_5004_megahit_k119_102133_flag_0_multi_16_9251_len_62899_gene_35_gene_81-33515-62949-cat_5,cat_5,FALSE
Bs_cotJC,CSUsets,Huttenhower,49,VIRSorter_5009_megahit_k119_106922_flag_0_multi_15_6239_len_37787-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,50,VIRSorter_5009_megahit_k119_12902_flag_0_multi_116_8439_len_144286_gene_20_gene_119-23679-122419-cat_4,cat_4,FALSE
Bs_cotJC,CSUsets,Huttenhower,51,VIRSorter_5013_megahit_k119_226728_flag_1_multi_15_0000_len_47178-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,52,VIRSorter_6013_megahit_k119_71769_flag_0_multi_125_3786_len_52844-cat_2,cat_2,FALSE
Bs_cotJC,CSUsets,Huttenhower,53,VIRSorter_6013_megahit_k119_91920_flag_1_multi_10_0000_len_23143-cat_1,cat_1,FALSE
