focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_sigA,CSUsets,Anaerobic_Digestors,1,VIRSorter_AD_CERC_C7A_k121_166767_flag_1_multi_153_0051_len_10399-cat_2,cat_2,FALSE
Bs_sigA,CSUsets,Anaerobic_Digestors,2,VIRSorter_AD_CERC_I7A_k121_29993_flag_0_multi_173_2662_len_160148_gene_1_gene_46-0-33183-cat_5,cat_5,TRUE
Bs_sigA,CSUsets,Anaerobic_Digestors,3,VIRSorter_AD_CERC_I8A_k121_38147_flag_0_multi_78_0261_len_400504_gene_1_gene_45-0-33183-cat_5,cat_5,TRUE
Bs_sigA,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_100-cat_2,cat_2,FALSE
Bs_sigA,CSUsets,CT_soil,1,VIRSorter_CT_soil_enrich_CT_day10_scaffold_470_gene_1_gene_44-91-34777-cat_5,cat_5,FALSE
Bs_sigA,CSUsets,CT_soil,2,VIRSorter_CT_soil_enrich_CT_day20_scaffold_267_gene_13_gene_54-13032-49251-cat_5,cat_5,FALSE
Bs_sigA,CSUsets,CT_soil,3,VIRSorter_CT_soil_enrich_CT_day5_scaffold_381_gene_1_gene_44-91-36185-cat_5,cat_5,FALSE
Bs_sigA,CSUsets,CT_soil,4,VIRSorter_CT_soil_enrich_noCT_day20_scaffold_41_gene_53_gene_125-54643-102570-cat_5,cat_5,FALSE
Bs_sigA,CSUsets,East_River,1,VIRSorter_EastRiver_A1_scaffold_0-circular-cat_2,cat_2,FALSE
Bs_sigA,CSUsets,East_River,2,VIRSorter_EastRiver_Co1_scaffold_0-circular_gene_123_gene_479-67441-382857-cat_5,cat_5,FALSE
Bs_sigA,CSUsets,East_River,3,VIRSorter_EastRiver_Co1_scaffold_110-circular-cat_2,cat_2,MAYBE
Bs_sigA,CSUsets,East_River,4,VIRSorter_EastRiver_Co2_scaffold_30-circular-cat_2,cat_2,MAYBE
Bs_sigA,CSUsets,East_River,5,VIRSorter_EastRiver_Co3_scaffold_0-circular-cat_2,cat_2,FALSE
Bs_sigA,CSUsets,East_River,6,VIRSorter_EastRiver_Co3_scaffold_27-circular-cat_2,cat_2,MAYBE
Bs_sigA,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA102_ANT-KO_scaffold_682-cat_2,cat_2,FALSE
Bs_sigA,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA104_NP-F35_scaffold_256-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA107_ANT-F21_scaffold_100-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA107_ANT-F21_scaffold_103-cat_2,cat_2,FALSE
Bs_sigA,CSUsets,Frac_DJ_basin,5,VIRSorter_DJKA107_ANT-F21_scaffold_1156-cat_2,cat_2,MAYBE
Bs_sigA,CSUsets,Frac_DJ_basin,6,VIRSorter_DJKA107_ANT-F21_scaffold_202-circular-cat_2,cat_2,MAYBE
Bs_sigA,CSUsets,Frac_DJ_basin,7,VIRSorter_DJKA107_ANT-F21_scaffold_70-cat_2,cat_2,MAYBE
Bs_sigA,CSUsets,Frac_DJ_basin,8,VIRSorter_DJKA111_NP-F11_scaffold_606-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,9,VIRSorter_DJKA113_NP-J24_scaffold_799-cat_2,cat_2,MAYBE
Bs_sigA,CSUsets,Frac_DJ_basin,10,VIRSorter_DJKA113_NP-J24_scaffold_974-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,11,VIRSorter_DJKA115_ANT-F21_scaffold_1362-cat_2,cat_2,FALSE
Bs_sigA,CSUsets,Frac_DJ_basin,12,VIRSorter_DJKA115_ANT-F21_scaffold_260-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,13,VIRSorter_DJKA116_ANT-21_scaffold_949-cat_1,cat_1,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,14,VIRSorter_DJKA118_ANT-KO_scaffold_14_gene_57_gene_82-61295-79235-cat_5,cat_5,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,15,VIRSorter_DJKA124_ANT-21_scaffold_2872-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,16,VIRSorter_DJKA126_ANT-KO_scaffold_3336-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,17,VIRSorter_DJKA128_NP-F35_scaffold_149-circular-cat_1,cat_1,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,18,VIRSorter_DJKA129_NP-J24_scaffold_15_gene_1_gene_65-0-51066-cat_5,cat_5,FALSE
Bs_sigA,CSUsets,Frac_DJ_basin,19,VIRSorter_DJKA47_NP-F11_scaffold_30-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,20,VIRSorter_DJKA78_ANT-KO_scaffold_1866-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,21,VIRSorter_DJKA83_ANT-F21_scaffold_652-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,22,VIRSorter_DJKA84_ANT-21_scaffold_511-cat_1,cat_1,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,23,VIRSorter_DJKA86_ANT-KO_scaffold_438-cat_2,cat_2,FALSE
Bs_sigA,CSUsets,Frac_DJ_basin,24,VIRSorter_DJKA87_NP-F11_scaffold_175-cat_2,cat_2,FALSE
Bs_sigA,CSUsets,Frac_DJ_basin,25,VIRSorter_DJKA96_NP-F35_scaffold_71-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,26,VIRSorter_DJKA99_ANT-F21_scaffold_2048-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frac_DJ_basin,27,VIRSorter_DJKA99_ANT-F21_scaffold_2486-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frack_STACK,1,VIRSorter_K_1_A_VIRSorter_K-1-A_scaffold_314-cat_2-cat_2,cat_2,MAYBE
Bs_sigA,CSUsets,Frack_STACK,2,VIRSorter_K_1_A_VIRSorter_K-1-A_scaffold_697-cat_2-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frack_STACK,3,VIRSorter_K_1_A_VIRSorter_K-1-A_scaffold_725-cat_2-cat_3,cat_3,MAYBE
Bs_sigA,CSUsets,Frack_STACK,4,VIRSorter_K_2_A_VIRSorter_scaffold_96-circular-cat_1-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frack_STACK,5,VIRSorter_MC_1_C_VIRSorter_MC_1_C_scaffold_218-circular-cat_2__2_-cat_2,cat_2,MAYBE
Bs_sigA,CSUsets,Frack_STACK,6,VIRSorter_MC_3_A_VIRSorter_scaffold_912-cat_1-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frack_STACK,7,VIRSorter_MC_6_LG_VIRSorter_scaffold_183-circular-cat_2-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frack_STACK,8,VIRSorter_MC_6_LG_VIRSorter_scaffold_2223-cat_1-cat_2,cat_2,MAYBE
Bs_sigA,CSUsets,Frack_STACK,9,VIRSorter_MC_6_LG_VIRSorter_scaffold_276-cat_2_gene_28_gene_123-21510-70190-cat_5,cat_5,TRUE
Bs_sigA,CSUsets,Frack_STACK,10,VIRSorter_MC_6_LG_VIRSorter_scaffold_521-circular-cat_2-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Frack_STACK,11,VIRSorter_MC_6_LG_VIRSorter_scaffold_677-cat_2-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Fractured_shale,1,VIRSorter_shale_Carm_05012013_scaffold_50-cat_2,cat_2,MAYBE
Bs_sigA,CSUsets,Fractured_shale,2,VIRSorter_shale_Carm_08292012_scaffold_717_gene_3_gene_14-624-9170-cat_4,cat_4,FALSE
Bs_sigA,CSUsets,Fractured_shale,3,VIRSorter_shale_K_1_A_K-1-A_scaffold_10287-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Fractured_shale,4,VIRSorter_shale_K_1_A_K-1-A_scaffold_10536-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Fractured_shale,5,VIRSorter_shale_K_1_A_K-1-A_scaffold_10592-cat_2,cat_2,MAYBE
Bs_sigA,CSUsets,Fractured_shale,6,VIRSorter_shale_K_1_A_K-1-A_scaffold_11113-cat_2,cat_2,MAYBE
Bs_sigA,CSUsets,Fractured_shale,7,VIRSorter_shale_K_1_A_K-1-A_scaffold_1579-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Fractured_shale,8,VIRSorter_shale_K_1_A_K-1-A_scaffold_18320-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Fractured_shale,9,VIRSorter_shale_K_1_A_K-1-A_scaffold_314-cat_2,cat_2,MAYBE
Bs_sigA,CSUsets,Fractured_shale,10,VIRSorter_shale_K_1_A_K-1-A_scaffold_6_gene_2_gene_208-5966-187189-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Fractured_shale,11,VIRSorter_shale_K_1_A_K-1-A_scaffold_697-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Fractured_shale,12,VIRSorter_shale_K_1_A_K-1-A_scaffold_725-cat_2,cat_2,MAYBE
Bs_sigA,CSUsets,Fractured_shale,13,VIRSorter_shale_K_1_A_K-1-A_scaffold_88-cat_2,cat_2,FALSE
Bs_sigA,CSUsets,Fractured_shale,14,VIRSorter_shale_K_2_A_scaffold_96-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Fractured_shale,15,VIRSorter_shale_K_4_A_scaffold_188-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Fractured_shale,16,VIRSorter_shale_K_7_2_K-7-2_scaffold_1637-cat_1,cat_1,TRUE
Bs_sigA,CSUsets,Fractured_shale,17,VIRSorter_shale_M1_7_1_scaffold_1368_gene_5_gene_17-5070-16353-cat_2,cat_2,TRUE
Bs_sigA,CSUsets,Fractured_shale,18,VIRSorter_shale_MC_1_C_MC_1_C_scaffold_218-cat_2,cat_2,FALSE
Bs_sigA,CSUsets,Fractured_shale,19,VIRSorter_shale_MC_2_E_scaffold_7-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,20,VIRSorter_shale_MC_2_E_scaffold_8-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,21,VIRSorter_shale_MC_3_A_scaffold_1416-cat_1,cat_1,NA
Bs_sigA,CSUsets,Fractured_shale,22,VIRSorter_shale_MC_3_A_scaffold_912-cat_1,cat_1,NA
Bs_sigA,CSUsets,Fractured_shale,23,VIRSorter_shale_MC_6_LG_scaffold_1246-cat_1,cat_1,NA
Bs_sigA,CSUsets,Fractured_shale,24,VIRSorter_shale_MC_6_LG_scaffold_1388-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,25,VIRSorter_shale_MC_6_LG_scaffold_183-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,26,VIRSorter_shale_MC_6_LG_scaffold_2039-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,27,VIRSorter_shale_MC_6_LG_scaffold_2223-cat_1,cat_1,NA
Bs_sigA,CSUsets,Fractured_shale,28,VIRSorter_shale_MC_6_LG_scaffold_2274-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,29,VIRSorter_shale_MC_6_LG_scaffold_2593-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,30,VIRSorter_shale_MC_6_LG_scaffold_2733-cat_1,cat_1,NA
Bs_sigA,CSUsets,Fractured_shale,31,VIRSorter_shale_MC_6_LG_scaffold_276-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,32,VIRSorter_shale_MC_6_LG_scaffold_4054-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,33,VIRSorter_shale_MC_6_LG_scaffold_521-cat_1,cat_1,NA
Bs_sigA,CSUsets,Fractured_shale,34,VIRSorter_shale_MC_6_LG_scaffold_591-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,35,VIRSorter_shale_MC_6_LG_scaffold_677-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,36,VIRSorter_shale_MC_7_SW_scaffold_1147-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,37,VIRSorter_shale_MIP3H_12112015_scaffold_268_gene_6_gene_19-1412-12146-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,38,VIRSorter_shale_MIP3H_12202015_scaffold_767-cat_1,cat_1,NA
Bs_sigA,CSUsets,Fractured_shale,39,VIRSorter_shale_MIP3H_12222015_scaffold_315-cat_1,cat_1,NA
Bs_sigA,CSUsets,Fractured_shale,40,VIRSorter_shale_S_input_FT_scaffold_155-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,41,VIRSorter_shale_S_input_RT_scaffold_119-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,42,VIRSorter_shale_W_3__scaffold_97-cat_2,cat_2,NA
Bs_sigA,CSUsets,Fractured_shale,43,VIRSorter_shale_W4_20140711_LW_scaffold_110-cat_2,cat_2,NA
Bs_sigA,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS014287_scaffold_156-cat_2-cat_2,cat_2,NA
Bs_sigA,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS015133_scaffold_17_gene_65_gene_116-66684-102691-cat_5-cat_2,cat_2,NA
Bs_sigA,CSUsets,Human_Microbiome_Project,3,VIRSorter_HMP_SRS015388_scaffold_99-cat_2-cat_2,cat_2,NA
Bs_sigA,CSUsets,Human_Microbiome_Project,4,VIRSorter_HMP_SRS016335_scaffold_1009_gene_3_gene_15-2053-9465-cat_5-cat_2,cat_2,NA
Bs_sigA,CSUsets,Human_Microbiome_Project,5,VIRSorter_HMP_SRS017916_scaffold_2225-cat_2-cat_2,cat_2,NA
Bs_sigA,CSUsets,Human_Microbiome_Project,6,VIRSorter_HMP_SRS077552_scaffold_56-cat_2-cat_2,cat_2,NA
Bs_sigA,CSUsets,Human_Microbiome_Project,7,VIRSorter_HMP_SRS078177_scaffold_966-cat_1-cat_2,cat_2,NA
Bs_sigA,CSUsets,Human_Microbiome_Project,8,VIRSorter_HMP_SRS142712_scaffold_111-cat_2-cat_2,cat_2,NA
Bs_sigA,CSUsets,Human_Microbiome_Project,9,VIRSorter_HMP_SRS143991_scaffold_172_gene_21_gene_119-24476-104794-cat_5-cat_2,cat_2,NA
Bs_sigA,CSUsets,Human_Microbiome_Project,10,VIRSorter_HMP_SRS144537_scaffold_398-circular-cat_2-cat_2,cat_2,NA
Bs_sigA,CSUsets,Human_Microbiome_Project,11,VIRSorter_HMP_SRS144537_scaffold_5146-cat_2-cat_2,cat_2,NA
Bs_sigA,CSUsets,Human_Microbiome_Project,12,VIRSorter_HMP_SRS147557_scaffold_191_gene_10_gene_29-9999-22146-cat_5-cat_2,cat_2,NA
Bs_sigA,CSUsets,Human_Microbiome_Project,13,VIRSorter_HMP_SRS148511_scaffold_291_gene_1_gene_45-0-36074-cat_4-cat_2,cat_2,NA
Bs_sigA,CSUsets,Human_Microbiome_Project,14,VIRSorter_HMP_SRS149784_scaffold_7_gene_54_gene_157-49261-134642-cat_5-cat_2,cat_2,NA
