focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_cotJB,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_30_gene_47_gene_146-53824-154949-cat_4,cat_4,FALSE
Bs_cotJB,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA47_NP-F11_scaffold_786-cat_2,cat_2,FALSE
Bs_cotJB,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA55_NP-F11_scaffold_35_gene_23_gene_35-22106-32119-cat_5,cat_5,FALSE
Bs_cotJB,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA79_NP-F11_scaffold_26_gene_44_gene_56-42692-52705-cat_5,cat_5,FALSE
Bs_cotJB,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA87_NP-F11_scaffold_14_gene_45_gene_57-43008-53021-cat_5,cat_5,FALSE
Bs_cotJB,CSUsets,Frac_DJ_basin,5,VIRSorter_DJKA95_NP-F11_scaffold_115_gene_15_gene_27-15107-25120-cat_5,cat_5,FALSE
Bs_cotJB,CSUsets,Frac_DJ_basin,6,VIRSorter_JMDJ11_NP-F35_scaffold_32_gene_3_gene_12-955-10426-cat_4,cat_4,FALSE
Bs_cotJB,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS014613_scaffold_397-cat_2-cat_2,cat_2,FALSE
Bs_cotJB,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS015133_scaffold_420-cat_2-cat_2,cat_2,FALSE
Bs_cotJB,CSUsets,Human_Microbiome_Project,3,VIRSorter_HMP_SRS015264_scaffold_1077-cat_2-cat_2,cat_2,FALSE
Bs_cotJB,CSUsets,Human_Microbiome_Project,4,VIRSorter_HMP_SRS098717_scaffold_525-cat_2-cat_2,cat_2,FALSE
Bs_cotJB,CSUsets,Human_Microbiome_Project,5,VIRSorter_HMP_SRS1055034_scaffold_771-cat_1-cat_2,cat_2,FALSE
Bs_cotJB,CSUsets,Human_Microbiome_Project,6,VIRSorter_HMP_SRS149784_scaffold_256-cat_2-cat_2,cat_2,FALSE
Bs_cotJB,CSUsets,Huttenhower,1,VIRSorter_2028_megahit_k119_58465_flag_1_multi_15_9897_len_27904-cat_2,cat_2,FALSE
Bs_cotJB,CSUsets,Huttenhower,2,VIRSorter_2034_megahit_k119_97961_flag_0_multi_104_9165_len_26265_gene_1_gene_23-0-18879-cat_5,cat_5,FALSE
Bs_cotJB,CSUsets,Huttenhower,3,VIRSorter_2060_megahit_k119_132221_flag_0_multi_23_9923_len_59698_gene_15_gene_66-16956-59748-cat_4,cat_4,FALSE
Bs_cotJB,CSUsets,Huttenhower,4,VIRSorter_2061_megahit_k119_237704_flag_0_multi_19_9711_len_26417-cat_2,cat_2,FALSE
Bs_cotJB,CSUsets,Huttenhower,5,VIRSorter_2064_megahit_k119_167133_flag_0_multi_47_1152_len_26636-cat_2,cat_2,FALSE
