Entry,locud_tag,product,synonym,gene
Q189Y9,CD630_07950,Probable transcriptional regulatory protein CD630_07950,,
Q18BE6,CD630_12830,UPF0297 protein CD630_12830,,
Q18CG7,CD630_00820,50S ribosomal protein L14,,rplN
Q18CI5,CD630_00980,DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha),,rpoA
Q182B8,CD630_24320,Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS),,glyS
Q185K4,CD630_23300,Xanthine phosphoribosyltransferase (XPRTase) (EC 2.4.2.22),,xpt
Q18CH8,CD630_00881,50S ribosomal protein L30,,rpmD
Q187N2,CD630_19200,Phosphate propanoyltransferase (EC 2.3.1.222) (Phosphate acyltransferase PduL) (Phosphotransacylase PduL) (PTAC) (Propanediol utilization protein PduL),,pduL
Q185S7,CD630_21380,Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK),,pyrH
Q181B5,CD630_35160,Putative septation protein SpoVG,,spoVG
Q18CD7,CD630_00500,Proline--tRNA ligase 2 (EC 6.1.1.15) (Prolyl-tRNA synthetase 2) (ProRS 2),,proS2
Q18CE7,CD630_00640,50S ribosomal protein L7/L12,,rplL
Q18CF5,CD630_00690,30S ribosomal protein S7,,rpsG
Q18BD4,CD630_12710,UPF0102 protein CD630_12710,,
Q18CH7,CD630_00890,50S ribosomal protein L15,,rplO
Q18CG3,CD630_00760,50S ribosomal protein L2,,rplB
Q18CG8,CD630_00810,30S ribosomal protein S17,,rpsQ
Q182G1,CD630_24730,30S ribosomal protein S20,,rpsT
Q184H7,CD630_29860,Undecaprenyl-diphosphatase 2 (EC 3.6.1.27) (Bacitracin resistance protein 2) (Undecaprenyl pyrophosphate phosphatase 2),bacA2 upk2,uppP2
Q18CH4,CD630_00870,50S ribosomal protein L18,,rplR
Q18BC1,CD630_12570,50S ribosomal protein L19,,rplS
Q18BH7,CD630_13140,tRNA pseudouridine synthase B (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase),,truB
Q18BB6,CD630_12550,Ribosome maturation factor RimM,,rimM
Q185K3,CD630_23290,Probable transaldolase (EC 2.2.1.2),,tal
Q18AS6,CD630_10710,UPF0291 protein CD630_10710,,
Q183N8,CD630_28050,Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12),,ruvB
Q183M9,CD630_27920,Protein translocase subunit SecA 2 (EC 7.4.2.8),,secA2
Q18CF1,CD630_00660,DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta),,rpoB
Q188C8,CD630_20590,Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS),,glnS
Q182Y7,CD630_26530,UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase),,murD
Q18C33,CD630_15120,Pantothenate synthetase (PS) (EC 6.3.2.1) (Pantoate--beta-alanine ligase) (Pantoate-activating enzyme),,panC
Q182T5,CD630_25950,Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)],,pyrR
Q18C86,CD630_00040,DNA replication and repair protein RecF,,recF
Q18CA2,CD630_00180,Recombination protein RecR,,recR
Q18CS6,CD630_01860,"Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit (DHOD B) (DHODase B) (DHOdehase B) (EC 1.3.1.14) (Dihydroorotate oxidase B) (Orotate reductase (NADH))",,pyrD
Q182L1,CD630_25250,Regulatory protein RecX,,recX
Q180Y7,CD630_34861,50S ribosomal protein L31,,rpmE
Q18CF6,CD630_00720,30S ribosomal protein S10,,rpsJ
Q182S6,CD630_25871,DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega),,rpoZ
Q18BI0,CD630_13160,30S ribosomal protein S15,,rpsO
Q182B9,CD630_24330,Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS),,glyQ
Q18BE7,CD630_12820,Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS),,alaS
Q18BJ2,CD630_13260,Ribosomal protein S12 methylthiotransferase RimO (S12 MTTase) (S12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein S12 (aspartate-C(3))-methylthiotransferase) (Ribosome maturation factor RimO),,rimO
Q18CE8,CD630_00630,50S ribosomal protein L10,,rplJ
Q181R0,CD630_36580,50S ribosomal protein L9,,rplI
Q18CI0,CD630_00950,30S ribosomal protein S13,,rpsM
Q180X8,CD630_34790,Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase),,upp
Q184E7,CD630_29560,V-type ATP synthase alpha chain (EC 7.1.2.2) (V-ATPase subunit A),,atpA
Q17ZX7,CD630_32320,UPF0597 protein CD630_32320,,
Q18B41,CD630_11780,Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase),,plsX
Q18CG0,CD630_00730,50S ribosomal protein L3,,rplC
Q182D5,CD630_24460,30S ribosomal protein S21,,rpsU
Q18CF8,CD630_00750,50S ribosomal protein L23,,rplW
Q18CG9,CD630_00801,50S ribosomal protein L29,,rpmC
Q18CH5,CD630_00860,50S ribosomal protein L6,,rplF
Q181Q1,CD630_36490,Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH),,rlmH
Q18CF2,CD630_00680,30S ribosomal protein S12,,rpsL
Q181T2,CD630_36790,Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5),,rnpA
Q18BH3,CD630_13060,Ribosome maturation factor RimP,,rimP
Q18CR5,CD630_01710,Redox-sensing transcriptional repressor Rex,,rex
Q18CG4,CD630_00800,50S ribosomal protein L16,,rplP
Q18BF1,CD630_12850,Putative pre-16S rRNA nuclease (EC 3.1.-.-),,
Q18CI7,CD630_00960,30S ribosomal protein S11,,rpsK
Q18BB8,CD630_12530,30S ribosomal protein S16,,rpsP
Q18CH0,CD630_00850,30S ribosomal protein S8,,rpsH
Q180Q8,CD630_34100,UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C),,uvrC
Q180Y2,CD630_34840,Peptide chain release factor 1 (RF-1),,prfA
Q189N4,CD630_06870,50S ribosomal protein L20,,rplT
Q18CE3,CD630_00581,50S ribosomal protein L33,,rpmG
Q18B06,CD630_11440,UPF0758 protein CD630_11440,,
Q18CJ5,CD630_01050,30S ribosomal protein S9,,rpsI
Q181R5,CD630_36630,30S ribosomal protein S6,,rpsF
Q18CA3,CD630_00170,Nucleoid-associated protein CD630_00170,,
Q183H5,CD630_27400,Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS),,hisS
Q184F0,CD630_29580,V-type ATP synthase subunit E (V-ATPase subunit E),,atpE
Q18CP0,CD630_01520,tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD),gcp,tsaD
Q182C6,CD630_24400,Endoribonuclease YbeY (EC 3.1.-.-),,ybeY
Q180P8,CD630_34000,Nucleotide-binding protein CD630_34000,,
Q187D2,CD630_18230,UPF0246 protein CD630_18230,,
Q184Z6,CD630_31570,SsrA-binding protein (Small protein B),,smpB
Q18A92,CD630_08980,UPF0371 protein CD630_08980,,
Q184E3,CD630_29550,V-type ATP synthase beta chain (V-ATPase subunit B),,atpB
Q189N0,CD630_06860,50S ribosomal protein L35,,rpmI
Q18BC2,CD630_12560,tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase),,trmD
Q184E4,CD630_29540,V-type ATP synthase subunit D (V-ATPase subunit D),,atpD
Q180P5,CD630_33970,Probable cell division protein WhiA,,whiA
Q182Q0,CD630_25621,50S ribosomal protein L28,,rpmB
Q186F8,CD630_16010,Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase),,thiE
Q18BF0,CD630_12860,UPF0473 protein CD630_12860,,
Q186R7,CD630_17110,UPF0145 protein CD630_17110,,
Q18BJ5,CD630_13320,Undecaprenyl-diphosphatase 1 (EC 3.6.1.27) (Bacitracin resistance protein 1) (Undecaprenyl pyrophosphate phosphatase 1),bacA1 upk1,uppP1
Q184N9,CD630_30510,Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase),,anmK
Q180T6,CD630_34390,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase),,cobT
Q181G8,CD630_35660,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase),,ispE
Q18B36,CD630_11750,Acetate kinase (EC 2.7.2.1) (Acetokinase),,ackA
Q18BS8,CD630_14090,Putative competence-damage inducible protein,,cinA
Q180W8,CD630_34700,ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha),,atpA
Q18B70,CD630_12110,Acetyltransferase CD1211 (EC 2.3.1.-) (GCN5-related N-acetyltransferase) (GNAT),,
Q180X1,CD630_34720,ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b),,atpF
Q180W9,CD630_34710,ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta),,atpH
Q189A4,CD630_05600,Probable endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV),,nfo
Q18CB2,CD630_00280,DNA integrity scanning protein DisA (Cyclic di-AMP synthase) (c-di-AMP synthase) (Diadenylate cyclase) (EC 2.7.7.85),,disA
Q188R7,CD630_04720,Iron-sulfur flavoprotein CD630_04720 (Isf) (Cd1) (CD),,
Q188A2,CD630_20320,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK),,argB
Q180E8,CD630_33040,ATP-dependent Clp protease ATP-binding subunit ClpX,,clpX
Q189R2,CD630_07180,Formate--tetrahydrofolate ligase (EC 6.3.4.3) (Formyltetrahydrofolate synthetase) (FHS) (FTHFS),,fhs
Q182I5,CD630_25000,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),,argH
Q187E3,CD630_18340,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS),,aroA
Q180W5,CD630_34680,ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta),,atpD
Q187M6,CD630_19140,Ethanolamine ammonia-lyase small subunit (EAL small subunit) (EC 4.3.1.7),,eutC
Q186Z6,CD630_17850,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase),,argG
Q180T4,CD630_34350,Cobyric acid synthase,,cobQ
Q180S8,CD630_34290,Cobalt-precorrin-5B C(1)-methyltransferase (EC 2.1.1.195) (Cobalt-precorrin-6A synthase),,cbiD
Q18CE4,CD630_00580; CD630_00710,Elongation factor Tu (EF-Tu),tufA; tufB,tuf1; tuf1
Q182F4,CD630_24670,Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA),,lepA
Q180R9,CD630_34210,Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase),,hemC
Q182F0,CD630_24630,Heat-inducible transcription repressor HrcA,,hrcA
Q18AN9,CD630_10410,ATP-dependent helicase/nuclease subunit A (EC 3.1.-.-) (EC 3.6.4.12) (ATP-dependent helicase/nuclease AddA),,addA
Q18CT6,CD630_01930,Co-chaperonin GroES (10 kDa chaperonin) (Chaperonin-10) (Cpn10),groS,groES
Q18B86,CD630_12230,Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase),,deoB
Q183H9,CD630_27430,D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (Gly-tRNA(Ala) deacylase),,dtd
Q18CI9,CD630_01010,Energy-coupling factor transporter ATP-binding protein EcfA2 (ECF transporter A component EcfA2) (EC 3.6.3.-),cbiO2,ecfA2
Q181Y7,CD630_24030,Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase),,dut
