focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_ytlD,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_17_gene_49_gene_151-45522-140285-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,CT_feces,2,VIRSorter_CT_feces_enrich_feces_day27_scaffold_152_gene_20_gene_119-19682-118828-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,East_River,1,VIRSorter_EastRiver_B2_scaffold_18_gene_11_gene_73-19536-80102-cat_5,cat_5,MAYBE
Bs_ytlD,CSUsets,East_River,2,VIRSorter_EastRiver_Co1_scaffold_32_gene_11_gene_75-19536-80103-cat_5,cat_5,MAYBE
Bs_ytlD,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA102_ANT-KO_scaffold_2_gene_1_gene_88-117-102778-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA107_ANT-F21_scaffold_1445-cat_2,cat_2,FALSE
Bs_ytlD,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA107_ANT-F21_scaffold_36_gene_1_gene_199-0-127592-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA123_ANT-F21_scaffold_318-cat_2,cat_2,FALSE
Bs_ytlD,CSUsets,Frac_DJ_basin,5,VIRSorter_DJKA123_ANT-F21_scaffold_449_gene_10_gene_20-11092-25295-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Frac_DJ_basin,6,VIRSorter_DJKA126_ANT-KO_scaffold_468_gene_10_gene_20-11092-25295-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Frac_DJ_basin,7,VIRSorter_DJKA54_ANT-KO_scaffold_292_gene_10_gene_20-11092-25295-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Frac_DJ_basin,8,VIRSorter_DJKA78_ANT-KO_scaffold_292_gene_10_gene_20-11092-25295-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Frac_DJ_basin,9,VIRSorter_DJKA78_ANT-KO_scaffold_3_gene_101_gene_185-105454-205754-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Frac_DJ_basin,10,VIRSorter_DJKA81_NP-J24_scaffold_113_gene_10_gene_20-11092-25295-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Frac_DJ_basin,11,VIRSorter_DJKA86_ANT-KO_scaffold_14_gene_1_gene_31-0-22096-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Fractured_shale,1,VIRSorter_shale_K_7_2_K-7-2_scaffold_616-cat_2,cat_2,FALSE
Bs_ytlD,CSUsets,Fractured_shale,2,VIRSorter_shale_MC_7_SW_scaffold_276-cat_2,cat_2,FALSE
Bs_ytlD,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS147557_scaffold_1_gene_82_gene_166-99748-167041-cat_5-cat_2,cat_2,FALSE
Bs_ytlD,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS147557_scaffold_664-cat_2-cat_2,cat_2,FALSE
Bs_ytlD,CSUsets,Huttenhower,1,VIRSorter_2034_megahit_k119_62540_flag_0_multi_135_0000_len_38117-cat_2,cat_2,FALSE
Bs_ytlD,CSUsets,Huttenhower,2,VIRSorter_2064_megahit_k119_106246_flag_0_multi_29_9944_len_102849-cat_2,cat_2,FALSE
Bs_ytlD,CSUsets,Huttenhower,3,VIRSorter_2064_megahit_k119_212423_flag_0_multi_64_9716_len_92529-cat_2,cat_2,FALSE
Bs_ytlD,CSUsets,Huttenhower,4,VIRSorter_2079_megahit_k119_158688_flag_0_multi_33_0110_len_289184_gene_156_gene_263-162727-272474-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Huttenhower,5,VIRSorter_3001_megahit_k119_49616_flag_1_multi_18_0000_len_28221-cat_2,cat_2,FALSE
Bs_ytlD,CSUsets,Huttenhower,6,VIRSorter_3030_megahit_k119_22458_flag_1_multi_25_2361_len_57490-cat_2,cat_2,FALSE
Bs_ytlD,CSUsets,Huttenhower,7,VIRSorter_6013_megahit_k119_11728_flag_0_multi_22_9330_len_68289_gene_19_gene_84-22283-68339-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Huttenhower,8,VIRSorter_6035_megahit_k119_40659_flag_0_multi_20_6750_len_108202_gene_38_gene_86-33476-75270-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Huttenhower,9,VIRSorter_6037_megahit_k119_112244_flag_0_multi_32_9922_len_114100_gene_2_gene_101-492-78425-cat_4,cat_4,FALSE
Bs_ytlD,CSUsets,Huttenhower,10,VIRSorter_6037_megahit_k119_8073_flag_0_multi_43_2886_len_19498_gene_6_gene_18-4397-17217-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P109_scaffold_323_gene_25_gene_104-23679-82162-cat_4,cat_4,FALSE
Bs_ytlD,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P109_scaffold_933-cat_2,cat_2,FALSE
Bs_ytlD,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P146_scaffold_123_gene_25_gene_75-23205-80708-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P146_scaffold_1441-cat_2,cat_2,FALSE
Bs_ytlD,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P20_scaffold_1312_gene_5_gene_14-3784-13414-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P20_scaffold_4_gene_26_gene_114-24478-105740-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Methylamines,7,VIRSorter_NIH_meth_P20_scaffold_4_gene_26_gene_125-24478-120480-cat_4,cat_4,FALSE
Bs_ytlD,CSUsets,Methylamines,8,VIRSorter_NIH_meth_P21_scaffold_1889_gene_7_gene_18-5206-17149-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Methylamines,9,VIRSorter_NIH_meth_P21_scaffold_74_gene_1_gene_31-0-35883-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Methylamines,10,VIRSorter_NIH_meth_P27_scaffold_0_gene_123_gene_239-126240-227701-cat_5,cat_5,FALSE
Bs_ytlD,CSUsets,Methylamines,11,VIRSorter_NIH_meth_P27_scaffold_262-cat_2,cat_2,FALSE
