focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_sigH,CSUsets,Anaerobic_Digestors,1,VIRSorter_AD_CERC_C3A_k121_94874_flag_0_multi_881_6544_len_16816_gene_1_gene_15-0-10908-cat_5,cat_5,MAYBE
Bs_sigH,CSUsets,Anaerobic_Digestors,2,VIRSorter_AD_CERC_C7A_k121_53994_flag_0_multi_380_6956_len_10600-cat_2,cat_2,FALSE
Bs_sigH,CSUsets,Anaerobic_Digestors,3,VIRSorter_AD_CERC_C7A_k121_79820_flag_0_multi_379_8087_len_69522_gene_38_gene_67-41287-62321-cat_5,cat_5,MAYBE
Bs_sigH,CSUsets,Anaerobic_Digestors,4,VIRSorter_AD_CERC_C7A_k121_79820_flag_0_multi_379_8087_len_69522_gene_40_gene_67-44141-62321-cat_5,cat_5,MAYBE
Bs_sigH,CSUsets,Anaerobic_Digestors,5,VIRSorter_AD_CERC_C8A_k121_97577_flag_0_multi_85_9797_len_14175-cat_2,cat_2,MAYBE
Bs_sigH,CSUsets,Anaerobic_Digestors,6,VIRSorter_AD_CERC_I7A_k121_86845_flag_0_multi_127_7447_len_454091_gene_80_gene_107-87857-106037-cat_5,cat_5,MAYBE
Bs_sigH,CSUsets,ARDEC_agriculture,1,VIRSorter_Agribiome_L_E1_T5_co_scaffold_17-circular-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,ARDEC_agriculture,2,VIRSorter_Agribiome_L_E1_T5_co_scaffold_57-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Columbia_River,1,VIRSorter_Columbia_River_S2010OSUsa_scaffold_281-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_30_gene_47_gene_146-53824-154949-cat_4,cat_4,FALSE
Bs_sigH,CSUsets,CT_feces,2,VIRSorter_CT_feces_enrich_feces_day27_scaffold_101_gene_1_gene_64-0-38216-cat_5,cat_5,FALSE
Bs_sigH,CSUsets,CT_feces,3,VIRSorter_CT_feces_enrich_feces_day27_scaffold_152_gene_20_gene_119-19682-118828-cat_5,cat_5,FALSE
Bs_sigH,CSUsets,CT_feces,4,VIRSorter_CT_feces_enrich_feces_day27_scaffold_159-cat_2,cat_2,FALSE
Bs_sigH,CSUsets,CT_feces,5,VIRSorter_CT_feces_enrich_feces_day27_scaffold_1619-cat_1,cat_1,FALSE
Bs_sigH,CSUsets,CT_feces,6,VIRSorter_CT_feces_enrich_feces_day27_scaffold_283-cat_2,cat_2,FALSE
Bs_sigH,CSUsets,CT_feces,7,VIRSorter_CT_feces_enrich_feces_day27_scaffold_29_gene_111_gene_229-130066-232054-cat_5,cat_5,FALSE
Bs_sigH,CSUsets,CT_soil,1,VIRSorter_CT_soil_enrich_CT_day10_scaffold_229_gene_24_gene_124-8599-83465-cat_5,cat_5,MAYBE
Bs_sigH,CSUsets,CT_soil,2,VIRSorter_CT_soil_enrich_CT_day20_scaffold_649-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA102_ANT-KO_scaffold_1068-cat_2,cat_2,FALSE
Bs_sigH,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA103_NP-F11_scaffold_402_gene_4_gene_13-3199-11739-cat_5,cat_5,FALSE
Bs_sigH,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA104_NP-F35_scaffold_541-cat_2,cat_2,FALSE
Bs_sigH,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA105_NP-J24_scaffold_33-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,5,VIRSorter_DJKA108_ANT-21_scaffold_703_gene_2_gene_11-537-9177-cat_5,cat_5,FALSE
Bs_sigH,CSUsets,Frac_DJ_basin,6,VIRSorter_DJKA113_NP-J24_scaffold_49-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,7,VIRSorter_DJKA115_ANT-F21_scaffold_29_gene_13_gene_24-12267-24797-cat_5,cat_5,FALSE
Bs_sigH,CSUsets,Frac_DJ_basin,8,VIRSorter_DJKA119_NP-F11_scaffold_6-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,9,VIRSorter_DJKA120_NP-F35_scaffold_19-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,10,VIRSorter_DJKA123_ANT-F21_scaffold_818-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,11,VIRSorter_DJKA124_ANT-21_scaffold_1174_gene_3_gene_12-2060-10600-cat_5,cat_5,FALSE
Bs_sigH,CSUsets,Frac_DJ_basin,12,VIRSorter_DJKA126_ANT-KO_scaffold_2739_gene_3_gene_12-1736-10130-cat_5,cat_5,FALSE
Bs_sigH,CSUsets,Frac_DJ_basin,13,VIRSorter_DJKA127_NP-F11_scaffold_795-cat_2,cat_2,FALSE
Bs_sigH,CSUsets,Frac_DJ_basin,14,VIRSorter_DJKA128_NP-F35_scaffold_1570-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,15,VIRSorter_DJKA39_NP-F11_scaffold_64-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,16,VIRSorter_DJKA40_NP-F35_scaffold_527-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,17,VIRSorter_DJKA40_NP-F35_scaffold_537-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,18,VIRSorter_DJKA41_NP-J24_scaffold_207-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,19,VIRSorter_DJKA47_NP-F11_scaffold_575-cat_2,cat_2,MAYBE
Bs_sigH,CSUsets,Frac_DJ_basin,20,VIRSorter_DJKA49_NP-J24_scaffold_447-cat_2,cat_2,FALSE
Bs_sigH,CSUsets,Frac_DJ_basin,21,VIRSorter_DJKA51_ANT-F21_scaffold_1278-cat_2,cat_2,FALSE
Bs_sigH,CSUsets,Frac_DJ_basin,22,VIRSorter_DJKA51_ANT-F21_scaffold_1901-circular-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,23,VIRSorter_DJKA51_ANT-F21_scaffold_387-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,24,VIRSorter_DJKA51_ANT-F21_scaffold_92-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,25,VIRSorter_DJKA52_ANT-21_scaffold_1364-circular-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,26,VIRSorter_DJKA54_ANT-KO_scaffold_1419-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,27,VIRSorter_DJKA56_NP-F35_scaffold_385-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,28,VIRSorter_DJKA59_ANT-F21_scaffold_1097_gene_2_gene_11-1310-9850-cat_5,cat_5,FALSE
Bs_sigH,CSUsets,Frac_DJ_basin,29,VIRSorter_DJKA59_ANT-F21_scaffold_132-cat_2,cat_2,TRUE
Bs_sigH,CSUsets,Frac_DJ_basin,30,VIRSorter_DJKA59_ANT-F21_scaffold_548-cat_2,cat_2,MAYBE
Bs_sigH,CSUsets,Frac_DJ_basin,31,VIRSorter_DJKA60_ANT-21_scaffold_974-cat_2,cat_2,MAYBE
Bs_sigH,CSUsets,Frac_DJ_basin,32,VIRSorter_DJKA68_ANT-21_scaffold_100_gene_1_gene_13-0-9615-cat_5,cat_5,FALSE
Bs_sigH,CSUsets,Frac_DJ_basin,33,VIRSorter_DJKA68_ANT-21_scaffold_100_gene_1_gene_16-0-12427-cat_5,cat_5,NA
Bs_sigH,CSUsets,Frac_DJ_basin,34,VIRSorter_DJKA68_ANT-21_scaffold_732_gene_2_gene_11-1310-9850-cat_5,cat_5,NA
Bs_sigH,CSUsets,Frac_DJ_basin,35,VIRSorter_DJKA73_NP-J24_scaffold_28_gene_21_gene_50-24571-52933-cat_5,cat_5,NA
Bs_sigH,CSUsets,Frac_DJ_basin,36,VIRSorter_DJKA76_ANT-21_scaffold_262-cat_2,cat_2,NA
Bs_sigH,CSUsets,Frac_DJ_basin,37,VIRSorter_DJKA81_NP-J24_scaffold_610-cat_2,cat_2,NA
Bs_sigH,CSUsets,Frac_DJ_basin,38,VIRSorter_DJKA86_ANT-KO_scaffold_478_gene_16_gene_52-11753-41775-cat_5,cat_5,NA
Bs_sigH,CSUsets,Frac_DJ_basin,39,VIRSorter_DJKA86_ANT-KO_scaffold_554-cat_2,cat_2,NA
Bs_sigH,CSUsets,Frac_DJ_basin,40,VIRSorter_DJKA86_ANT-KO_scaffold_684_gene_2_gene_11-1310-9850-cat_5,cat_5,NA
Bs_sigH,CSUsets,Frac_DJ_basin,41,VIRSorter_DJKA95_NP-F11_scaffold_430_gene_5_gene_14-3770-12310-cat_5,cat_5,NA
Bs_sigH,CSUsets,Frac_DJ_basin,42,VIRSorter_DJKA95_NP-F11_scaffold_492-cat_2,cat_2,NA
Bs_sigH,CSUsets,Frac_DJ_basin,43,VIRSorter_DJKA99_ANT-F21_scaffold_154_gene_35_gene_58-33109-51499-cat_5,cat_5,NA
Bs_sigH,CSUsets,Fractured_shale,1,VIRSorter_shale_3H_04062016_scaffold_327-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,2,VIRSorter_shale_Carm_05012013_scaffold_50-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,3,VIRSorter_shale_CT_3_scaffold_126_gene_1_gene_48-0-30885-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,4,VIRSorter_shale_CT_3_scaffold_1920-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,5,VIRSorter_shale_K_7_5_scaffold_415-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,6,VIRSorter_shale_K_7_6_scaffold_812-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,7,VIRSorter_shale_K_7_7_scaffold_909-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,8,VIRSorter_shale_LEG_PW1_scaffold_9-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,9,VIRSorter_shale_M1_7_4_scaffold_171-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,10,VIRSorter_shale_M1_7_5_scaffold_474-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,11,VIRSorter_shale_M2_7_1_scaffold_105-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,12,VIRSorter_shale_M2_7_2_scaffold_409-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,13,VIRSorter_shale_M2_7_4_scaffold_306-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,14,VIRSorter_shale_M2_7_5_scaffold_47-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,15,VIRSorter_shale_MC_6_LG_scaffold_1852-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,16,VIRSorter_shale_W_1_scaffold_220-cat_2,cat_2,NA
Bs_sigH,CSUsets,Fractured_shale,17,VIRSorter_shale_W_2__Widges_2_scaffold_208-cat_2,cat_2,NA
Bs_sigH,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS013638_scaffold_1416-cat_2_gene_1_gene_13-0-8205-cat_5,cat_5,NA
Bs_sigH,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS013638_scaffold_410-cat_2-cat_2,cat_2,NA
Bs_sigH,CSUsets,Human_Microbiome_Project,3,VIRSorter_HMP_SRS013951_scaffold_371-cat_2-cat_2,cat_2,NA
Bs_sigH,CSUsets,Human_Microbiome_Project,4,VIRSorter_HMP_SRS014613_scaffold_226-circular-cat_2-cat_2,cat_2,NA
Bs_sigH,CSUsets,Human_Microbiome_Project,5,VIRSorter_HMP_SRS016335_scaffold_15_gene_56_gene_173-56166-141310-cat_5-cat_2,cat_2,NA
Bs_sigH,CSUsets,Human_Microbiome_Project,6,VIRSorter_HMP_SRS016335_scaffold_164-circular-cat_1-cat_2,cat_2,NA
Bs_sigH,CSUsets,Human_Microbiome_Project,7,VIRSorter_HMP_SRS016335_scaffold_397-cat_1-cat_2,cat_2,NA
Bs_sigH,CSUsets,Human_Microbiome_Project,8,VIRSorter_HMP_SRS017821_scaffold_1206_gene_7_gene_29-4641-17123-cat_5-cat_2,cat_2,NA
Bs_sigH,CSUsets,Human_Microbiome_Project,9,VIRSorter_HMP_SRS019381_scaffold_2796-circular-cat_2-cat_2,cat_2,NA
Bs_sigH,CSUsets,Human_Microbiome_Project,10,VIRSorter_HMP_SRS043001_scaffold_242-cat_2_gene_25_gene_44-25996-42576-cat_5,cat_5,NA
Bs_sigH,CSUsets,Human_Microbiome_Project,11,VIRSorter_HMP_SRS077117_scaffold_243-cat_2-cat_2,cat_2,NA
