focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Cd_ispF,CSUsets,CT_soil,1,VIRSorter_CT_soil_enrich_noCT_day10_scaffold_10_gene_337_gene_437-350145-460222-cat_5,cat_5,FALSE
Cd_ispF,CSUsets,CT_soil,2,VIRSorter_CT_soil_enrich_noCT_day10_scaffold_39_gene_25_gene_124-31989-129635-cat_5,cat_5,FALSE
Cd_ispF,CSUsets,CT_soil,3,VIRSorter_CT_soil_enrich_noCT_day20_scaffold_34_gene_69_gene_169-73041-179206-cat_5,cat_5,FALSE
Cd_ispF,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS017916_scaffold_84-cat_2-cat_2,cat_2,FALSE
Cd_ispF,CSUsets,Huttenhower,1,VIRSorter_2060_megahit_k119_51887_flag_1_multi_42_6656_len_186315_gene_66_gene_166-75836-154035-cat_5,cat_5,FALSE
Cd_ispF,CSUsets,Huttenhower,2,VIRSorter_2079_megahit_k119_102820_flag_0_multi_175_8119_len_416135_gene_255_gene_354-309910-415880-cat_5,cat_5,FALSE
Cd_ispF,CSUsets,Huttenhower,3,VIRSorter_3012_megahit_k119_159300_flag_0_multi_126_9775_len_224194_gene_48_gene_161-56584-167611-cat_5,cat_5,FALSE
Cd_ispF,CSUsets,Huttenhower,4,VIRSorter_4020_megahit_k119_24154_flag_0_multi_35_7959_len_36281-cat_2,cat_2,FALSE
Cd_ispF,CSUsets,Huttenhower,5,VIRSorter_4045_megahit_k119_225305_flag_0_multi_128_9462_len_95374-cat_2,cat_2,FALSE
Cd_ispF,CSUsets,Huttenhower,6,VIRSorter_5009_megahit_k119_44596_flag_1_multi_33_9940_len_109474-cat_2,cat_2,FALSE
Cd_ispF,CSUsets,Methylamines,1,VIRSorter_NIH_meth_GB_scaffold_319-cat_2,cat_2,FALSE
Cd_ispF,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P109_scaffold_875-cat_2,cat_2,FALSE
Cd_ispF,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P135_scaffold_328-cat_2,cat_2,FALSE
Cd_ispF,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P27_scaffold_58_gene_52_gene_141-61308-160235-cat_5,cat_5,FALSE
Cd_ispF,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P30_scaffold_13_gene_70_gene_197-84964-217924-cat_5,cat_5,FALSE
Cd_ispF,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P36_scaffold_136-cat_2,cat_2,FALSE
Cd_ispF,CSUsets,Methylamines,7,VIRSorter_NIH_meth_P51_scaffold_60_gene_131_gene_188-136619-175023-cat_5,cat_5,FALSE
Cd_ispF,CSUsets,Methylamines,8,VIRSorter_NIH_meth_P71_scaffold_336-cat_2,cat_2,FALSE
Cd_ispF,CSUsets,Methylamines,9,VIRSorter_NIH_meth_P74_scaffold_292-cat_2,cat_2,FALSE
Cd_ispF,CSUsets,Methylamines,10,VIRSorter_NIH_meth_P95_scaffold_902-cat_2,cat_2,FALSE
Cd_ispF,CSUsets,Salmonella_chow,1,VIRSorter_NIH_Sal_D3389_WKKS_V1K_1_scaffold_441-cat_2,cat_2,FALSE
Cd_ispF,CSUsets,Salmonella_chow,2,VIRSorter_NIH_Sal_DKWLOControl_V1KH_1_scaffold_702-cat_2,cat_2,FALSE
Cd_ispF,CSUsets,Salmonella_HFD,1,VIRSorter_All_megahit_scaffold_2500_k141_1439806_flag_0_multi_176_9406_len_47083-cat_2,cat_2,FALSE
