focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_yugO,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_feces_day27_scaffold_101_gene_1_gene_64-0-38216-cat_5,cat_5,MAYBE
Bs_yugO,CSUsets,Fractured_shale,1,VIRSorter_shale_K_1_A_K-1-A_scaffold_1475_gene_2_gene_21-1550-21989-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Fractured_shale,2,VIRSorter_shale_MC_3_A_scaffold_1_gene_317_gene_648-201134-437500-cat_2,cat_2,MAYBE
Bs_yugO,CSUsets,Fractured_shale,3,VIRSorter_shale_MC_3_A_scaffold_111-cat_2,cat_2,TRUE
Bs_yugO,CSUsets,Fractured_shale,4,VIRSorter_shale_MC_3_A_scaffold_1727-cat_2,cat_2,MAYBE
Bs_yugO,CSUsets,Fractured_shale,5,VIRSorter_shale_MC_3_A_scaffold_3_gene_225_gene_593-117601-389512-cat_2,cat_2,MAYBE
Bs_yugO,CSUsets,Fractured_shale,6,VIRSorter_shale_MC_6_XL_scaffold_0_gene_435_gene_533-283754-368075-cat_2,cat_2,MAYBE
Bs_yugO,CSUsets,Fractured_shale,7,VIRSorter_shale_MIP3H_12202015_scaffold_107-cat_2,cat_2,TRUE
Bs_yugO,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS013940_scaffold_561-cat_2-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS017916_scaffold_0_gene_326_gene_367-379789-413860-cat_5-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Human_Microbiome_Project,3,VIRSorter_HMP_SRS077552_scaffold_7_gene_12_gene_160-15737-142075-cat_5_gene_1_gene_65-0-42036-cat_5,cat_5,TRUE
Bs_yugO,CSUsets,Huttenhower,1,VIRSorter_2034_megahit_k119_255448_flag_0_multi_21_3963_len_92651_gene_43_gene_99-48384-92701-cat_4,cat_4,FALSE
Bs_yugO,CSUsets,Huttenhower,2,VIRSorter_2069_megahit_k119_99068_flag_1_multi_13_9852_len_18559-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Huttenhower,3,VIRSorter_2072_megahit_k119_100225_flag_0_multi_28_9692_len_36518-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Huttenhower,4,VIRSorter_2084_megahit_k119_58748_flag_0_multi_31_5516_len_43462-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Huttenhower,5,VIRSorter_3005_megahit_k119_8404_flag_0_multi_48_9911_len_215903_gene_47_gene_99-50713-85323-cat_5,cat_5,FALSE
Bs_yugO,CSUsets,Huttenhower,6,VIRSorter_3011_megahit_k119_78317_flag_1_multi_17_4105_len_28927-cat_2,cat_2,MAYBE
Bs_yugO,CSUsets,Huttenhower,7,VIRSorter_3017_megahit_k119_47094_flag_0_multi_197_9942_len_51071-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Huttenhower,8,VIRSorter_3021_megahit_k119_20892_flag_0_multi_78_9436_len_100520_gene_20_gene_82-24880-72683-cat_5,cat_5,FALSE
Bs_yugO,CSUsets,Huttenhower,9,VIRSorter_3028_megahit_k119_9452_flag_0_multi_107_9639_len_59446-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Huttenhower,10,VIRSorter_4006_megahit_k119_55478_flag_1_multi_19_8474_len_40841-cat_2,cat_2,TRUE
Bs_yugO,CSUsets,Huttenhower,11,VIRSorter_4013_megahit_k119_88441_flag_0_multi_608_8377_len_149921_gene_52_gene_166-63454-149635-cat_5,cat_5,FALSE
Bs_yugO,CSUsets,Huttenhower,12,VIRSorter_4017_megahit_k119_80341_flag_1_multi_24_0000_len_39726-cat_1,cat_1,MAYBE
Bs_yugO,CSUsets,Huttenhower,13,VIRSorter_4030_megahit_k119_114589_flag_1_multi_49_9213_len_13186-cat_2,cat_2,MAYBE
Bs_yugO,CSUsets,Huttenhower,14,VIRSorter_4031_megahit_k119_44753_flag_0_multi_31_6158_len_35822-circular-cat_2,cat_2,TRUE
Bs_yugO,CSUsets,Huttenhower,15,VIRSorter_4038_megahit_k119_127450_flag_0_multi_18_8404_len_23079-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Huttenhower,16,VIRSorter_4042_megahit_k119_81687_flag_0_multi_32_9644_len_36086-cat_1,cat_1,FALSE
Bs_yugO,CSUsets,Huttenhower,17,VIRSorter_6012_megahit_k119_98184_flag_1_multi_91_7949_len_17865-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Methylamines,1,VIRSorter_NIH_meth_Butyrobetaine_scaffold_202_gene_109_gene_173-122428-160693-cat_5,cat_5,MAYBE
Bs_yugO,CSUsets,Methylamines,2,VIRSorter_NIH_meth_Carnitine_scaffold_34_gene_1_gene_64-0-38424-cat_5,cat_5,MAYBE
Bs_yugO,CSUsets,Methylamines,3,VIRSorter_NIH_meth_GB_scaffold_123_gene_1_gene_65-0-38216-cat_5,cat_5,MAYBE
Bs_yugO,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P109_scaffold_920-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P142_scaffold_44_gene_25_gene_85-31151-77520-cat_5,cat_5,FALSE
Bs_yugO,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P159_scaffold_1711-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Methylamines,7,VIRSorter_NIH_meth_P16_scaffold_0_gene_1_gene_100-140-95780-cat_5,cat_5,FALSE
Bs_yugO,CSUsets,Methylamines,8,VIRSorter_NIH_meth_P30_scaffold_259-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Methylamines,9,VIRSorter_NIH_meth_P48_scaffold_445-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Methylamines,10,VIRSorter_NIH_meth_P54_scaffold_2_gene_269_gene_368-280789-343232-cat_4,cat_4,FALSE
Bs_yugO,CSUsets,Methylamines,11,VIRSorter_NIH_meth_P70_scaffold_401_gene_1_gene_29-9-27305-cat_5,cat_5,FALSE
Bs_yugO,CSUsets,Methylamines,12,VIRSorter_NIH_meth_P99_scaffold_611_gene_18_gene_46-23505-49100-cat_5,cat_5,FALSE
Bs_yugO,CSUsets,Moose_rumen,1,VIRSorter_moose_coassembly_VIRSorter_scaffold_1694-cat_2-cat_2,cat_2,TRUE
Bs_yugO,CSUsets,Moose_rumen,2,VIRSorter_moose_coassembly_VIRSorter_scaffold_2764-cat_2-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Moose_rumen,3,VIRSorter_moose_filtrate_VIRSorter_scaffold_88-cat_2-cat_2,cat_2,TRUE
Bs_yugO,CSUsets,Ohio_groundwater,1,VIRSorter_OH_gw_X1_scaffold_170_gene_14_gene_69-13465-96123-cat_5,cat_5,FALSE
Bs_yugO,CSUsets,Ohio_groundwater,2,VIRSorter_OH_gw_X3_scaffold_151_gene_4_gene_59-2877-86817-cat_5,cat_5,FALSE
Bs_yugO,CSUsets,Salmonella_chow,1,VIRSorter_NIH_Sal_D3389_WKKS_V1K_1_scaffold_798-cat_2,cat_2,TRUE
Bs_yugO,CSUsets,Salmonella_HFD,1,VIRSorter_5_10_2_1_no_mouse_final_contigs_ml25000_k141_24361_flag_1_multi_13_9185_len_25184-cat_2,cat_2,FALSE
Bs_yugO,CSUsets,Salmonella_HFD,2,VIRSorter_5_10_2_5_no_mouse_final_contigs_ml25000_k141_68486_flag_0_multi_89_8708_len_30451-cat_2,cat_2,TRUE
Bs_yugO,CSUsets,Salmonella_HFD,3,VIRSorter_5_10_2_8_no_mouse_final_contigs_ml25000_k141_170620_flag_0_multi_31_9766_len_29235-cat_2,cat_2,TRUE
Bs_yugO,CSUsets,Salmonella_HFD,4,VIRSorter_All_megahit_scaffold_2500_k141_1070440_flag_1_multi_42_7950_len_30263-cat_2,cat_2,TRUE
Bs_yugO,CSUsets,Salmonella_HFD,5,VIRSorter_IDBACoAss_scaffold_2500_scaffold_3089-cat_2,cat_2,TRUE
Bs_yugO,CSUsets,Salmonella_HFD,6,VIRSorter_KS_idba_scaffold_2500_scaffold_798-cat_2,cat_2,TRUE
Bs_yugO,CSUsets,Salmonella_HFD,7,VIRSorter_KS_megahit_final_contigs_2500_k141_278391_flag_0_multi_12_1559_len_29974-cat_2,cat_2,TRUE
Bs_yugO,GPD,Camarillo-Guerrero,1,ivig_164,NA,MAYBE
Bs_yugO,GPD,Camarillo-Guerrero,2,ivig_2398,NA,MAYBE
