focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_lexA,CSUsets,Anaerobic_Digestors,1,VIRSorter_AD_CERC_C7A_k121_68018_flag_0_multi_72_2192_len_298311-cat_2,cat_2,FALSE
Bs_lexA,CSUsets,Anaerobic_Digestors,2,VIRSorter_AD_CERC_I3A_k121_44018_flag_1_multi_173_2037_len_37281_gene_13_gene_59-6167-37331-cat_5,cat_5,FALSE
Bs_lexA,CSUsets,Anaerobic_Digestors,3,VIRSorter_AD_CERC_I7A_k121_113829_flag_0_multi_124_2286_len_69186_gene_1_gene_58-213-40410-cat_5,cat_5,FALSE
Bs_lexA,CSUsets,Anaerobic_Digestors,4,VIRSorter_AD_CERC_I7A_k121_130848_flag_1_multi_31_0000_len_16401-cat_1,cat_1,MAYBE
Bs_lexA,CSUsets,Anaerobic_Digestors,5,VIRSorter_AD_CERC_I8A_k121_194861_flag_0_multi_49_0106_len_19789-cat_2,cat_2,MAYBE
Bs_lexA,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_feces_day27_scaffold_866-cat_2,cat_2,MAYBE
Bs_lexA,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA102_ANT-KO_scaffold_2063-cat_2,cat_2,FALSE
Bs_lexA,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA105_NP-J24_scaffold_1346-cat_2,cat_2,MAYBE
Bs_lexA,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA108_ANT-21_scaffold_232-cat_1,cat_1,FALSE
Bs_lexA,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA110_ANT-KO_scaffold_1477-cat_2,cat_2,MAYBE
Bs_lexA,CSUsets,Frac_DJ_basin,5,VIRSorter_DJKA113_NP-J24_scaffold_1314-cat_2,cat_2,MAYBE
Bs_lexA,CSUsets,Frac_DJ_basin,6,VIRSorter_DJKA121_NP-J24_scaffold_1787-cat_2,cat_2,MAYBE
Bs_lexA,CSUsets,Frac_DJ_basin,7,VIRSorter_DJKA46_ANT-F21_scaffold_386-cat_2,cat_2,MAYBE
Bs_lexA,CSUsets,Frac_DJ_basin,8,VIRSorter_DJKA59_ANT-F21_scaffold_1403-cat_2,cat_2,MAYBE
Bs_lexA,CSUsets,Frac_DJ_basin,9,VIRSorter_DJKA62_ANT-KO_scaffold_923-cat_2,cat_2,MAYBE
Bs_lexA,CSUsets,Frac_DJ_basin,10,VIRSorter_DJKA67_ANT-F21_scaffold_36-cat_2,cat_2,MAYBE
Bs_lexA,CSUsets,Frac_DJ_basin,11,VIRSorter_DJKA78_ANT-KO_scaffold_159-cat_1,cat_1,TRUE
Bs_lexA,CSUsets,Frac_DJ_basin,12,VIRSorter_DJKA86_ANT-KO_scaffold_1125-cat_2,cat_2,TRUE
Bs_lexA,CSUsets,Frac_DJ_basin,13,VIRSorter_DJKA86_ANT-KO_scaffold_760-cat_2,cat_2,MAYBE
Bs_lexA,CSUsets,Frack_STACK,1,VIRSorter_K_1_A_VIRSorter_K-1-A_scaffold_2391-cat_2-cat_2,cat_2,TRUE
