focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_spoVG,CSUsets,Anaerobic_Digestors,1,VIRSorter_AD_CERC_I3A_k121_110577_flag_0_multi_37_0479_len_487663_gene_295_gene_420-324751-473460-cat_5,cat_5,FALSE
Bs_spoVG,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA107_ANT-F21_scaffold_241-circular-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA123_ANT-F21_scaffold_574-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA124_ANT-21_scaffold_581-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA64_NP-F35_scaffold_32-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS023914_scaffold_689-cat_2-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS077589_scaffold_1146-cat_2-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Human_Microbiome_Project,3,VIRSorter_HMP_SRS098717_scaffold_1929-cat_2-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Human_Microbiome_Project,4,VIRSorter_HMP_SRS144537_scaffold_181_gene_62_gene_151-65577-144422-cat_5-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Human_Microbiome_Project,5,VIRSorter_HMP_SRS147557_scaffold_1719-cat_2-cat_2,cat_2,MAYBE
Bs_spoVG,CSUsets,Huttenhower,1,VIRSorter_2041_megahit_k119_40775_flag_1_multi_29_0000_len_12718-cat_2,cat_2,MAYBE
Bs_spoVG,CSUsets,Huttenhower,2,VIRSorter_2068_megahit_k119_110747_flag_0_multi_73_9399_len_63322_gene_25_gene_68-21624-58932-cat_5,cat_5,FALSE
Bs_spoVG,CSUsets,Huttenhower,3,VIRSorter_2068_megahit_k119_207978_flag_1_multi_19_9653_len_22048-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Huttenhower,4,VIRSorter_2068_megahit_k119_225667_flag_0_multi_48_9926_len_370377_gene_278_gene_377-284035-361875-cat_4,cat_4,FALSE
Bs_spoVG,CSUsets,Huttenhower,5,VIRSorter_2084_megahit_k119_3780_flag_0_multi_54_1037_len_69666-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Huttenhower,6,VIRSorter_3001_megahit_k119_7813_flag_0_multi_33_4697_len_222620_gene_64_gene_163-68069-179883-cat_4,cat_4,FALSE
Bs_spoVG,CSUsets,Huttenhower,7,VIRSorter_3006_megahit_k119_32934_flag_0_multi_18_2188_len_37322-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Huttenhower,8,VIRSorter_3011_megahit_k119_105168_flag_1_multi_930_0000_len_18075-cat_2,cat_2,MAYBE
Bs_spoVG,CSUsets,Huttenhower,9,VIRSorter_3015_megahit_k119_88276_flag_3_multi_44_0000_len_38233-circular-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Huttenhower,10,VIRSorter_3029_megahit_k119_167997_flag_3_multi_36_0003_len_129394-circular-cat_2,cat_2,TRUE
Bs_spoVG,CSUsets,Huttenhower,11,VIRSorter_4006_megahit_k119_171272_flag_1_multi_25_0000_len_12443-cat_2,cat_2,TRUE
Bs_spoVG,CSUsets,Huttenhower,12,VIRSorter_4007_megahit_k119_47177_flag_0_multi_20_9974_len_154473_gene_8_gene_83-9295-83968-cat_5,cat_5,FALSE
Bs_spoVG,CSUsets,Huttenhower,13,VIRSorter_4017_megahit_k119_66163_flag_1_multi_17_0000_len_11938-cat_2,cat_2,TRUE
Bs_spoVG,CSUsets,Huttenhower,14,VIRSorter_4020_megahit_k119_47246_flag_0_multi_155_4923_len_12332-cat_2,cat_2,MAYBE
Bs_spoVG,CSUsets,Huttenhower,15,VIRSorter_4024_megahit_k119_152631_flag_1_multi_958_9180_len_19208-cat_2,cat_2,TRUE
Bs_spoVG,CSUsets,Huttenhower,16,VIRSorter_4028_megahit_k119_85847_flag_1_multi_29_0000_len_12251-cat_2,cat_2,MAYBE
Bs_spoVG,CSUsets,Huttenhower,17,VIRSorter_6009_megahit_k119_160695_flag_1_multi_24_0158_len_12407-cat_2,cat_2,MAYBE
Bs_spoVG,CSUsets,Huttenhower,18,VIRSorter_6016_megahit_k119_167667_flag_1_multi_35_0000_len_19076-cat_2,cat_2,TRUE
Bs_spoVG,CSUsets,Huttenhower,19,VIRSorter_6028_megahit_k119_111609_flag_0_multi_13_9717_len_36440-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Huttenhower,20,VIRSorter_6033_megahit_k119_116581_flag_0_multi_18_0000_len_68418-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Lake_Yojoa,1,VIRSorter_Yojoa_B_hypo_Jun_2019_k121_82006_flag_0_multi_148_2317_len_141925_gene_52_gene_95-72915-107294-cat_5,cat_5,MAYBE
Bs_spoVG,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P116_scaffold_5398-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P142_scaffold_115_gene_52_gene_94-63144-91485-cat_5,cat_5,TRUE
Bs_spoVG,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P159_scaffold_2165-cat_2,cat_2,MAYBE
Bs_spoVG,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P31_scaffold_587-cat_2,cat_2,MAYBE
Bs_spoVG,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P36_scaffold_3182-cat_2,cat_2,MAYBE
Bs_spoVG,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P44_scaffold_4411-cat_2,cat_2,MAYBE
Bs_spoVG,CSUsets,Methylamines,7,VIRSorter_NIH_meth_P68_scaffold_1239-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Methylamines,8,VIRSorter_NIH_meth_P74_scaffold_353-cat_2,cat_2,FALSE
Bs_spoVG,CSUsets,Moose_rumen,1,VIRSorter_moose_coassembly_VIRSorter_scaffold_5824-cat_2-cat_2,cat_2,TRUE
Bs_spoVG,CSUsets,Moose_rumen,2,VIRSorter_moose_filtrate_VIRSorter_scaffold_216-cat_2-cat_2,cat_2,TRUE
Bs_spoVG,CSUsets,Prado_wetlands,1,VIRSorter_CSM_Prado_Oct18_PM_Bottom_DNA_scaffold_507-circular-cat_2,cat_2,FALSE
