focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_spoIVB,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS013951_scaffold_561-cat_2-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS014287_scaffold_1011-cat_2-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,1,VIRSorter_2042_megahit_k119_264346_flag_0_multi_21_5284_len_29227-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,2,VIRSorter_2042_megahit_k119_280992_flag_0_multi_19_9093_len_13952-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,3,VIRSorter_3011_megahit_k119_72710_flag_0_multi_17_9869_len_93312-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,4,VIRSorter_3037_megahit_k119_49588_flag_0_multi_39_1844_len_37276-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,5,VIRSorter_4004_megahit_k119_41812_flag_0_multi_16_3567_len_55511-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,6,VIRSorter_4006_megahit_k119_134794_flag_0_multi_162_4556_len_76115-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,7,VIRSorter_4009_megahit_k119_39874_flag_0_multi_24_9862_len_34885-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,8,VIRSorter_4010_megahit_k119_148230_flag_1_multi_39_4436_len_106741-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,9,VIRSorter_4013_megahit_k119_134685_flag_0_multi_307_6679_len_18605-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,10,VIRSorter_4014_megahit_k119_69741_flag_0_multi_71_5010_len_121163-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,11,VIRSorter_4022_megahit_k119_43580_flag_0_multi_19_4502_len_35558-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,12,VIRSorter_4023_megahit_k119_253716_flag_1_multi_14_0000_len_18744-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,13,VIRSorter_4023_megahit_k119_97997_flag_0_multi_43_1258_len_37293-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,14,VIRSorter_4032_megahit_k119_141597_flag_0_multi_14_5820_len_16046-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,15,VIRSorter_4040_megahit_k119_109431_flag_0_multi_48_0634_len_64435-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,16,VIRSorter_5013_megahit_k119_232248_flag_1_multi_13_0000_len_27341-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,17,VIRSorter_6013_megahit_k119_5041_flag_0_multi_33_9088_len_57276-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,18,VIRSorter_6033_megahit_k119_88524_flag_1_multi_23_9953_len_98768-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Huttenhower,19,VIRSorter_6037_megahit_k119_79369_flag_1_multi_13_0000_len_20957-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P135_scaffold_1459-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P21_scaffold_849-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P27_scaffold_103-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P27_scaffold_262-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P30_scaffold_533-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P31_scaffold_50-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Methylamines,7,VIRSorter_NIH_meth_P37_scaffold_98_gene_60_gene_126-57152-107560-cat_5,cat_5,FALSE
Bs_spoIVB,CSUsets,Methylamines,8,VIRSorter_NIH_meth_P46_scaffold_1863-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Methylamines,9,VIRSorter_NIH_meth_P48_scaffold_635-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Methylamines,10,VIRSorter_NIH_meth_P51_scaffold_6266-cat_1,cat_1,FALSE
Bs_spoIVB,CSUsets,Methylamines,11,VIRSorter_NIH_meth_P53_scaffold_2518-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Methylamines,12,VIRSorter_NIH_meth_P70_scaffold_1274-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Methylamines,13,VIRSorter_NIH_meth_P95_scaffold_2537_gene_3_gene_15-3040-17831-cat_5,cat_5,FALSE
Bs_spoIVB,CSUsets,Salmonella_HFD,1,VIRSorter_LP_idba_scaffold_2500_scaffold_654-cat_2,cat_2,FALSE
Bs_spoIVB,CSUsets,Salmonella_HFD,2,VIRSorter_LP_megahit_final_contigs_2500_k119_353447_flag_1_multi_18_5940_len_68344-cat_2,cat_2,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,1,uvig_109523,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,2,uvig_114535,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,3,uvig_121668,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,4,uvig_124504,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,5,uvig_128807,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,6,uvig_129503,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,7,uvig_129506,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,8,uvig_131480,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,9,uvig_134080,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,10,uvig_135910,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,11,uvig_14016,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,12,uvig_146231,NA,MAYBE
Bs_spoIVB,GPD,Camarillo-Guerrero,13,uvig_149273,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,14,uvig_151480,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,15,uvig_159038,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,16,uvig_161840,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,17,uvig_164193,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,18,uvig_171817,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,19,uvig_174176,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,20,uvig_177023,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,21,uvig_177040,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,22,uvig_178936,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,23,uvig_17895,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,24,uvig_179946,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,25,uvig_181387,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,26,uvig_183522,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,27,uvig_186687,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,28,uvig_192954,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,29,uvig_19560,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,30,uvig_198709,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,31,uvig_203199,NA,MAYBE
Bs_spoIVB,GPD,Camarillo-Guerrero,32,uvig_207786,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,33,uvig_211194,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,34,uvig_211719,NA,MAYBE
Bs_spoIVB,GPD,Camarillo-Guerrero,35,uvig_22159,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,36,uvig_222272,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,37,uvig_225258,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,38,uvig_225900,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,39,uvig_227431,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,40,uvig_228763,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,41,uvig_238963,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,42,uvig_241212,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,43,uvig_246645,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,44,uvig_247275,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,45,uvig_250837,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,46,uvig_251838,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,47,uvig_252185,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,48,uvig_255241,NA,TRUE
Bs_spoIVB,GPD,Camarillo-Guerrero,49,uvig_255838,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,50,uvig_262960,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,51,uvig_263934,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,52,uvig_276268,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,53,uvig_276369,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,54,uvig_281920,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,55,uvig_283484,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,56,uvig_283928,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,57,uvig_284578,NA,FALSE
Bs_spoIVB,GPD,Camarillo-Guerrero,58,uvig_287921,NA,FALSE
