focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_spo0A,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_17_gene_49_gene_151-45522-140285-cat_5,cat_5,FALSE
Bs_spo0A,CSUsets,CT_soil,1,VIRSorter_CT_soil_enrich_CT_day20_scaffold_68-cat_2,cat_2,MAYBE
Bs_spo0A,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA107_ANT-F21_scaffold_1127-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA129_NP-J24_scaffold_1105-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Fractured_shale,1,VIRSorter_shale_W_2__Widges_2_scaffold_833-cat_2,cat_2,MAYBE
Bs_spo0A,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS013638_scaffold_309-circular-cat_2-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS013951_scaffold_561-cat_2-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Human_Microbiome_Project,3,VIRSorter_HMP_SRS014287_scaffold_1011-cat_2-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Human_Microbiome_Project,4,VIRSorter_HMP_SRS015264_scaffold_705-cat_1-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Human_Microbiome_Project,5,VIRSorter_HMP_SRS017916_scaffold_1738-cat_1-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Human_Microbiome_Project,6,VIRSorter_HMP_SRS018817_scaffold_546-cat_1-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Human_Microbiome_Project,7,VIRSorter_HMP_SRS019381_scaffold_165-cat_1-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Human_Microbiome_Project,8,VIRSorter_HMP_SRS024549_scaffold_177-circular-cat_2-cat_2,cat_2,TRUE
Bs_spo0A,CSUsets,Human_Microbiome_Project,9,VIRSorter_HMP_SRS098717_scaffold_525-cat_2-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Human_Microbiome_Project,10,VIRSorter_HMP_SRS144537_scaffold_897-cat_2-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Human_Microbiome_Project,11,VIRSorter_HMP_SRS148253_scaffold_79_gene_46_gene_95-58539-94476-cat_5-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Huttenhower,1,VIRSorter_2014_megahit_k119_62406_flag_0_multi_76_9162_len_36414-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Huttenhower,2,VIRSorter_2021_megahit_k119_80618_flag_1_multi_18_5067_len_12427-cat_2,cat_2,TRUE
Bs_spo0A,CSUsets,Huttenhower,3,VIRSorter_2027_megahit_k119_22767_flag_1_multi_9_0000_len_10046-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Huttenhower,4,VIRSorter_2028_megahit_k119_18469_flag_0_multi_80_9737_len_60979-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Huttenhower,5,VIRSorter_2034_megahit_k119_145190_flag_0_multi_69_7392_len_32670-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Huttenhower,6,VIRSorter_2034_megahit_k119_65193_flag_1_multi_17_0253_len_36336-cat_2,cat_2,TRUE
Bs_spo0A,CSUsets,Huttenhower,7,VIRSorter_2041_megahit_k119_120018_flag_3_multi_104_0000_len_60250-circular-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Huttenhower,8,VIRSorter_2041_megahit_k119_157438_flag_1_multi_10_0000_len_11478-cat_2,cat_2,TRUE
Bs_spo0A,CSUsets,Huttenhower,9,VIRSorter_2041_megahit_k119_160052_flag_3_multi_51_0010_len_50691-circular-cat_2,cat_2,MAYBE
Bs_spo0A,CSUsets,Huttenhower,10,VIRSorter_2042_megahit_k119_130936_flag_1_multi_41_0000_len_49835-cat_2,cat_2,TRUE
Bs_spo0A,CSUsets,Huttenhower,11,VIRSorter_2042_megahit_k119_230644_flag_1_multi_30_0000_len_42032-cat_2,cat_2,TRUE
Bs_spo0A,CSUsets,Huttenhower,12,VIRSorter_2042_megahit_k119_280992_flag_0_multi_19_9093_len_13952-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Huttenhower,13,VIRSorter_2042_megahit_k119_282135_flag_1_multi_15_0000_len_10257-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Huttenhower,14,VIRSorter_2047_megahit_k119_158174_flag_0_multi_18_0000_len_21118-cat_2,cat_2,FALSE
Bs_spo0A,CSUsets,Huttenhower,15,VIRSorter_2047_megahit_k119_200194_flag_0_multi_44_5550_len_24317_gene_1_gene_24-203-17364-cat_5,cat_5,FALSE
Bs_spo0A,CSUsets,Huttenhower,16,VIRSorter_2048_megahit_k119_149377_flag_0_multi_28_9816_len_61047-circular-cat_2,cat_2,FALSE
