focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Cd_dnaX,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA107_ANT-F21_scaffold_104-circular-cat_2,cat_2,MAYBE
Cd_dnaX,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA78_ANT-KO_scaffold_1356-cat_2,cat_2,MAYBE
Cd_dnaX,CSUsets,Frack_STACK,1,VIRSorter_MC_6_LG_VIRSorter_scaffold_425-cat_2-cat_2,cat_2,MAYBE
Cd_dnaX,CSUsets,Frack_STACK,2,VIRSorter_MC_6_XL_VIRSorter_scaffold_24-cat_2-cat_2,cat_2,MAYBE
Cd_dnaX,CSUsets,Fractured_shale,1,VIRSorter_shale_MC_6_XL_scaffold_24-cat_2,cat_2,MAYBE
Cd_dnaX,CSUsets,Huttenhower,1,VIRSorter_3029_megahit_k119_167997_flag_3_multi_36_0003_len_129394-circular-cat_2,cat_2,TRUE
Cd_dnaX,CSUsets,Huttenhower,2,VIRSorter_6010_megahit_k119_62712_flag_0_multi_18_6190_len_19594-cat_2,cat_2,FALSE
Cd_dnaX,CSUsets,Huttenhower,3,VIRSorter_6037_megahit_k119_30046_flag_0_multi_43_9752_len_34731-cat_2,cat_2,FALSE
Cd_dnaX,CSUsets,Prado_wetlands,1,VIRSorter_CSM_Prado_Jun18_A3_Bubble_DNA_scaffold_33_gene_20_gene_142-17687-124217-cat_5,cat_5,FALSE
Cd_dnaX,GPD,Camarillo-Guerrero,1,ivig_1003,NA,FALSE
Cd_dnaX,GPD,Camarillo-Guerrero,2,ivig_1259,NA,FALSE
Cd_dnaX,GPD,Camarillo-Guerrero,3,uvig_100086,NA,MAYBE
Cd_dnaX,GPD,Camarillo-Guerrero,4,uvig_100192,NA,TRUE
Cd_dnaX,GPD,Camarillo-Guerrero,5,uvig_100598,NA,TRUE
Cd_dnaX,GPD,Camarillo-Guerrero,6,uvig_101653,NA,TRUE
Cd_dnaX,GPD,Camarillo-Guerrero,7,uvig_102847,NA,FALSE
Cd_dnaX,GPD,Camarillo-Guerrero,8,uvig_102921,NA,FALSE
Cd_dnaX,GPD,Camarillo-Guerrero,9,uvig_103264,NA,TRUE
Cd_dnaX,GPD,Camarillo-Guerrero,10,uvig_104556,NA,TRUE
