tree order,major taxonomic family/ species name for non-Firmicutes,Firmicutes taxonomic order/ non-Firmicutes phylum,Accession,Sanger accession,environment,sporulation signature score %,presence spo0A,spore-former characterisation,genome size,ethanol resistance,Erysipelotrichaceae experiments,,,,
614,Lactobacillaceae,Lactobacillales,GCF_001437355.1,,non-host associated,10.60606061,0,0,1562796,,,,,,
,Bilophila wadsworthia,Proteobacteria,GCF_000701705.1,,gut,10.60606061,0,0,4710667,,,,,,
,novel Bacteroides species,Bacteroidetes,ERS852512,14207_7#23,gut,12.12121212,0,0,7301215,,,,,,
596,Lactobacillaceae,Lactobacillales,GCF_000423265.1,,gut,13.63636364,0,0,1748027,,,,,,
617,Lactobacillaceae,Lactobacillales,GCF_000691805.2,,non-host associated,13.63636364,0,0,2164802,,,,,,
645,Lactobacillaceae,Lactobacillales,GCF_001435345.1,,non-host associated,13.63636364,0,0,1695450,,,,,,
,Bacteroides fragilis,Bacteroidetes,GCF_000025985.1,,gut,13.63636364,0,0,5307222,,,,,,
,novel Bacteroides species,Bacteroidetes,ERS852418,13414_6#45,gut,13.63636364,0,0,5299784,,,,,,
,Alcaligenes faecalis,Proteobacteria,GCF_000967305.2,,gut,13.63636364,0,0,4301939,,,,,,
,Acinetobacter baumannii,Proteobacteria,GCF_009759685.1,,gut,13.63636364,0,0,4040443,,,,,,
,Alistipes finegoldii,Bacteroidetes,ERS852447,13414_6#74,gut,13.63636364,0,0,3372095,,,,,,
,Sutterella faecalis,Proteobacteria,GCF_006337085.1,,gut,13.63636364,0,0,3025313,,,,,,
,novel Collinsella species,Actinobacteria,ERS852464,13470_2#68,gut,13.63636364,0,0,2239572,,,,,,
553,Lactobacillaceae,Lactobacillales,GCF_000160875.1,,other host associated,15.15151515,0,0,1290652,,,,,,
554,Lactobacillaceae,Lactobacillales,GCF_000227195.1,,gut,15.15151515,0,0,1290295,,,,,,
564,Lactobacillaceae,Lactobacillales,GCF_001434815.1,,non-host associated,15.15151515,0,0,2086901,,,,,,
572,Lactobacillaceae,Lactobacillales,GCF_000178475.1,,gut,15.15151515,0,0,1566519,,,,,,
580,Lactobacillaceae,Lactobacillales,GCF_000159415.1,,gut,15.15151515,0,0,2204251,,,,,,
603,Lactobacillaceae,Lactobacillales,GCF_000615765.1,,non-host associated,15.15151515,0,0,2280138,,,,,,
608,Lactobacillaceae,Lactobacillales,20298_3#20,20298_3#20,gut,15.15151515,0,0,2189628,no,,,,,
615,Lactobacillaceae,Lactobacillales,GCF_001437425.1,,non-host associated,15.15151515,0,0,1797988,,,,,,
616,Lactobacillaceae,Lactobacillales,GCF_001438705.1,,non-host associated,15.15151515,0,0,1356690,,,,,,
629,Lactobacillaceae,Lactobacillales,GCF_000160595.1,,gut,15.15151515,0,0,1665887,,,,,,
649,Lactobacillaceae,Lactobacillales,GCF_000161935.1,,other host associated,15.15151515,0,0,1733232,,,,,,
650,Lactobacillaceae,Lactobacillales,GCF_000312405.1,,non-host associated,15.15151515,0,0,2012657,,,,,,
653,Lactobacillaceae,Lactobacillales,GCF_001434365.1,,gut,15.15151515,0,0,1879301,,,,,,
694,Lactobacillaceae,Lactobacillales,GCF_000185465.1,,non-host associated,15.15151515,0,0,1394146,,,,,,
808,Helcococcaceae,Clostridiales,GCF_000311745.1,,gut,15.15151515,0,0,2049308,,,,,,
,Klebsiella aerogenes,Proteobacteria,GCF_000215745.1,,gut,15.15151515,0,0,5346418,,,,,,
,Escherichia coli,Proteobacteria,GCF_000005845.2,,gut,15.15151515,0,0,4699745,,,,,,
,Bacteroides finegoldii,Bacteroidetes,ERS852397,13414_6#24,gut,15.15151515,0,0,4418465,,,,,,
,novel Bacteroides species,Bacteroidetes,ERS852460,13470_2#64,gut,15.15151515,0,0,4186633,,,,,,
,Sutterella wadsworthensis,Proteobacteria,GCF_000411515.1,,gut,15.15151515,0,0,3025980,,,,,,
380,Aerococcaceae,Lactobacillales,GCF_001466745.1,,oral,16.66666667,0,0,1615891,,,,,,
493,Streptococcaceae,Lactobacillales,GCF_000686605.1,,oral,16.66666667,0,0,2173600,,,,,,
541,Lactobacillaceae,Lactobacillales,GCF_000970795.1,,non-host associated,16.66666667,0,0,1815872,,,,,,
562,Lactobacillaceae,Lactobacillales,GCF_000155915.2,,other host associated,16.66666667,0,0,1771166,,,,,,
563,Lactobacillaceae,Lactobacillales,GCF_000159335.1,,other host associated,16.66666667,0,0,1627516,,,,,,
565,Lactobacillaceae,Lactobacillales,GCF_000014405.1 ,,gut,16.66666667,0,0,1883480,,,,,,
566,Lactobacillaceae,Lactobacillales,GCF_000192165.1,,gut,16.66666667,0,0,1907231,,,,,,
574,Lactobacillaceae,Lactobacillales,GCF_001435325.1,,gut,16.66666667,0,0,2043316,,,,,,
578,Lactobacillaceae,Lactobacillales,GCF_000091765.1,,other host associated,16.66666667,0,0,2072351,,,,,,
579,Lactobacillaceae,Lactobacillales,GCF_000159715.1,,gut,16.66666667,0,0,2033035,,,,,,
581,Lactobacillaceae,Lactobacillales,GCF_000194115.1,,other host associated,16.66666667,0,0,1921465,,,,,,
582,Lactobacillaceae,Lactobacillales,GCF_000191545.1,,other host associated,16.66666667,0,0,2107688,,,,,,
601,Lactobacillaceae,Lactobacillales,GCF_000008925.1,,oral,16.66666667,0,0,1853214,,,,,,
604,Lactobacillaceae,Lactobacillales,GCF_001243975.1,,non-host associated,16.66666667,0,0,2169111,,,,,,
607,Lactobacillaceae,Lactobacillales,GCF_000159375.2,,rumen,16.66666667,0,0,2138731,,,,,,
620,Lactobacillaceae,Lactobacillales,GCF_000160575.1,,non-host associated,16.66666667,0,0,1994892,,,,,,
624,Lactobacillaceae,Lactobacillales,GCF_001438695.1,,non-host associated,16.66666667,0,0,1509627,,,,,,
628,Lactobacillaceae,Lactobacillales,GCF_000709265.1,,non-host associated,16.66666667,0,0,1716326,,,,,,
630,Lactobacillaceae,Lactobacillales,12718_7#60,12718_7#60,non-host associated,16.66666667,0,0,2089613,,,,,,
631,Lactobacillaceae,Lactobacillales,GCF_000686505.1,,non-host associated,16.66666667,0,0,1966665,,,,,,
632,Lactobacillaceae,Lactobacillales,ERR2221296,20298_2#19,non-host associated,16.66666667,0,0,2335120,,,,,,
637,Lactobacillaceae,Lactobacillales,GCF_000876205.1,,non-host associated,16.66666667,0,0,1936039,,,,,,
646,Lactobacillaceae,Lactobacillales,GCF_000160835.1,,gut,16.66666667,0,0,2279856,,,,,,
647,Lactobacillaceae,Lactobacillales,GCF_001435935.1,,non-host associated,16.66666667,0,0,2040021,,,,,,
648,Lactobacillaceae,Lactobacillales,GCF_001437055.1,,non-host associated,16.66666667,0,0,1673584,,,,,,
652,Lactobacillaceae,Lactobacillales,GCF_000247775.1,,other host associated,16.66666667,0,0,1904872,,,,,,
654,Lactobacillaceae,Lactobacillales,GCF_000010145.1 ,,non-host associated,16.66666667,0,0,2128668,,,,,,
656,Lactobacillaceae,Lactobacillales,GCF_000159215.1,,non-host associated,16.66666667,0,0,1826971,,,,,,
668,Lactobacillaceae,Lactobacillales,GCF_001437605.1,,non-host associated,16.66666667,0,0,1794424,,,,,,
686,Lactobacillaceae,Lactobacillales,GCF_000260775.1,,non-host associated,16.66666667,0,0,2037407,,,,,,
689,Lactobacillaceae,Lactobacillales,GCF_001433995.1,,non-host associated,16.66666667,0,0,2636514,,,,,,
693,Lactobacillaceae,Lactobacillales,GCF_001435995.1,,non-host associated,16.66666667,0,0,1504637,,,,,,
695,Lactobacillaceae,Lactobacillales,GCF_001311115.1,,non-host associated,16.66666667,0,0,1460814,,,,,,
697,Lactobacillaceae,Lactobacillales,GCF_001436555.1,,gut,16.66666667,0,0,1592907,,,,,,
807,Helcococcaceae,Clostridiales,GCF_000163295.1,,other host associated,16.66666667,0,0,1911002,,,,,,
,Bacteroides oleiciplenus,Bacteroidetes,GCF_000315485.1,,gut,16.66666667,0,0,7176339,,,,,,
,Enterobacter cloacae,Proteobacteria,GCF_000025565.1,,gut,16.66666667,0,0,5669050,,,,,,
,Bacteroides salyersiae,Bacteroidetes,GCF_000381365.1,,gut,16.66666667,0,0,5381896,,,,,,
,Bacteroides acidifaciens,Bacteroidetes,GCF_010206385.1,,gut,16.66666667,0,0,5207451,,,,,,
,Bacteroides finegoldii,Bacteroidetes,GCF_000304195.1,,gut,16.66666667,0,0,5179577,,,,,,
,Bacteroides uniformis,Bacteroidetes,GCF_006742345.1,,gut,16.66666667,0,0,5051904,,,,,,
,Bacteroides ndongoniae,Bacteroidetes,GCF_900108345.1,,gut,16.66666667,0,0,5011143,,,,,,
,Escherichia fergusonii,Proteobacteria,GCF_000026225.1,,gut,16.66666667,0,0,4702054,,,,,,
,Bacteroides stercoris,Bacteroidetes,GCF_000154525.1,,gut,16.66666667,0,0,4059960,,,,,,
,Bacteroides clarus,Bacteroidetes,GCF_000195615.1,,gut,16.66666667,0,0,3794022,,,,,,
,Moellerella wisconsensis,Proteobacteria,GCF_001294465.1,,gut,16.66666667,0,0,3355307,,,,,,
,Bifidobacterium longum,Actinobacteria,GCF_000020425.1,,gut,16.66666667,0,0,2868158,,,,,,
378,Aerococcaceae,Lactobacillales,GCF_000421665.1,,non-host associated,18.18181818,0,0,2279866,,,,,,
397,Carnobacteriaceae,Lactobacillales,GCF_000374325.1,,non-host associated,18.18181818,0,0,1464978,,,,,,
400,Catellicoccaceae,Lactobacillales,GCF_000313915.1,,non-host associated,18.18181818,0,0,1307312,,,,,,
443,Streptococcaceae,Lactobacillales,GCF_000327305.1,,non-host associated,18.18181818,0,0,2280761,,,,,,
454,Streptococcaceae,Lactobacillales,GCF_000463425.1 ,,non-host associated,18.18181818,0,0,2019603,,,,,,
455,Streptococcaceae,Lactobacillales,GCF_000306805.1 ,,oral,18.18181818,0,0,1961234,,,,,,
481,Streptococcaceae,Lactobacillales,ERR2221173,12718_7#66,gut,18.18181818,0,0,2220266,no,,,,,
488,Streptococcaceae,Lactobacillales,GCF_000772915.1,,non-host associated,18.18181818,0,0,1686902,,,,,,
489,Streptococcaceae,Lactobacillales,GCF_000020765.1,,other host associated,18.18181818,0,0,2053089,,,,,,
490,Streptococcaceae,Lactobacillales,GCF_000007285.1,,other host associated,18.18181818,0,0,1922090,,,,,,
492,Streptococcaceae,Lactobacillales,GCF_000187975.2,,other host associated,18.18181818,0,0,2458868,,,,,,
499,Streptococcaceae,Lactobacillales,GCF_000376985.1,,non-host associated,18.18181818,0,0,2462902,,,,,,
500,Streptococcaceae,Lactobacillales,GCF_000027185.1,,gut,18.18181818,0,0,2384497,,,,,,
502,Streptococcaceae,Lactobacillales,GCF_000246835.1 ,,other host associated,18.18181818,0,0,2016827,,,,,,
503,Streptococcaceae,Lactobacillales,GCF_000154985.1,,other host associated,18.18181818,0,0,1957183,,,,,,
504,Streptococcaceae,Lactobacillales,GCF_000441535.1,,gut,18.18181818,0,0,2003771,,,,,,
505,Streptococcaceae,Lactobacillales,18391_1#11,18391_1#11,gut,18.18181818,0,0,1980562,no,,,,,
528,Lactobacillaceae,Lactobacillales,GCF_001437205.1,,non-host associated,18.18181818,0,0,2121769,,,,,,
540,Lactobacillaceae,Lactobacillales,GCF_000967245.1,,non-host associated,18.18181818,0,0,1819881,,,,,,
543,Lactobacillaceae,Lactobacillales,GCF_001434665.1,,non-host associated,18.18181818,0,0,2210115,,,,,,
544,Lactobacillaceae,Lactobacillales,GCF_000615905.1,,non-host associated,18.18181818,0,0,2723210,,,,,,
549,Lactobacillaceae,Lactobacillales,GCF_001434275.1,,non-host associated,18.18181818,0,0,2375403,,,,,,
551,Lactobacillaceae,Lactobacillales,GCF_001436605.1,,non-host associated,18.18181818,0,0,1310846,,,,,,
561,Lactobacillaceae,Lactobacillales,GCF_000425905.1,,non-host associated,18.18181818,0,0,1565397,,,,,,
567,Lactobacillaceae,Lactobacillales,GCF_000970735.1,,non-host associated,18.18181818,0,0,1708010,,,,,,
569,Lactobacillaceae,Lactobacillales,GCF_000296855.1,,non-host associated,18.18181818,0,0,1959346,,,,,,
571,Lactobacillaceae,Lactobacillales,GCF_001434335.1,,other host associated,18.18181818,0,0,2112875,,,,,,
575,Lactobacillaceae,Lactobacillales,12718_7#14,12718_7#14,gut,18.18181818,0,0,2051103,no,,,,,
577,Lactobacillaceae,Lactobacillales,GCF_000160855.1,,gut,18.18181818,0,0,1838924,,,,,,
595,Lactobacillaceae,Lactobacillales,GCF_000423245.1,,non-host associated,18.18181818,0,0,1407861,,,,,,
597,Lactobacillaceae,Lactobacillales,GCF_001436315.1,,non-host associated,18.18181818,0,0,1708546,,,,,,
598,Lactobacillaceae,Lactobacillales,GCF_000260635.1,,non-host associated,18.18181818,0,0,2324775,,,,,,
599,Lactobacillaceae,Lactobacillales,GCF_000349725.1,,non-host associated,18.18181818,0,0,2385530,,,,,,
602,Lactobacillaceae,Lactobacillales,14637_1#58,14637_1#58,oral,18.18181818,0,0,2042388,,,,,,
605,Lactobacillaceae,Lactobacillales,20298_2#41,20298_2#41,non-host associated,18.18181818,0,0,2187832,,,,,,
606,Lactobacillaceae,Lactobacillales,GCF_000224985.1,,rumen,18.18181818,0,0,2096177,,,,,,
609,Lactobacillaceae,Lactobacillales,ERR2221126,12718_7#17,gut,18.18181818,0,0,2258321,,,,,,
610,Lactobacillaceae,Lactobacillales,GCF_000183825.1,,other host associated,18.18181818,0,0,1896800,,,,,,
611,Lactobacillaceae,Lactobacillales,20298_2#1,20298_2#1,gut,18.18181818,0,0,1880663,,,,,,
612,Lactobacillaceae,Lactobacillales,20298_2#58,20298_2#58,non-host associated,18.18181818,0,0,1925410,,,,,,
613,Lactobacillaceae,Lactobacillales,GCF_000420365.1,,non-host associated,18.18181818,0,0,1381028,,,,,,
623,Lactobacillaceae,Lactobacillales,GCF_000165675.1,,non-host associated,18.18181818,0,0,1666305,,,,,,
625,Lactobacillaceae,Lactobacillales,GCF_001047115.1,,non-host associated,18.18181818,0,0,1435418,,,,,,
627,Lactobacillaceae,Lactobacillales,GCF_000298875.1,,non-host associated,18.18181818,0,0,1920550,,,,,,
633,Lactobacillaceae,Lactobacillales,GCF_000428925.1,,non-host associated,18.18181818,0,0,2909543,,,,,,
639,Lactobacillaceae,Lactobacillales,GCF_000010005.1,,gut,18.18181818,0,0,2068550,,,,,,
640,Lactobacillaceae,Lactobacillales,GCF_000159455.2,,gut,18.18181818,0,0,2296749,,,,,,
641,Lactobacillaceae,Lactobacillales,14207_6#6,14207_6#6,gut,18.18181818,0,0,2116578,no,,,,,
643,Lactobacillaceae,Lactobacillales,GCF_000159435.1,,other host associated,18.18181818,0,0,1836452,,,,,,
644,Lactobacillaceae,Lactobacillales,20298_2#35,20298_2#35,non-host associated,18.18181818,0,0,1985597,,,,,,
651,Lactobacillaceae,Lactobacillales,GCF_001311375.1,,non-host associated,18.18181818,0,0,1619749,,,,,,
657,Lactobacillaceae,Lactobacillales,GCF_000148815.2,,oral,18.18181818,0,0,3300869,,,,,,
660,Lactobacillaceae,Lactobacillales,GCF_001039045.1,,non-host associated,18.18181818,0,0,2948231,,,,,,
662,Lactobacillaceae,Lactobacillales,ERR2221349,20298_3#14,non-host associated,18.18181818,0,0,3513531,,,,,,
665,Lactobacillaceae,Lactobacillales,GCF_001438655.1,,non-host associated,18.18181818,0,0,2072385,,,,,,
666,Lactobacillaceae,Lactobacillales,GCF_001437405.1,,non-host associated,18.18181818,0,0,2298624,,,,,,
670,Lactobacillaceae,Lactobacillales,GCF_001437075.1,,non-host associated,18.18181818,0,0,1868606,,,,,,
671,Lactobacillaceae,Lactobacillales,12718_7#62,12718_7#62,non-host associated,18.18181818,0,0,1902969,,,,,,
672,Lactobacillaceae,Lactobacillales,20298_2#42,20298_2#42,non-host associated,18.18181818,0,0,2066203,,,,,,
673,Lactobacillaceae,Lactobacillales,20298_2#66,20298_2#66,gut,18.18181818,0,0,1989014,,,,,,
685,Lactobacillaceae,Lactobacillales,GCF_000740055.1,,non-host associated,18.18181818,0,0,1891442,,,,,,
732,Veillonellaceae,Clostridiales,GCF_000426745.1,,other host associated,18.18181818,0,0,1901137,,,,,,
811,Helcococcaceae,Clostridiales,GCF_000758765.1,,other host associated,18.18181818,0,0,1969167,,,,,,
,Bacteroides koreensis,Bacteroidetes,GCF_007341375.1,,gut,18.18181818,0,0,7270879,,,,,,
,Bacteroides kribbi,Bacteroidetes,GCF_007341395.1,,gut,18.18181818,0,0,7266456,,,,,,
,Bacteroides ovatus,Bacteroidetes,GCF_001314995.1,,gut,18.18181818,0,0,6553396,,,,,,
,Bacteroides thetaiotaomicron,Bacteroidetes,GCF_000011065.1,,gut,18.18181818,0,0,6372067,,,,,,
,Shigella flexneri,Proteobacteria,GCF_002950215.1,,gut,18.18181818,0,0,5000288,,,,,,
,Parabacteroides merdae,Bacteroidetes,ERS852463,13470_2#67,gut,18.18181818,0,0,4305808,,,,,,
,Bacteroides eggerthii,Bacteroidetes,GCF_000155815.1,,gut,18.18181818,0,0,4250117,,,,,,
,Proteus mirabilis,Proteobacteria,GCF_000069965.1,,gut,18.18181818,0,0,4151275,,,,,,
,Phocaeicola coprophilus,Bacteroidetes,GCF_000157915.1,,gut,18.18181818,0,0,4092060,,,,,,
,Bacteroides togonis,Bacteroidetes,GCF_900130135.1,,gut,18.18181818,0,0,4026828,,,,,,
,Comamonas kerstersii,Proteobacteria,GCF_002056725.1,,gut,18.18181818,0,0,3592340,,,,,,
,Prevotella copri,Bacteroidetes,ERS852495,14207_7#4,gut,18.18181818,0,0,3221647,,,,,,
,Bifidobacterium breve,Actinobacteria,GCF_001025175.1,,gut,18.18181818,0,0,2297783,,,,,,
,Bifidobacterium bifidum,Actinobacteria,GCF_001025135.1,,gut,18.18181818,0,0,2238677,,,,,,
17,Erysipelotrichaceae,Erysipelotrichales,GCF_000702065.1,,rumen,19.6969697,0,0,2157463,,,,,,
