focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_spoIID,CSUsets,Anaerobic_Digestors,1,VIRSorter_AD_CERC_C1A_k121_960577_flag_1_multi_61_5178_len_13971-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Anaerobic_Digestors,2,VIRSorter_AD_CERC_C7A_k121_18704_flag_0_multi_51_5194_len_112620_gene_9_gene_106-4790-95673-cat_4,cat_4,FALSE
Bs_spoIID,CSUsets,Anaerobic_Digestors,3,VIRSorter_AD_CERC_C7A_k121_267218_flag_0_multi_67_9926_len_109514-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Anaerobic_Digestors,4,VIRSorter_AD_CERC_C8A_k121_13425_flag_0_multi_102_5157_len_109514-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Anaerobic_Digestors,5,VIRSorter_AD_CERC_C8A_k121_18808_flag_0_multi_49_5922_len_112251_gene_33_gene_132-16579-107462-cat_4,cat_4,FALSE
Bs_spoIID,CSUsets,Anaerobic_Digestors,6,VIRSorter_AD_CERC_I1A_k121_761118_flag_0_multi_26_0961_len_28100-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Anaerobic_Digestors,7,VIRSorter_AD_CERC_I7A_k121_84970_flag_1_multi_46_0326_len_109346-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Anaerobic_Digestors,8,VIRSorter_AD_CERC_I8A_k121_13840_flag_0_multi_79_0434_len_109514-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_30_gene_47_gene_146-53824-154949-cat_4,cat_4,FALSE
Bs_spoIID,CSUsets,CT_feces,2,VIRSorter_CT_feces_enrich_feces_day27_scaffold_159-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Fractured_shale,1,VIRSorter_shale_W_1_scaffold_25-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS016989_scaffold_65-cat_2-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS148253_scaffold_361-cat_2-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Huttenhower,1,VIRSorter_2041_megahit_k119_22955_flag_1_multi_68_0000_len_33408-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Huttenhower,2,VIRSorter_2042_megahit_k119_287175_flag_0_multi_92_9364_len_29055-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Huttenhower,3,VIRSorter_2071_megahit_k119_10581_flag_0_multi_39_9907_len_167223-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Huttenhower,4,VIRSorter_2084_megahit_k119_99754_flag_0_multi_83_9025_len_27683-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Huttenhower,5,VIRSorter_2085_megahit_k119_131015_flag_0_multi_27_9525_len_64876-cat_2,cat_2,MAYBE
Bs_spoIID,CSUsets,Huttenhower,6,VIRSorter_3001_megahit_k119_37411_flag_1_multi_41_6526_len_64868-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Huttenhower,7,VIRSorter_3006_megahit_k119_99193_flag_0_multi_19_5131_len_32947-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Huttenhower,8,VIRSorter_3010_megahit_k119_136462_flag_1_multi_13_0000_len_37154-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Huttenhower,9,VIRSorter_3015_megahit_k119_88952_flag_1_multi_36_0000_len_36698-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Huttenhower,10,VIRSorter_4006_megahit_k119_191074_flag_1_multi_18_8852_len_62952-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Huttenhower,11,VIRSorter_4008_megahit_k119_103805_flag_0_multi_14_9926_len_38131-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Huttenhower,12,VIRSorter_4035_megahit_k119_33300_flag_0_multi_38_1363_len_34078-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Huttenhower,13,VIRSorter_5004_megahit_k119_83573_flag_0_multi_25_9983_len_302096_gene_205_gene_304-205917-301852-cat_4,cat_4,FALSE
Bs_spoIID,CSUsets,Huttenhower,14,VIRSorter_6005_megahit_k119_120961_flag_0_multi_17_5781_len_127668-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Huttenhower,15,VIRSorter_6014_megahit_k119_90623_flag_0_multi_23_9978_len_207043_gene_162_gene_226-154872-202467-cat_5,cat_5,FALSE
Bs_spoIID,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P116_scaffold_1245-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P140_scaffold_88-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P142_scaffold_270-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P142_scaffold_2924-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P159_scaffold_137_gene_7_gene_21-5835-23305-cat_5,cat_5,FALSE
Bs_spoIID,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P21_scaffold_166-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Methylamines,7,VIRSorter_NIH_meth_P52_scaffold_768-cat_2,cat_2,FALSE
Bs_spoIID,CSUsets,Methylamines,8,VIRSorter_NIH_meth_P53_scaffold_66_gene_8_gene_107-6972-101928-cat_5,cat_5,FALSE
Bs_spoIID,CSUsets,Methylamines,9,VIRSorter_NIH_meth_P64_scaffold_366-cat_2,cat_2,FALSE
