refseq.id	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral replication genes	Viral genes with unknown function	Viral hypothetical genes	Viral genes with host benefits	Viral structure genes	Viral genes with viral benefits
NC_000866.4	0	FALSE	0	265	12	2	FALSE	0.064150943	29	135	34	37	13	17
NC_000871.1	0	FALSE	0	46	0	0	FALSE	0.065217391	3	36	3	3	1	0
NC_000872.1	0	FALSE	0	54	2	0	FALSE	0.074074074	4	40	5	4	1	0
NC_000896.1	0	FALSE	0	66	3	0	FALSE	0.03030303	4	26	33	2	1	0
NC_000902.1	0	FALSE	0	85	2	0	FALSE	0.082352941	4	55	14	7	1	4
NC_000924.1	0	FALSE	0	87	4	0	FALSE	0.103448276	4	58	10	9	1	5
NC_000929.1	0	FALSE	0	55	6	0	FALSE	0.309090909	7	12	7	23	2	4
NC_000935.1	0	FALSE	0	39	4	0	FALSE	0.102564103	8	12	12	4	2	1
NC_001271.1	0	FALSE	0	46	0	0	FALSE	0.02173913	17	15	3	1	3	7
NC_001317.1	0	FALSE	0	41	3	0	FALSE	0.097560976	7	11	6	10	3	4
NC_001335.1	0	FALSE	0	89	3	0	FALSE	0	9	64	11	0	2	3
NC_001416.1	0	FALSE	0	62	6	0	FALSE	0.032258065	12	25	10	8	1	6
NC_001423.1	0	FALSE	0	25	1	0	FALSE	0.04	9	1	10	2	1	2
NC_001604.1	0	FALSE	0	50	0	0	FALSE	0.04	17	16	5	2	3	7
NC_001609.1	0	FALSE	0	14	2	0	FALSE	0.214285714	2	1	8	3	0	0
NC_001629.1	0	FALSE	0	39	1	0	FALSE	0.076923077	2	29	3	3	2	0
NC_001697.1	0	FALSE	0	43	3	0	FALSE	0.069767442	4	21	8	7	1	2
NC_001706.1	0	FALSE	0	37	1	0	FALSE	0.081081081	2	27	3	3	2	0
NC_001825.1	0	FALSE	0	27	1	0	FALSE	0.037037037	6	11	8	1	1	0
NC_001835.1	0	FALSE	0	56	2	0	FALSE	0.017857143	6	35	9	3	3	0
