focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_spoIIIAG,CSUsets,Huttenhower,1,VIRSorter_3011_megahit_k119_72710_flag_0_multi_17_9869_len_93312-cat_2,cat_2,FALSE
Bs_spoIIIAG,CSUsets,Huttenhower,2,VIRSorter_4004_megahit_k119_21995_flag_1_multi_19_9980_len_194836_gene_15_gene_114-15911-104823-cat_4,cat_4,FALSE
Bs_spoIIIAG,CSUsets,Huttenhower,3,VIRSorter_4018_megahit_k119_26051_flag_0_multi_32_9933_len_191774_gene_105_gene_205-103628-191824-cat_5,cat_5,FALSE
Bs_spoIIIAG,CSUsets,Huttenhower,4,VIRSorter_6033_megahit_k119_88524_flag_1_multi_23_9953_len_98768-cat_2,cat_2,FALSE
Bs_spoIIIAG,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P135_scaffold_55_gene_92_gene_191-93277-203304-cat_5,cat_5,FALSE
Bs_spoIIIAG,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P20_scaffold_114-cat_2,cat_2,FALSE
Bs_spoIIIAG,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P27_scaffold_77_gene_71_gene_120-82693-135091-cat_5,cat_5,FALSE
Bs_spoIIIAG,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P30_scaffold_30_gene_244_gene_347-268642-374626-cat_5,cat_5,FALSE
Bs_spoIIIAG,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P31_scaffold_17_gene_1_gene_134-0-137624-cat_5,cat_5,FALSE
Bs_spoIIIAG,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P95_scaffold_792-cat_2,cat_2,FALSE
Bs_spoIIIAG,CSUsets,Salmonella_HFD,1,VIRSorter_IDBACoAss_scaffold_2500_scaffold_1303-cat_2,cat_2,FALSE
Bs_spoIIIAG,CSUsets,Salmonella_HFD,2,VIRSorter_LM_megahit_final_contigs_2500_k119_231336_flag_0_multi_65_4196_len_245717_gene_100_gene_236-114546-245563-cat_5,cat_5,FALSE
Bs_spoIIIAG,CSUsets,Salmonella_HFD,3,VIRSorter_LM_megahit_final_contigs_2500_k119_83982_flag_0_multi_157_6533_len_90421-cat_2,cat_2,FALSE
Bs_spoIIIAG,CSUsets,Salmonella_HFD,4,VIRSorter_LO_idba_scaffold_2500_scaffold_568-cat_2,cat_2,FALSE
Bs_spoIIIAG,CSUsets,Salmonella_HFD,5,VIRSorter_LO_megahit_final_contigs_2500_k119_98030_flag_0_multi_52_7836_len_251097_gene_100_gene_235-119926-250943-cat_5,cat_5,FALSE
Bs_spoIIIAG,CSUsets,Salmonella_HFD,6,VIRSorter_LP_megahit_final_contigs_2500_k119_191466_flag_0_multi_39_4227_len_250785_gene_100_gene_235-119614-250631-cat_5,cat_5,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,1,ivig_2333,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,2,uvig_108080,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,3,uvig_108246,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,4,uvig_109412,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,5,uvig_110260,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,6,uvig_110868,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,7,uvig_113308,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,8,uvig_124678,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,9,uvig_125178,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,10,uvig_129316,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,11,uvig_130902,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,12,uvig_132442,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,13,uvig_134080,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,14,uvig_141166,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,15,uvig_143147,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,16,uvig_145331,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,17,uvig_147341,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,18,uvig_149715,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,19,uvig_149796,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,20,uvig_149856,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,21,uvig_151480,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,22,uvig_152825,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,23,uvig_153113,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,24,uvig_154606,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,25,uvig_156395,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,26,uvig_160426,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,27,uvig_161161,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,28,uvig_166155,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,29,uvig_168915,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,30,uvig_171817,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,31,uvig_177040,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,32,uvig_180229,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,33,uvig_180616,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,34,uvig_184125,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,35,uvig_184543,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,36,uvig_1900,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,37,uvig_191504,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,38,uvig_194583,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,39,uvig_196452,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,40,uvig_205671,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,41,uvig_208925,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,42,uvig_210122,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,43,uvig_221964,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,44,uvig_231523,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,45,uvig_233876,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,46,uvig_23605,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,47,uvig_246645,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,48,uvig_246750,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,49,uvig_246783,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,50,uvig_247700,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,51,uvig_250984,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,52,uvig_251875,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,53,uvig_253630,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,54,uvig_256256,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,55,uvig_257736,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,56,uvig_277869,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,57,uvig_284877,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,58,uvig_288313,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,59,uvig_291788,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,60,uvig_297347,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,61,uvig_299424,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,62,uvig_310971,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,63,uvig_311174,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,64,uvig_31352,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,65,uvig_318611,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,66,uvig_321665,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,67,uvig_325984,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,68,uvig_327853,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,69,uvig_333155,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,70,uvig_335661,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,71,uvig_374544,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,72,uvig_375885,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,73,uvig_383867,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,74,uvig_384104,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,75,uvig_392523,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,76,uvig_396362,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,77,uvig_396886,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,78,uvig_417921,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,79,uvig_421762,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,80,uvig_431887,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,81,uvig_433135,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,82,uvig_440646,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,83,uvig_447672,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,84,uvig_464342,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,85,uvig_486058,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,86,uvig_486187,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,87,uvig_490203,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,88,uvig_496629,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,89,uvig_497747,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,90,uvig_499113,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,91,uvig_501285,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,92,uvig_513081,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,93,uvig_557046,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,94,uvig_558176,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,95,uvig_561869,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,96,uvig_571215,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,97,uvig_578205,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,98,uvig_578850,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,99,uvig_64175,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,100,uvig_88290,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,101,uvig_96829,NA,FALSE
Bs_spoIIIAG,GPD,Camarillo-Guerrero,102,uvig_97894,NA,FALSE
Bs_spoIIIAG,GVD,Gregory_gvd,1,Han_2018_ERR1398255_NODE_1110_length_15715_cov_5.942912,NA,FALSE
Bs_spoIIIAG,GVD,Gregory_gvd,2,Han_2018_ERR1398256_NODE_460_length_38783_cov_9.007385,NA,FALSE
Bs_spoIIIAG,GVD,Gregory_gvd,3,Han_2018_ERR1398257_NODE_425_length_46184_cov_15.200199,NA,FALSE
Bs_spoIIIAG,GVD,Gregory_gvd,4,Ma_2019_SRR413575_NODE_186_length_79929_cov_7.417420,NA,FALSE
Bs_spoIIIAG,GVD,Gregory_gvd,5,Ma_2019_SRR413725_NODE_219_length_55218_cov_4.570382,NA,FALSE
Bs_spoIIIAG,GVD,Gregory_gvd,6,Monaco_MBA1764_NODE_2526_length_3162_cov_4.201481,NA,FALSE
Bs_spoIIIAG,GVD,Gregory_gvd,7,Rampelli_20003_NODE_1139_length_6895_cov_2.907895,NA,FALSE
