gene_id,nonsporulator.host,sporulator.host,spor_gene,M,N,K,p.val,adj.p,sig,n_spor_gene,spor_description,print.lab,lab
K08384,0,9,sporulation_gene,4224,9383,9,0,0,TRUE,2,"spoVD;stage V sporulation protein D,Stage V sporulation protein D (Sporulation-specific penicillin-binding protein)",TRUE,K08384(2)
K03496,138,227,sporulation_gene,4224,9383,365,5.1249073850109425e-36,4.0380735775000013e-35,TRUE,2,"parA;sporulation initiation inhibitor protein Soj,Transcriptional regulator, sporulation initiation inhibitor, chromosome partitioning protein",TRUE,K03496(2)
K07171,28,116,sporulation_gene,4224,9383,144,9.219699563488207e-36,7.202397778656599e-35,TRUE,1,Endoribonuclease toxin,TRUE,K07171(1)
K01356,12,73,sporulation_gene,4224,9383,85,6.604992137085127e-27,5.073077994366224e-26,TRUE,1,lexA;lexa repressor,TRUE,K01356(1)
K00390,190,216,sporulation_gene,4224,9383,406,1.6573053281439743e-21,1.262314224936327e-20,TRUE,1,yitB;phosphoadenosine phosphosulfate reductase,TRUE,K00390(1)
K03091,13,62,sporulation_gene,4224,9383,75,2.4822712203579025e-21,1.8750379300885313e-20,TRUE,8,"sigH;RNA polymerase sigma-H factor,sigE;RNA polymerase sigma-E factor,sigG;RNA polymerase sigma-G factor,sigF;RNA polymerase sigma-F factor,RNA polymerase sigma-F factor,Sigma K,RNA polymerase sigma-G factor,RNA polymerase sigma-E factor",TRUE,K03091(8)
K01449,15,64,sporulation_gene,4224,9383,79,5.425241335795106e-21,4.064484082718629e-20,TRUE,3,"cwlJ;cell wall hydrolase CwlJ,sleB;spore cortex-lytic enzyme,putative spore cortex-lytic hydrolase",TRUE,K01449(3)
K07699,11,56,sporulation_gene,4224,9383,67,5.755780949776934e-20,4.277059990322047e-19,TRUE,2,"spo0A;stage 0 sporulation protein A,Stage 0 sporulation protein A",TRUE,K07699(2)
K03469,80,101,sporulation_gene,4224,9383,181,1.1942603429380404e-12,8.732431627562952e-12,TRUE,1,ypeP;hypothetical protein,TRUE,K03469(1)
K03497,170,163,sporulation_gene,4224,9383,333,1.7841547460280848e-12,1.294220188785452e-11,TRUE,2,"parB;stage 0 sporulation protein J,Stage 0 sporulation protein J, site-specific DNA-binding protein",TRUE,K03497(2)
K06334,7,33,sporulation_gene,4224,9383,40,2.2017458186913196e-12,1.5845635262077685e-11,TRUE,3,"cotJC;spore coat peptide assembly protein CotJC,Spore-coat protein, manganese catalase,Spore coat protein, manganese catalase",TRUE,K06334(3)
K02051,14,32,sporulation_gene,4224,9383,46,1.5795729797106692e-8,1.0312355024682512e-7,TRUE,1,ytlA;ABC transporter substrate-binding protein YtlA,TRUE,K02051(1)
K00688,12,29,sporulation_gene,4224,9383,41,3.427680224556055e-8,2.221914698754776e-7,TRUE,1,glgP;glycogen phosphorylase,TRUE,K00688(1)
K01647,25,40,sporulation_gene,4224,9383,65,9.764552883772389e-8,6.197778705394419e-7,TRUE,1,mmgD;2-methylcitrate synthase,TRUE,K01647(1)
K06333,5,19,sporulation_gene,4224,9383,24,1.7645367194657578e-7,1.1122665942011742e-6,TRUE,3,"cotJB;spore coat protein CotJB,Spore coat peptide assembly protein CotF,Spore coat peptide assembly protein CotJB 2",TRUE,K06333(3)
K23989,1,12,sporulation_gene,4224,9383,13,2.4544972201506423e-7,1.5365825063134842e-6,TRUE,1,lytD;beta-N-acetylglucosaminidase,TRUE,K23989(1)
