focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_yrbD,CSUsets,Anaerobic_Digestors,1,VIRSorter_AD_CERC_I3A_k121_110577_flag_0_multi_37_0479_len_487663_gene_295_gene_420-324751-473460-cat_5,cat_5,FALSE
Bs_yrbD,CSUsets,Anaerobic_Digestors,2,VIRSorter_AD_CERC_I3A_k121_19101_flag_0_multi_261_3116_len_57341-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_840-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA107_ANT-F21_scaffold_4522-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Fractured_shale,1,VIRSorter_shale_CT_3_scaffold_16_gene_5_gene_68-7496-70317_gene_1_gene_28-0-26548-cat_5,cat_5,TRUE
Bs_yrbD,CSUsets,Fractured_shale,2,VIRSorter_shale_K_7_2_K-7-2_scaffold_69_gene_5_gene_71-7495-72082_gene_1_gene_28-0-26510-cat_5,cat_5,TRUE
Bs_yrbD,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS014287_scaffold_156-cat_2-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS144537_scaffold_447-cat_2-cat_2,cat_2,MAYBE
Bs_yrbD,CSUsets,Huttenhower,1,VIRSorter_2039_megahit_k119_147835_flag_0_multi_41_9885_len_142934_gene_28_gene_128-28671-132445-cat_5,cat_5,FALSE
Bs_yrbD,CSUsets,Huttenhower,2,VIRSorter_2064_megahit_k119_98923_flag_0_multi_109_9727_len_23588-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Huttenhower,3,VIRSorter_2068_megahit_k119_13336_flag_1_multi_98_8968_len_22912-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Huttenhower,4,VIRSorter_2069_megahit_k119_56893_flag_0_multi_67_1682_len_155434_gene_33_gene_132-28895-120277-cat_4,cat_4,FALSE
Bs_yrbD,CSUsets,Huttenhower,5,VIRSorter_2071_megahit_k119_68401_flag_0_multi_117_9806_len_120436-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Huttenhower,6,VIRSorter_2075_megahit_k119_131511_flag_0_multi_19_5880_len_11165-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Huttenhower,7,VIRSorter_2075_megahit_k119_7197_flag_0_multi_60_0000_len_52028-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Huttenhower,8,VIRSorter_2084_megahit_k119_111213_flag_0_multi_34_9956_len_154001_gene_18_gene_117-24920-128521-cat_4,cat_4,FALSE
Bs_yrbD,CSUsets,Huttenhower,9,VIRSorter_2085_megahit_k119_24966_flag_1_multi_14_9898_len_27678-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Huttenhower,10,VIRSorter_2097_megahit_k119_126927_flag_0_multi_21_9956_len_28557-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Huttenhower,11,VIRSorter_3002_megahit_k119_6643_flag_0_multi_106_9837_len_130549-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Huttenhower,12,VIRSorter_3004_megahit_k119_113990_flag_1_multi_14_9949_len_55028-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Huttenhower,13,VIRSorter_3008_megahit_k119_24599_flag_0_multi_28_0604_len_113634-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Huttenhower,14,VIRSorter_3017_megahit_k119_66196_flag_1_multi_12_0000_len_55284_gene_36_gene_59-34489-55334-cat_5,cat_5,MAYBE
Bs_yrbD,CSUsets,Huttenhower,15,VIRSorter_3032_megahit_k119_164455_flag_0_multi_42_9685_len_28110-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Huttenhower,16,VIRSorter_3032_megahit_k119_195746_flag_0_multi_16_6768_len_11147-cat_2,cat_2,TRUE
Bs_yrbD,CSUsets,Huttenhower,17,VIRSorter_4024_megahit_k119_26368_flag_0_multi_51_9819_len_150162_gene_41_gene_141-46343-146753-cat_5,cat_5,FALSE
Bs_yrbD,CSUsets,Huttenhower,18,VIRSorter_5009_megahit_k119_71939_flag_0_multi_46_9825_len_105162-cat_2,cat_2,MAYBE
Bs_yrbD,CSUsets,Huttenhower,19,VIRSorter_5009_megahit_k119_94604_flag_1_multi_18_5595_len_43368-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Huttenhower,20,VIRSorter_6014_megahit_k119_66105_flag_0_multi_18_0000_len_16709-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Huttenhower,21,VIRSorter_6037_megahit_k119_66059_flag_0_multi_51_9961_len_39056-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P130_scaffold_162_gene_49_gene_75-66326-95001-cat_5,cat_5,FALSE
Bs_yrbD,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P135_scaffold_307_gene_1_gene_48-198-57975-cat_5,cat_5,FALSE
Bs_yrbD,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P140_scaffold_88-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P159_scaffold_137_gene_7_gene_21-5835-23305-cat_5,cat_5,FALSE
Bs_yrbD,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P20_scaffold_418-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P26_scaffold_1052-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Methylamines,7,VIRSorter_NIH_meth_P32_scaffold_31_gene_37_gene_136-38743-168526-cat_4,cat_4,FALSE
Bs_yrbD,CSUsets,Methylamines,8,VIRSorter_NIH_meth_P36_scaffold_401-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Methylamines,9,VIRSorter_NIH_meth_P53_scaffold_17_gene_15_gene_114-15898-114967-cat_4,cat_4,FALSE
Bs_yrbD,CSUsets,Methylamines,10,VIRSorter_NIH_meth_P54_scaffold_1240-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Methylamines,11,VIRSorter_NIH_meth_P95_scaffold_1028-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Methylamines,12,VIRSorter_NIH_meth_P95_scaffold_872-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Methylamines,13,VIRSorter_NIH_meth_P99_scaffold_320_gene_83_gene_198-97963-216836-cat_5,cat_5,FALSE
Bs_yrbD,CSUsets,Salmonella_chow,1,VIRSorter_NIH_Sal_DKWLMControl_V1KH_1_scaffold_988-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Salmonella_chow,2,VIRSorter_NIH_Sal_DKWLOControl_V1KH_1_scaffold_1084-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Salmonella_chow,3,VIRSorter_NIH_Sal_DKWLPControl_V1KH_1_scaffold_1180-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Salmonella_HFD,1,VIRSorter_5_10_2_8_no_mouse_final_contigs_ml25000_k141_6435_flag_0_multi_71_0000_len_57345-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Salmonella_HFD,2,VIRSorter_5_14_2_5_no_mouse_final_contigs_ml25000_k141_371737_flag_1_multi_72_1925_len_94321-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Salmonella_HFD,3,VIRSorter_LM_idba_scaffold_2500_scaffold_1146-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Salmonella_HFD,4,VIRSorter_LM_megahit_final_contigs_2500_k119_246739_flag_1_multi_5_9797_len_21323-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Salmonella_HFD,5,VIRSorter_LO_idba_scaffold_2500_scaffold_1197-cat_2,cat_2,FALSE
Bs_yrbD,CSUsets,Salmonella_HFD,6,VIRSorter_LP_idba_scaffold_2500_scaffold_1196-cat_2,cat_2,FALSE
Bs_yrbD,GPD,Camarillo-Guerrero,1,ivig_1940,NA,FALSE
Bs_yrbD,GPD,Camarillo-Guerrero,2,ivig_85,NA,FALSE
Bs_yrbD,GPD,Camarillo-Guerrero,3,uvig_10699,NA,FALSE
Bs_yrbD,GPD,Camarillo-Guerrero,4,uvig_107259,NA,FALSE
Bs_yrbD,GPD,Camarillo-Guerrero,5,uvig_107825,NA,MAYBE
Bs_yrbD,GPD,Camarillo-Guerrero,6,uvig_109352,NA,FALSE
Bs_yrbD,GPD,Camarillo-Guerrero,7,uvig_109532,NA,FALSE
Bs_yrbD,GPD,Camarillo-Guerrero,8,uvig_116938,NA,FALSE
Bs_yrbD,GPD,Camarillo-Guerrero,9,uvig_131025,NA,FALSE
Bs_yrbD,GPD,Camarillo-Guerrero,10,uvig_13219,NA,FALSE
Bs_yrbD,GPD,Camarillo-Guerrero,11,uvig_13271,NA,FALSE
