focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_spoIIID,CSUsets,Anaerobic_Digestors,1,VIRSorter_AD_CERC_I8A_k121_31693_flag_0_multi_208_4569_len_85268-cat_2,cat_2,TRUE
Bs_spoIIID,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA107_ANT-F21_scaffold_4731-cat_2,cat_2,TRUE
Bs_spoIIID,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA110_ANT-KO_scaffold_640-cat_2,cat_2,TRUE
Bs_spoIIID,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA127_NP-F11_scaffold_242-cat_2,cat_2,MAYBE
Bs_spoIIID,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA59_ANT-F21_scaffold_132-cat_2,cat_2,MAYBE
Bs_spoIIID,CSUsets,Frac_DJ_basin,5,VIRSorter_DJKA67_ANT-F21_scaffold_40-circular-cat_1,cat_1,TRUE
Bs_spoIIID,CSUsets,Frac_DJ_basin,6,VIRSorter_DJKA75_ANT-F21_scaffold_30-circular-cat_1,cat_1,TRUE
Bs_spoIIID,CSUsets,Frac_DJ_basin,7,VIRSorter_DJKA99_ANT-F21_scaffold_84-circular-cat_1,cat_1,TRUE
Bs_spoIIID,CSUsets,Fractured_shale,1,VIRSorter_shale_RB_DM3scaffold_81-cat_2,cat_2,FALSE
Bs_spoIIID,CSUsets,Fractured_shale,2,VIRSorter_shale_W_1_scaffold_25-cat_2,cat_2,MAYBE
Bs_spoIIID,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS013940_scaffold_578-cat_2-cat_2,cat_2,TRUE
Bs_spoIIID,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS017821_scaffold_128-circular-cat_2-cat_2,cat_2,TRUE
Bs_spoIIID,CSUsets,Human_Microbiome_Project,3,VIRSorter_HMP_SRS057717_scaffold_79-circular-cat_2-cat_2,cat_2,TRUE
Bs_spoIIID,CSUsets,Human_Microbiome_Project,4,VIRSorter_HMP_SRS144537_scaffold_95_gene_10_gene_109-15628-76959-cat_4-cat_2,cat_2,TRUE
Bs_spoIIID,CSUsets,Huttenhower,1,VIRSorter_2028_megahit_k119_43029_flag_1_multi_23_4176_len_10628-cat_2,cat_2,MAYBE
Bs_spoIIID,CSUsets,Huttenhower,2,VIRSorter_2034_megahit_k119_139368_flag_1_multi_31_0000_len_36974-cat_2,cat_2,TRUE
Bs_spoIIID,CSUsets,Huttenhower,3,VIRSorter_2034_megahit_k119_218586_flag_1_multi_488_7969_len_167377_gene_58_gene_166-65098-167427-cat_5,cat_5,FALSE
Bs_spoIIID,CSUsets,Huttenhower,4,VIRSorter_2048_megahit_k119_114763_flag_1_multi_17_0000_len_62456-cat_2,cat_2,TRUE
Bs_spoIIID,CSUsets,Huttenhower,5,VIRSorter_2060_megahit_k119_107206_flag_0_multi_63_7748_len_27249-cat_2,cat_2,MAYBE
Bs_spoIIID,CSUsets,Huttenhower,6,VIRSorter_2061_megahit_k119_110824_flag_0_multi_31_0000_len_52928-cat_2,cat_2,MAYBE
Bs_spoIIID,CSUsets,Huttenhower,7,VIRSorter_2075_megahit_k119_31816_flag_0_multi_53_3706_len_37838_gene_1_gene_30-291-20594-cat_5,cat_5,FALSE
Bs_spoIIID,CSUsets,Huttenhower,8,VIRSorter_2083_megahit_k119_178923_flag_0_multi_342_7012_len_17542-cat_2,cat_2,FALSE
Bs_spoIIID,CSUsets,Huttenhower,9,VIRSorter_2085_megahit_k119_96609_flag_0_multi_101_0000_len_28209-cat_2,cat_2,TRUE
Bs_spoIIID,CSUsets,Huttenhower,10,VIRSorter_2097_megahit_k119_86910_flag_0_multi_14_8195_len_39203-cat_2,cat_2,FALSE
Bs_spoIIID,CSUsets,Huttenhower,11,VIRSorter_2103_megahit_k119_107580_flag_1_multi_19_0000_len_54726-cat_2,cat_2,FALSE
Bs_spoIIID,CSUsets,Huttenhower,12,VIRSorter_3002_megahit_k119_28000_flag_0_multi_21_9891_len_76866-cat_2,cat_2,FALSE
Bs_spoIIID,CSUsets,Huttenhower,13,VIRSorter_3005_megahit_k119_67013_flag_1_multi_17_0000_len_62174-cat_1,cat_1,TRUE
Bs_spoIIID,CSUsets,Huttenhower,14,VIRSorter_3011_megahit_k119_7505_flag_0_multi_127_9430_len_214248_gene_94_gene_193-103464-214080-cat_4,cat_4,FALSE
Bs_spoIIID,CSUsets,Huttenhower,15,VIRSorter_3022_megahit_k119_63235_flag_0_multi_43_9848_len_112918_gene_86_gene_126-92690-112968-cat_5,cat_5,MAYBE
Bs_spoIIID,CSUsets,Huttenhower,16,VIRSorter_3023_megahit_k119_71122_flag_1_multi_146_9836_len_62528-cat_2,cat_2,MAYBE
Bs_spoIIID,CSUsets,Huttenhower,17,VIRSorter_3027_megahit_k119_117646_flag_0_multi_53_9580_len_50551-cat_2,cat_2,MAYBE
Bs_spoIIID,CSUsets,Huttenhower,18,VIRSorter_3031_megahit_k119_47129_flag_0_multi_14_9929_len_39665_gene_1_gene_35-0-30226-cat_5,cat_5,FALSE
Bs_spoIIID,CSUsets,Huttenhower,19,VIRSorter_3031_megahit_k119_53174_flag_1_multi_10_0000_len_13875-cat_2,cat_2,MAYBE
Bs_spoIIID,CSUsets,Huttenhower,20,VIRSorter_3032_megahit_k119_133665_flag_0_multi_40_9693_len_34000-cat_2,cat_2,MAYBE
Bs_spoIIID,CSUsets,Huttenhower,21,VIRSorter_4006_megahit_k119_137464_flag_0_multi_36_8258_len_235404_gene_21_gene_134-21593-163425-cat_5,cat_5,FALSE
Bs_spoIIID,CSUsets,Huttenhower,22,VIRSorter_4013_megahit_k119_157533_flag_0_multi_27_4079_len_206537_gene_5_gene_108-4189-133990-cat_5,cat_5,FALSE
Bs_spoIIID,CSUsets,Huttenhower,23,VIRSorter_4019_megahit_k119_138801_flag_1_multi_20_9661_len_61415-cat_2,cat_2,TRUE
Bs_spoIIID,CSUsets,Huttenhower,24,VIRSorter_4035_megahit_k119_20220_flag_1_multi_39_9931_len_61972-circular-cat_2,cat_2,TRUE
