focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_glgD,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_30_gene_47_gene_146-53824-154949-cat_4,cat_4,FALSE
Bs_glgD,CSUsets,CT_feces,2,VIRSorter_CT_feces_enrich_feces_day27_scaffold_159-cat_2,cat_2,FALSE
Bs_glgD,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA107_ANT-F21_scaffold_323-cat_2,cat_2,FALSE
Bs_glgD,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA110_ANT-KO_scaffold_1984-cat_2,cat_2,FALSE
Bs_glgD,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA126_ANT-KO_scaffold_4_gene_53_gene_152-63177-160866-cat_4,cat_4,FALSE
Bs_glgD,CSUsets,Frac_DJ_basin,4,VIRSorter_JMDJ28_NP-J24_scaffold_543-cat_2,cat_2,FALSE
Bs_glgD,CSUsets,Huttenhower,1,VIRSorter_2039_megahit_k119_70054_flag_0_multi_56_2691_len_58132-cat_2,cat_2,FALSE
Bs_glgD,CSUsets,Huttenhower,2,VIRSorter_3006_megahit_k119_32934_flag_0_multi_18_2188_len_37322-cat_2,cat_2,FALSE
Bs_glgD,CSUsets,Huttenhower,3,VIRSorter_4006_megahit_k119_134794_flag_0_multi_162_4556_len_76115-cat_2,cat_2,FALSE
Bs_glgD,CSUsets,Huttenhower,4,VIRSorter_4014_megahit_k119_69741_flag_0_multi_71_5010_len_121163-cat_2,cat_2,FALSE
Bs_glgD,CSUsets,Huttenhower,5,VIRSorter_4038_megahit_k119_143998_flag_1_multi_12_8276_len_10279-cat_2,cat_2,FALSE
Bs_glgD,CSUsets,Huttenhower,6,VIRSorter_4039_megahit_k119_81460_flag_0_multi_25_0000_len_97732-cat_2,cat_2,FALSE
Bs_glgD,CSUsets,Huttenhower,7,VIRSorter_6033_megahit_k119_88524_flag_1_multi_23_9953_len_98768-cat_2,cat_2,FALSE
Bs_glgD,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P139_scaffold_332_gene_10_gene_36-9648-33372-cat_5,cat_5,FALSE
Bs_glgD,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P140_scaffold_35_gene_1_gene_100-293-91677-cat_4,cat_4,FALSE
Bs_glgD,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P142_scaffold_2924-cat_2,cat_2,FALSE
Bs_glgD,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P142_scaffold_397-cat_2,cat_2,FALSE
Bs_glgD,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P159_scaffold_387-cat_2,cat_2,FALSE
Bs_glgD,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P95_scaffold_120-cat_2,cat_2,FALSE
Bs_glgD,CSUsets,Salmonella_chow,1,VIRSorter_NIH_Sal_DKWLOControl_V1KH_1_scaffold_3021-cat_2,cat_2,FALSE
