gene_id.ko,gene_id.uniref90,gene_description,module,sheet,header,subheader,potential_amg,strain
K02313,P05648,dnaA;chromosomal replication initiator protein DnaA,NA,MISC,Genetics,DNA replication,TRUE,bs
K02338,P05649,dnaN;DNA polymerase III subunit beta,NA,MISC,Genetics,DNA replication,TRUE,bs
NA,P37526,yaaC;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K06215,P37527,pdxS;pyridoxal biosynthesis lyase PdxS,Biosynthesis of pyridoxal phosphate,MISC,Additional metabolic pathways,Biosynthesis of cofactors,TRUE,bs
K06306,P37531,yaaH;spore germination protein YaaH,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06317,P24282,bofA;sigma-K factor-processing regulator BofA,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P37534,csfB;sporulation protein CsfB,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P37541,yaaT;stage 0 sporulation protein YaaT,NA,MISC,Sporulation,phosphorelay,TRUE,bs
K06284,P08874,abrB;transition state regulatory protein AbrB,NA,MISC,Regulation of gene expression,Transition state regulators,TRUE,bs
K02528,P37468,ksgA;ribosomal RNA small subunit methyltransferase A,rRNA modification and maturation,MISC,"Protein synthesis, modification and degradation",Translation,TRUE,bs
K06436,P37548,yabG;sporulation-specific protease YabG,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06423,P37549,sspF;small acid-soluble spore protein SspF,Small acid-soluble spore proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00919,P37550,ispE;4-diphosphocytidyl-2-c-methyl-d-erythritol kinase,Biosynthesis of isoprenoids,MISC,Lipid metabolism,Biosynthesis of lipids,TRUE,bs
K09685,P37551,purR;Pur operon repressor,Biosynthesis/ acquisition of purine nucleotides,MISC,Nucleotide metabolism,Biosynthesis/ acquisition of nucleotides,TRUE,bs
K09022,P37552,yabJ;enamine/imine deaminase,Biosynthesis/ acquisition of branched-chain amino acids,MISC,Amino acid/ nitrogen metabolism,Biosynthesis/ acquisition of amino acids,TRUE,bs
K06412,P28015,spoVG;septation protein SpoVG,NA,MISC,Sporulation,Sporulation/ other,TRUE,bs
K01056,P37470,spoVC;peptidyl-tRNA hydrolase,NA,MISC,Coping with stress,General stress proteins (controlled by SigB),TRUE,bs
NA,P37553,fin;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03723,P37474,mfd;transcription-repair-coupling factor,NA,MISC,Genetics,DNA repair/ recombination,TRUE,bs
K04769,P37554,spoVT;stage V sporulation protein T,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P37558,yabP;spore protein YabP,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P37559,yabQ;spore protein YabQ,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K13052,P37471,divIC;cell division protein DivIC,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K07571,P37560,yabR;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06382,P37475,spoIIE;stage II sporulation protein E,Control of sigma factors,MISC,Regulation of gene expression,Sigma factors and their control,TRUE,bs
K07114,P37561,yabS;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K08884,P37562,yabT;serine/threonine protein kinase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K19411,P37569,mcsA;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K19405,P37570,mcsB;ATP:guanido phosphotransferase YacI,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03696,P37571,clpC;negative regulator of genetic competence ClpC/MecB,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K07067,P37573,disA;DNA integrity scanning protein DisA,NA,MISC,Sporulation,Sporulation/ other,TRUE,bs
K03091,P17869,sigH;RNA polymerase sigma-H factor,Sigma factors,MISC,RNA synthesis and degradation,Transcription,TRUE,bs
NA,P50862,ybaK;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K01448,P50864,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K06294,P16450,gerD;spore germination protein GerD,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K06349,P16449,kbaA;kinB-signaling pathway activation protein,Proteins controlling the activity of the kinases,MISC,Sporulation,phosphorelay,TRUE,bs
NA,P50865,pdaB;polysaccharide deacetylase PdaB,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P55190,ybaS;hypothetical protein,Other transporters,MISC,Transporters,Transporters/ other,TRUE,bs
NA,P40407,ybbC;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K01207,P40406,nagZ;lipoprotein,Utilization of cell wall components,MISC,Cell envelope and cell division,Cell wall degradation/ turnover,TRUE,bs
K21469,O05213,amiE;hypothetical protein,Utilization of cell wall components,MISC,Cell envelope and cell division,Cell wall degradation/ turnover,TRUE,bs
K02810,Q797S1,murP;PTS system transporter subunit EIIBC,Utilization of cell wall components,MISC,Cell envelope and cell division,Cell wall degradation/ turnover,TRUE,bs
K01247,P37878,alkA;DNA-3-methyladenine glycosylase,NA,MISC,Genetics,DNA repair/ recombination,TRUE,bs
K08884,O31435,prkD;serine/threonine protein kinase,Protein kinases,MISC,"Protein synthesis, modification and degradation",Protein modification,TRUE,bs
NA,P54379,csgA;sigma-G-dependent sporulation-specific SASP protein,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
NA,P54426,ybxH;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O31442,ybeF;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P39790,mpr;extracellular metalloprotease,Utilization of proteins,MISC,Amino acid/ nitrogen metabolism,Utilization of nitrogen sources other than amino acids,TRUE,bs
NA,O31451,ybfJ;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K01449,P42249,cwlJ;cell wall hydrolase CwlJ,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,O34538,ycdA;lipoprotein,Motility and chemotaxis/ other,MISC,Exponential and early post-exponential lifestyles,Motility and chemotaxis,TRUE,bs
K06368,O34327,rapJ;response regulator aspartate phosphatase J,Protein phosphatases,MISC,"Protein synthesis, modification and degradation",Protein modification,TRUE,bs
K01182,O34364,"ycdG;oligo-1,6-glucosidase 2",NA,MISC,Coping with stress,General stress proteins (controlled by SigB),TRUE,bs
NA,P94381,ycgF;amino acid efflux protein YcgF,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K09190,P94382,ycgG;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03293,P94383,ycgH;transporter,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
K09967,O31473,ycgI;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P12921,tmrB;tunicamycin resistance protein,NA,MISC,Coping with stress,Resistance against toxins/ antibiotics,TRUE,bs
K07074,P94389,ycgL;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P42401,yckC;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P42402,yckD;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K03305,P94408,dtpT;transporter,Peptide transporter,MISC,Transporters,Transporters/ other,TRUE,bs
NA,O31479,gerKD;hypothetical protein,Germinant receptors,MISC,Sporulation,Germination,TRUE,bs
K06295,P49939,gerKA;spore germination protein KA,Germinant receptors,MISC,Sporulation,Germination,TRUE,bs
K06297,P49941,gerKC;spore germination protein KC,Germinant receptors,MISC,Sporulation,Germination,TRUE,bs
K06296,P49940,gerKB;spore germination protein KB,Germinant receptors,MISC,Sporulation,Germination,TRUE,bs
K06361,P94415,rapC;response regulator aspartate phosphatase C,NA,MISC,Genetics,Genetic competence,TRUE,bs
K06353,P94416,phrC;phosphatase RapC inhibitor,NA,MISC,Genetics,Genetic competence,TRUE,bs
K05340,P40420,glcU;glucose uptake protein GlcU,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
K00034,P12310,gdh;glucose 1-dehydrogenase,Additional germination proteins,MISC,Sporulation,Germination,TRUE,bs
K06351,P60495,pxpB;kinase A inhibitor,Proteins controlling the activity of the kinases,MISC,Sporulation,phosphorelay,TRUE,bs
K06350,Q7WY77,pxpC;kipi antagonist,Proteins controlling the activity of the kinases,MISC,Sporulation,phosphorelay,TRUE,bs
NA,P42968,kipR;IclR family transcriptional regulator,NA,MISC,Sporulation,phosphorelay,TRUE,bs
NA,P42969,lipC;spore germination lipase LipC,Spore coat proteins,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P96604,ydbI;hypothetical protein,NA,MISC,Membrane proteins,NA,TRUE,bs
K01929,P96613,murF;UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,Biosynthesis of peptidoglycan,MISC,Cell envelope and cell division,Cell wall synthesis,TRUE,bs
NA,P96617,ydcA;rhomboid protease YdcA,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P96619,ydcC;sporulation protein YdcC,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P96633,ydcP;hypothetical protein,NA,MISC,Mobile genetic elements,ICEBs1,TRUE,bs
K06367,P96649,rapI;response regulator aspartate phosphatase I,Protein phosphatases,MISC,"Protein synthesis, modification and degradation",Protein modification,TRUE,bs
K03719,P96652,lrpA;AsnC family transcriptional regulator,NA,MISC,Sporulation,phosphorelay,TRUE,bs
NA,P96653,lrpB;AsnC family transcriptional regulator,NA,MISC,Sporulation,phosphorelay,TRUE,bs
NA,O31496,ydzH;hypothetical protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,C0H3W2,ydzR;spore germination protein,Newly identified sporulation proteins (based on transcription profiling),MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P96696,ydfR;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
NA,P96697,ydfS;hypothetical protein,Sporulation proteins/ other,MISC,Sporulation,Sporulation proteins,TRUE,bs
