locus,name,description,function,product,names,outlinks.uniprot,outlinks.subtilist
BSU_17890,tkt,transketolase,pentose phosphate pathway,transketolase,tkt;tktA,P45694,gene_detail BG11247
BSU_20290,yorQ,unknown,unknown,unknown,yorQ,O31897,gene_detail+BG13701
BSU_21700,ypoP,similar to transcriptional regulator ([SW|MarR family]),unknown,unknown,ypoP,P54182,gene_detail+BG11626
BSU_39850,yxbF,similar to transcriptional regulator ([SW|TetR family]),unknown,unknown,yxbF;yxaT,P46330,gene_detail+BG11356
BSU_15640,rqcH,ribosome-associated protein quality control factor,rescue of stalled ribosomes,ribosome-associated protein quality control factor,rqcH;yloA,O34693,gene_detail+BG13383
BSU_02950,niaP,nicotinate transporter,uptake of niacin,nicotinate transporter,niaP;yceI,O34691,gene_detail BG12773
new_4047463_4047537,S1517,"new RNA feature, intergenic region",,intergenic region,S1517,,
BSU_01650,ybbC,unknown,unknown,unknown,ybbC;yzbB,P40407,gene_detail+BG10833
BSU_00390,yabD,putative metal-dependent hydrolase,unknown,putative metal-dependent hydrolase,yabD,P37545,gene_detail+BG10102
BSU_17540,ynaF,unknown,unknown,unknown,ynaF,P94484,gene_detail+BG12258
new_4164565_4165231,S1559,"new RNA feature, independent transcript
",,independent transcript,S1559,,
new_2195060_2195563_c,S777,"new RNA feature, intergenic region
",,intergenic region,S777,,
BSU_05344,ydzS/2,part of the ydzS pseudogene,unknown,unknown,ydzS/2,,
BSU_07180,yezB,split paralog of [[protein|621357D1FB6AC1B0499732EFE226F982B26CE34E]] (with [[protein|778B0E3A524EFE38DE3917FA69F21563D525D1DA]]),possible stressosome protein,split paralog of [[protein|621357D1FB6AC1B0499732EFE226F982B26CE34E]] (with [[protein|778B0E3A524EFE38DE3917FA69F21563D525D1DA]]),yezB,,gene_detail+BG12873
BSU_29780,ytxG,general stress protein,unknown,unknown,ytxG;csb40,P40779,gene_detail BG10974
BSU_05810,gmuB,"glucomannan-specific permease of the [SW|phosphotransferase systems|phosphotransferase system], EIIB of the [[category|SW 1.2.2|PTS]]",glucomannan uptake and phosphorylation,"glucomannan-specific lichenan-specific [[category|SW 1.2.2|PTS]], EIIB component",gmuB;ydhM,O05505,gene_detail+BG12190
BSU_33870,yvbI,unknown,unknown,unknown,yvbI,O32246,gene_detail BG14082
BSU_16770,dapA,dihydrodipicolinate synthase,biosynthesis of lysine and peptidoglycan,dihydrodipicolinate synthase,dapA,Q04796,gene_detail BG10785
BSU_08730,perR,"transcriptional repressor of the peroxide regulon, sensor of the intracellular Fe/Mn ratio",regulation of the response to peroxide,transcriptional repressor ([SW|Fur family]),perR;ygaG,P71086,gene_detail BG12227
BSU_24360,spoIIIAH,"component of the [[protein|SpoIIIA]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] type III secretion system residing in the forespore membrane, required for [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]] activation","activation of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]], forespore encasement by the spore coat",part of the transmembrane channel linking the mother cell and the forespore,spoIIIAH,P49785,gene_detail BG11415
new_3582691_3582779_c,S1330,"new RNA feature, 5'UTR of yvcA
",,5'UTR of yvcA,S1330,,
new_1603712_1603778,S563,"new RNA feature, 5'UTR of spoIIGA
",,5'UTR of spoIIGA,S563,,
BSU_02710,yczC,unknown,unknown,unknown,yczC,O31469,gene_detail+BG12778
new_1369127_1369854_c,S464,"new RNA feature, 3'UTR of ykgB
",,3'UTR of ykgB,S464,,
new_1041710_1041809_c,S336,"new RNA feature, 5'UTR of yheN
",,5'UTR of yheN,S336,,
BSU_22036,fbpC,annotated in RefSeq,,,,,
BSU_40480,yycB,similar to permeases,unknown,unknown,yycB,P37482,gene_detail+BG10007
new_1041733_1041928,S337,"new RNA feature, 5'UTR of dat
",,5'UTR of dat,S337,,
new_1268593_1268828,S435,"new RNA feature, intergenic region
",,intergenic region,S435,,
new_3386852_3387780_c,S1270,"new RNA feature, 3'UTR of yirB
",,3'UTR of yirB,S1270,,
BSU_15940,smc,"part of the [SW|condensin] complex, chromosomal origin condensation and segregation SMC protein",segregation of replication origins,chromosome condensation and segregation SMC protein,smc;ylqA,P51834,gene_detail BG11538
