focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Cd_ptsG,BC,Human_Microbiome_Project,1,VIRSorter_HMP_SRS014287_scaffold_156-cat_2-cat_2,cat_2,FALSE
Cd_ptsG,BC,Huttenhower,1,VIRSorter_2079_megahit_k119_1400_flag_0_multi_108_7861_len_128263_gene_29_gene_128-35494-128311-cat_4,cat_4,FALSE
Cd_ptsG,BC,Huttenhower,2,VIRSorter_2079_megahit_k119_81216_flag_0_multi_41_9870_len_125883-cat_2,cat_2,FALSE
Cd_ptsG,BC,Huttenhower,3,VIRSorter_2097_megahit_k119_68383_flag_0_multi_69_6229_len_50582-cat_2,cat_2,FALSE
Cd_ptsG,BC,Methylamines,1,VIRSorter_NIH_meth_P30_scaffold_30_gene_244_gene_347-268642-374626-cat_5,cat_5,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,1,ivig_3507,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,2,uvig_117786,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,3,uvig_130837,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,4,uvig_161928,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,5,uvig_184395,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,6,uvig_187044,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,7,uvig_200803,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,8,uvig_21370,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,9,uvig_233312,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,10,uvig_286115,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,11,uvig_293467,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,12,uvig_380279,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,13,uvig_389253,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,14,uvig_430687,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,15,uvig_432172,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,16,uvig_439468,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,17,uvig_445296,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,18,uvig_447173,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,19,uvig_450667,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,20,uvig_451050,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,21,uvig_451434,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,22,uvig_460842,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,23,uvig_465345,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,24,uvig_486213,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,25,uvig_570119,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,26,uvig_62505,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,27,uvig_63335,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,28,uvig_94125,NA,FALSE
Cd_ptsG,BC,Camarillo-Guerrero,29,uvig_98740,NA,FALSE
Cd_ptsG,BC,Gregory_gvd,1,Han_2018_ERR1398074_NODE_5081_length_5227_cov_4.561098,NA,FALSE
Cd_ptsG,BC,Gregory_gvd,2,Han_2018_ERR1398080_NODE_241_length_57275_cov_6.017931,NA,FALSE
Cd_ptsG,BC,Gregory_gvd,3,Ma_2019_SRR413611_NODE_290_length_39346_cov_43.894505,NA,FALSE
Cd_ptsG,BC,Gregory_gvd,4,Ma_2019_SRR413616_NODE_135_length_96212_cov_3.095386,NA,FALSE
Cd_ptsG,BC,Gregory_gvd,5,Ma_2019_SRR413773_NODE_44_length_166187_cov_13.607710,NA,FALSE
Cd_ptsG,BC,Gregory_gvd,6,Shkoporov_2018_SRR6128079_NODE_171_length_10074_cov_13.817946,NA,FALSE
Cd_ptsG,BC,Gregory_gvd,7,Shkoporov_2019_SRR9161603_NODE_159_length_6153_cov_3.653657,NA,FALSE
