focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_ytlA,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_17_gene_49_gene_151-45522-140285-cat_5,cat_5,FALSE
Bs_ytlA,CSUsets,CT_feces,2,VIRSorter_CT_feces_enrich_feces_day27_scaffold_152_gene_20_gene_119-19682-118828-cat_5,cat_5,FALSE
Bs_ytlA,CSUsets,CT_feces,3,VIRSorter_CT_feces_enrich_feces_day27_scaffold_866-cat_2,cat_2,FALSE
Bs_ytlA,CSUsets,East_River,1,VIRSorter_EastRiver_B2_scaffold_18_gene_11_gene_73-19536-80102-cat_5,cat_5,FALSE
Bs_ytlA,CSUsets,East_River,2,VIRSorter_EastRiver_Co1_scaffold_32_gene_11_gene_75-19536-80103-cat_5,cat_5,FALSE
Bs_ytlA,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA102_ANT-KO_scaffold_2_gene_1_gene_88-117-102778-cat_5,cat_5,FALSE
Bs_ytlA,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA107_ANT-F21_scaffold_1445-cat_2,cat_2,FALSE
Bs_ytlA,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA107_ANT-F21_scaffold_36_gene_1_gene_199-0-127592-cat_5,cat_5,MAYBE
Bs_ytlA,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA123_ANT-F21_scaffold_449_gene_10_gene_20-11092-25295-cat_5,cat_5,FALSE
Bs_ytlA,CSUsets,Frac_DJ_basin,5,VIRSorter_DJKA126_ANT-KO_scaffold_468_gene_10_gene_20-11092-25295-cat_5,cat_5,FALSE
Bs_ytlA,CSUsets,Frac_DJ_basin,6,VIRSorter_DJKA54_ANT-KO_scaffold_292_gene_10_gene_20-11092-25295-cat_5,cat_5,FALSE
Bs_ytlA,CSUsets,Frac_DJ_basin,7,VIRSorter_DJKA78_ANT-KO_scaffold_292_gene_10_gene_20-11092-25295-cat_5,cat_5,FALSE
Bs_ytlA,CSUsets,Frac_DJ_basin,8,VIRSorter_DJKA78_ANT-KO_scaffold_3_gene_101_gene_185-105454-205754-cat_5,cat_5,FALSE
Bs_ytlA,CSUsets,Frac_DJ_basin,9,VIRSorter_DJKA81_NP-J24_scaffold_113_gene_10_gene_20-11092-25295-cat_5,cat_5,FALSE
Bs_ytlA,CSUsets,Fractured_shale,1,VIRSorter_shale_K_7_6_scaffold_20_gene_166_gene_236-164543-208567-cat_2,cat_2,FALSE
Bs_ytlA,CSUsets,Fractured_shale,2,VIRSorter_shale_M1_7_4_scaffold_36_gene_3_gene_73-3832-47902-cat_2,cat_2,FALSE
Bs_ytlA,CSUsets,Fractured_shale,3,VIRSorter_shale_M2_7_1_scaffold_102_gene_27_gene_94-25936-68071-cat_2,cat_2,FALSE
