focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_ylaK,CSUsets,ARDEC_agriculture,1,VIRSorter_Agribiome_L_E1_T5_co_scaffold_26-cat_2,cat_2,TRUE
Bs_ylaK,CSUsets,ARDEC_agriculture,2,VIRSorter_Agribiome_L_E1_T5_co_scaffold_375-cat_2,cat_2,MAYBE
Bs_ylaK,CSUsets,ARDEC_agriculture,3,VIRSorter_Agribiome_L_E1_T5_co_scaffold_60-cat_2,cat_2,TRUE
Bs_ylaK,CSUsets,ARDEC_agriculture,4,VIRSorter_Agribiome_L_E1_T5_co_scaffold_702-cat_2,cat_2,MAYBE
Bs_ylaK,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_0_gene_133_gene_232-138142-219567-cat_5,cat_5,TRUE
Bs_ylaK,CSUsets,CT_feces,2,VIRSorter_CT_feces_enrich_CT_feces_day27_scaffold_43-circular-cat_2,cat_2,TRUE
Bs_ylaK,CSUsets,CT_feces,3,VIRSorter_CT_feces_enrich_feces_day27_scaffold_1_gene_202_gene_400-204664-351679-cat_5,cat_5,TRUE
Bs_ylaK,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA100_ANT-21_scaffold_16-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA100_ANT-21_scaffold_68-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA102_ANT-KO_scaffold_1657-cat_2,cat_2,TRUE
Bs_ylaK,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA102_ANT-KO_scaffold_57-cat_2,cat_2,TRUE
Bs_ylaK,CSUsets,Frac_DJ_basin,5,VIRSorter_DJKA105_NP-J24_scaffold_33-cat_2,cat_2,TRUE
Bs_ylaK,CSUsets,Frac_DJ_basin,6,VIRSorter_DJKA110_ANT-KO_scaffold_2007-cat_2,cat_2,MAYBE
Bs_ylaK,CSUsets,Frac_DJ_basin,7,VIRSorter_DJKA113_NP-J24_scaffold_49-cat_2,cat_2,MAYBE
Bs_ylaK,CSUsets,Frac_DJ_basin,8,VIRSorter_DJKA116_ANT-21_scaffold_84-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,9,VIRSorter_DJKA119_NP-F11_scaffold_4-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,10,VIRSorter_DJKA119_NP-F11_scaffold_6-cat_2,cat_2,TRUE
Bs_ylaK,CSUsets,Frac_DJ_basin,11,VIRSorter_DJKA120_NP-F35_scaffold_19-cat_2,cat_2,TRUE
Bs_ylaK,CSUsets,Frac_DJ_basin,12,VIRSorter_DJKA120_NP-F35_scaffold_238-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,13,VIRSorter_DJKA121_NP-J24_scaffold_590-cat_2,cat_2,MAYBE
Bs_ylaK,CSUsets,Frac_DJ_basin,14,VIRSorter_DJKA124_ANT-21_scaffold_624-cat_2,cat_2,MAYBE
Bs_ylaK,CSUsets,Frac_DJ_basin,15,VIRSorter_DJKA124_ANT-21_scaffold_911-cat_2,cat_2,MAYBE
Bs_ylaK,CSUsets,Frac_DJ_basin,16,VIRSorter_DJKA126_ANT-KO_scaffold_794-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,17,VIRSorter_DJKA128_NP-F35_scaffold_105-cat_2,cat_2,MAYBE
Bs_ylaK,CSUsets,Frac_DJ_basin,18,VIRSorter_DJKA128_NP-F35_scaffold_11-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,19,VIRSorter_DJKA43_ANT-KO_scaffold_472-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,20,VIRSorter_DJKA43_ANT-KO_scaffold_5-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,21,VIRSorter_DJKA47_NP-F11_scaffold_213-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,22,VIRSorter_DJKA47_NP-F11_scaffold_88_gene_19_gene_30-19832-35740-cat_5,cat_5,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,23,VIRSorter_DJKA48_scaffold_183-cat_2,cat_2,TRUE
Bs_ylaK,CSUsets,Frac_DJ_basin,24,VIRSorter_DJKA51_ANT-F21_scaffold_225-cat_1,cat_1,MAYBE
Bs_ylaK,CSUsets,Frac_DJ_basin,25,VIRSorter_DJKA51_ANT-F21_scaffold_23-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,26,VIRSorter_DJKA51_ANT-F21_scaffold_88-cat_2,cat_2,TRUE
Bs_ylaK,CSUsets,Frac_DJ_basin,27,VIRSorter_DJKA52_ANT-21_scaffold_22-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,28,VIRSorter_DJKA54_ANT-KO_scaffold_17-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,29,VIRSorter_DJKA54_ANT-KO_scaffold_25-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,30,VIRSorter_DJKA54_ANT-KO_scaffold_565-cat_2,cat_2,MAYBE
Bs_ylaK,CSUsets,Frac_DJ_basin,31,VIRSorter_DJKA59_ANT-F21_scaffold_215-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,32,VIRSorter_DJKA59_ANT-F21_scaffold_678-cat_2,cat_2,MAYBE
Bs_ylaK,CSUsets,Frac_DJ_basin,33,VIRSorter_DJKA59_ANT-F21_scaffold_735-cat_2,cat_2,TRUE
Bs_ylaK,CSUsets,Frac_DJ_basin,34,VIRSorter_DJKA60_ANT-21_scaffold_23-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,35,VIRSorter_DJKA62_ANT-KO_scaffold_11-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,36,VIRSorter_DJKA62_ANT-KO_scaffold_134-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,37,VIRSorter_DJKA63_NP-F11_scaffold_280-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,38,VIRSorter_DJKA64_NP-F35_scaffold_67_gene_13_gene_24-13121-29029-cat_5,cat_5,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,39,VIRSorter_DJKA68_ANT-21_scaffold_13-cat_2,cat_2,MAYBE
Bs_ylaK,CSUsets,Frac_DJ_basin,40,VIRSorter_DJKA68_ANT-21_scaffold_92-cat_2,cat_2,FALSE
Bs_ylaK,CSUsets,Frac_DJ_basin,41,VIRSorter_DJKA70_ANT-KO_scaffold_17-cat_2,cat_2,FALSE
