gene,scaffold,gene_id,gene_description,category,header,subheader,module,amg_flags,d,p,f,spore_likely
Broecker_Sample_ID29-1191-0_NODE_881_length_12231_cov_17.324573_6,Broecker_Sample_ID29-1191-0_NODE_881_length_12231_cov_17.324573,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Broecker_Sample_ID29-1191-3_NODE_1276_length_6000_cov_8.699916_4,Broecker_Sample_ID29-1191-3_NODE_1276_length_6000_cov_8.699916,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Bacteria,p__Firmicutes_A,f__Acutalibacteraceae,FALSE
Broecker_Sample_ID29-1192-0_NODE_84_length_88214_cov_60.298688_16,Broecker_Sample_ID29-1192-0_NODE_84_length_88214_cov_60.298688,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Chehoud_control_2_NODE_5_length_37879_cov_21.391392_2,Chehoud_control_2_NODE_5_length_37879_cov_21.391392,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Chehoud_control_2_NODE_5_length_37879_cov_21.391392_45,Chehoud_control_2_NODE_5_length_37879_cov_21.391392,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Chehoud_donor_NODE_4_length_41624_cov_12.198730_19,Chehoud_donor_NODE_4_length_41624_cov_12.198730,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Chehoud_donor_NODE_5_length_40782_cov_41.940654_52,Chehoud_donor_NODE_5_length_40782_cov_41.940654,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Chehoud_donor_NODE_6_length_40473_cov_156.131303_12,Chehoud_donor_NODE_6_length_40473_cov_156.131303,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_A,f__UBA1381,TRUE
Chehoud_donor_NODE_96_length_6368_cov_33.117852_8,Chehoud_donor_NODE_96_length_6368_cov_33.117852,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Chehoud_patient_1_NODE_3_length_43672_cov_1017.789921_71,Chehoud_patient_1_NODE_3_length_43672_cov_1017.789921,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Draper_2018_SRR6914079_NODE_49_length_10376_cov_7.459548_7,Draper_2018_SRR6914079_NODE_49_length_10376_cov_7.459548,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Draper_2018_SRR6914081_NODE_2_length_89575_cov_42.398872_64,Draper_2018_SRR6914081_NODE_2_length_89575_cov_42.398872,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Draper_2018_SRR6914091_NODE_9_length_61572_cov_74.981062_42,Draper_2018_SRR6914091_NODE_9_length_61572_cov_74.981062,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Draper_2018_SRR6914093_NODE_11_length_38965_cov_586.791750_49,Draper_2018_SRR6914093_NODE_11_length_38965_cov_586.791750,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Draper_2018_SRR6914096_NODE_31_length_7606_cov_6.187128_6,Draper_2018_SRR6914096_NODE_31_length_7606_cov_6.187128,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Draper_2018_SRR6914098_NODE_11_length_35373_cov_50.030438_18,Draper_2018_SRR6914098_NODE_11_length_35373_cov_50.030438,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Draper_2018_SRR6914104_NODE_9_length_46661_cov_61.894391_5,Draper_2018_SRR6914104_NODE_9_length_46661_cov_61.894391,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Draper_2018_SRR6914117_NODE_6_length_30660_cov_25.151871_29,Draper_2018_SRR6914117_NODE_6_length_30660_cov_25.151871,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Bacteria,p__Firmicutes_C,f__Veillonellaceae,FALSE
Giloteaux_145306_NODE_3025_length_5991_cov_3.128752_11,Giloteaux_145306_NODE_3025_length_5991_cov_3.128752,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Giloteaux_145307_NODE_204_length_55804_cov_4.665858_29,Giloteaux_145307_NODE_204_length_55804_cov_4.665858,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,M,Bacteria,p__Firmicutes_A,f__,NA
Giloteaux_145307_NODE_30_length_186304_cov_13.525484_14,Giloteaux_145307_NODE_30_length_186304_cov_13.525484,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Giloteaux_145307_NODE_30_length_186304_cov_13.525484_149,Giloteaux_145307_NODE_30_length_186304_cov_13.525484,K03469,ypeP;hypothetical protein,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398068_NODE_23_length_107855_cov_75.080380_80,Han_2018_ERR1398068_NODE_23_length_107855_cov_75.080380,K02049,ABC.SN.A; sulfonate/nitrate/taurine transport system ATP-binding protein,Transporters,NA,NA,NitT/TauT family transport system,MT,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398068_NODE_23_length_107855_cov_75.080380_80,Han_2018_ERR1398068_NODE_23_length_107855_cov_75.080380,K02049,ytlC;ABC transporter ATP-binding protein,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MT,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398068_NODE_23_length_107855_cov_75.080380_83,Han_2018_ERR1398068_NODE_23_length_107855_cov_75.080380,K02051,ABC.SN.S; sulfonate/nitrate/taurine transport system substrate-binding protein,Transporters,NA,NA,NitT/TauT family transport system,MT,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398068_NODE_23_length_107855_cov_75.080380_83,Han_2018_ERR1398068_NODE_23_length_107855_cov_75.080380,K02051,ytlA;ABC transporter substrate-binding protein YtlA,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MT,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398068_NODE_23_length_107855_cov_75.080380_106,Han_2018_ERR1398068_NODE_23_length_107855_cov_75.080380,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398068_NODE_60_length_71452_cov_95.456882_81,Han_2018_ERR1398068_NODE_60_length_71452_cov_95.456882,K07097,nrnB;oligoribonuclease NrnB,MISC,Sporulation,Sporulation proteins,Newly identified sporulation proteins (based on transcription profiling),M,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398070_NODE_27_length_72284_cov_17.250689_62,Han_2018_ERR1398070_NODE_27_length_72284_cov_17.250689,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Bacteria,p__Bacteroidota,f__Bacteroidaceae,NA
Han_2018_ERR1398072_NODE_4022_length_5645_cov_7.732916_4,Han_2018_ERR1398072_NODE_4022_length_5645_cov_7.732916,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398073_NODE_1527_length_8455_cov_4.783810_3,Han_2018_ERR1398073_NODE_1527_length_8455_cov_4.783810,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398073_NODE_1527_length_8455_cov_4.783810_11,Han_2018_ERR1398073_NODE_1527_length_8455_cov_4.783810,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398073_NODE_25_length_99510_cov_55.799296_5,Han_2018_ERR1398073_NODE_25_length_99510_cov_55.799296,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,FM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398073_NODE_25_length_99510_cov_55.799296_71,Han_2018_ERR1398073_NODE_25_length_99510_cov_55.799296,K01449,cwlJ;cell wall hydrolase CwlJ,MISC,Sporulation,Sporulation proteins,Spore coat proteins,M,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398073_NODE_737_length_17194_cov_7.386429_3,Han_2018_ERR1398073_NODE_737_length_17194_cov_7.386429,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398074_NODE_3579_length_6872_cov_5.647206_1,Han_2018_ERR1398074_NODE_3579_length_6872_cov_5.647206,K00688,glgP;glycogen phosphorylase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,MKF,Bacteria,p__Firmicutes_A,f__Ruminococcaceae,FALSE
Han_2018_ERR1398074_NODE_874_length_17369_cov_34.004621_19,Han_2018_ERR1398074_NODE_874_length_17369_cov_34.004621,K07699,spo0A;stage 0 sporulation protein A,MISC,Sporulation,phosphorelay,NA,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398074_NODE_924_length_16560_cov_11.247804_15,Han_2018_ERR1398074_NODE_924_length_16560_cov_11.247804,K03091,sigH;RNA polymerase sigma-H factor,MISC,RNA synthesis and degradation,Transcription,Sigma factors,FM,Bacteria,p__Firmicutes_A,f__Oscillospiraceae,FALSE
Han_2018_ERR1398076_NODE_1198_length_10470_cov_23.367355_4,Han_2018_ERR1398076_NODE_1198_length_10470_cov_23.367355,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
Han_2018_ERR1398077_NODE_266_length_43716_cov_19.470168_42,Han_2018_ERR1398077_NODE_266_length_43716_cov_19.470168,K01448,cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,MISC,Sporulation,Sporulation proteins,Sporulation proteins/ other,TM,Bacteria,p__Firmicutes_A,f__Lachnospiraceae,TRUE
Han_2018_ERR1398079_NODE_1335_length_8403_cov_4.452444_17,Han_2018_ERR1398079_NODE_1335_length_8403_cov_4.452444,K07171,Endoribonuclease toxin,MISC,sporulation,sporulation,sporulation,FM,Host Not Assigned or not a prokaryotic virus,NA,NA,NA
