locus,title,description,function,product
BSU_17890,tkt,transketolase,pentose phosphate pathway,transketolase
BSU_20290,yorQ,unknown,unknown,unknown
BSU_21700,ypoP,similar to transcriptional regulator ([wiki|MarR family]),unknown,unknown
BSU_39850,yxbF,similar to transcriptional regulator ([wiki|TetR family]),unknown,unknown
BSU_02950,niaP,nicotinate transporter,uptake of niacin,nicotinate transporter
BSU_01650,namZ,exo-β-N-acetylmuramidase,cell wall turnover and recycling,exo-β-N-acetylmuramidase
BSU_00390,yabD,putative metal-dependent hydrolase,unknown,putative metal-dependent hydrolase
BSU_17540,ynaF,unknown,unknown,unknown
BSU_05344,ydzS/2,part of the ydzS pseudogene,unknown,unknown
BSU_07180,yezB,split paralog of [[protein|621357D1FB6AC1B0499732EFE226F982B26CE34E]] (with [[protein|778B0E3A524EFE38DE3917FA69F21563D525D1DA]]),possible stressosome protein,split paralog of [[protein|621357D1FB6AC1B0499732EFE226F982B26CE34E]] (with [[protein|778B0E3A524EFE38DE3917FA69F21563D525D1DA]])
BSU_29780,ytxG,general stress protein,unknown,unknown
BSU_33870,yvbI,unknown,unknown,unknown
BSU_16770,dapA,dihydrodipicolinate synthase,biosynthesis of lysine and peptidoglycan,dihydrodipicolinate synthase
BSU_02710,yczC,unknown,unknown,unknown
BSU_40480,yycB,similar to permeases,unknown,unknown
BSU_09780,yheC,ATP-binding spore coat protein,unknown,ATP-binding spore coat protein
BSU_31670,yuxO,similar to thioesterase,unknown,unknown
BSU_31730,yuzC,spore coat protein,protection of the spore,spore coat protein
BSU_25565,BSU_25565,NA,NA,NA
BSU_13360,ykoP,unknown,unknown,unknown
BSU_15560,pyrE,orotate phosphoribosyltransferase,pyrimidine biosynthesis,orotate phosphoribosyltransferase
BSU_12110,yjfA,unknown,unknown,unknown
BSU_28475,lysCB,NA,NA,NA
BSU_20830,yopN,involved in controlling lysis/lysogeny in the SP beta phage,control of lysis/lysogeny in the SP beta phage,unknown
BSU_21340,yomJ,similar to phage-related immunity protein,unknown,unknown
BSU_00560,spoVT,transcription activator and repressor of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]]-dependent genes,regulation of forespore gene expression,transcriptional regulator
BSU_10480,yhjE,unknown,unknown,unknown
BSU_13290,ykzD,unknown,unknown,unknown
BSU_19020,yobN,similar to L-amino acid oxidase,unknown,unknown
BSU_32790,yusG,unknown,unknown,unknown
BSU_04020,yczH,unknown,unknown,unknown
BSU_31740,pdeH,c-di-GMP degrading phosphodiesterase,degradation of c-di-GMP,c-di-GMP degrading phosphodiesterase
BSU_14071,fadG,fatty acid degradation,fatty acid degradation,unknown
BSU_28800,araA,L-arabinose isomerase,arabinose utilization,L-arabinose isomerase
BSU_03970,ycnL,unknown,unknown,unknown
BSU_22070,xpt,xanthine phosphoribosyltransferase,purine salvage and interconversion,xanthine phosphoribosyltransferase
BSU_01170,rplD,ribosomal protein uL4,translation,ribosomal protein L4 (uL4)
BSU_23380,lysA,diaminopimelate decarboxylase,biosynthesis of lysine,diaminopimelate decarboxylase
BSU_15069,ylzH,unknown,unknown,unknown
BSU_00950,mrnC,RNase Mini-III,maturation of 23S rRNA,RNase Mini-III
BSU_19030,yobO,similar to phage-related pre-neck appendage protein,unknown,unknown
BSU_30350,yttB,similar to multidrug resistance protein,unknown,unknown
