focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_spoVD,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_feces_day27_scaffold_125_gene_9_gene_108-7137-107092-cat_4,cat_4,FALSE
Bs_spoVD,CSUsets,CT_feces,2,VIRSorter_CT_feces_enrich_feces_day27_scaffold_29_gene_111_gene_229-130066-232054-cat_5,cat_5,FALSE
Bs_spoVD,CSUsets,CT_soil,1,VIRSorter_CT_soil_enrich_CT_day20_scaffold_116-cat_2,cat_2,FALSE
Bs_spoVD,CSUsets,Huttenhower,1,VIRSorter_2042_megahit_k119_346207_flag_0_multi_44_9576_len_41595-cat_2,cat_2,FALSE
Bs_spoVD,CSUsets,Huttenhower,2,VIRSorter_2047_megahit_k119_76288_flag_0_multi_105_9677_len_149871_gene_8_gene_127-6423-119183-cat_5,cat_5,FALSE
Bs_spoVD,CSUsets,Huttenhower,3,VIRSorter_2079_megahit_k119_81216_flag_0_multi_41_9870_len_125883-cat_2,cat_2,FALSE
Bs_spoVD,CSUsets,Huttenhower,4,VIRSorter_2083_megahit_k119_16213_flag_1_multi_12_0000_len_16746-cat_2,cat_2,FALSE
Bs_spoVD,CSUsets,Huttenhower,5,VIRSorter_2083_megahit_k119_93662_flag_1_multi_16_0000_len_17523-cat_2,cat_2,FALSE
Bs_spoVD,CSUsets,Huttenhower,6,VIRSorter_2083_megahit_k119_99190_flag_0_multi_35_3307_len_394372_gene_120_gene_219-122023-209633-cat_4,cat_4,FALSE
Bs_spoVD,CSUsets,Huttenhower,7,VIRSorter_2103_megahit_k119_159623_flag_0_multi_24_8807_len_16256_gene_4_gene_13-4046-16306-cat_5,cat_5,FALSE
Bs_spoVD,CSUsets,Huttenhower,8,VIRSorter_2103_megahit_k119_187480_flag_0_multi_198_6584_len_121635_gene_11_gene_22-13098-30206-cat_5,cat_5,FALSE
Bs_spoVD,CSUsets,Huttenhower,9,VIRSorter_2103_megahit_k119_41778_flag_1_multi_27_5140_len_238395_gene_1_gene_100-0-81676-cat_4,cat_4,FALSE
Bs_spoVD,CSUsets,Huttenhower,10,VIRSorter_4006_megahit_k119_42200_flag_0_multi_78_1062_len_150180_gene_10_gene_109-11113-95965-cat_4,cat_4,FALSE
Bs_spoVD,CSUsets,Huttenhower,11,VIRSorter_4006_megahit_k119_42200_flag_0_multi_78_1062_len_150180_gene_10_gene_112-11113-100496-cat_5,cat_5,FALSE
Bs_spoVD,CSUsets,Huttenhower,12,VIRSorter_4022_megahit_k119_142623_flag_0_multi_25_1562_len_114804-cat_2,cat_2,FALSE
Bs_spoVD,CSUsets,Huttenhower,13,VIRSorter_5009_megahit_k119_101090_flag_1_multi_25_9634_len_82097-cat_1,cat_1,FALSE
Bs_spoVD,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P130_scaffold_9_gene_106_gene_235-113048-240419-cat_5,cat_5,FALSE
Bs_spoVD,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P130_scaffold_993-cat_2,cat_2,FALSE
Bs_spoVD,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P30_scaffold_31-cat_2,cat_2,FALSE
Bs_spoVD,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P46_scaffold_25_gene_80_gene_179-83983-155953-cat_4,cat_4,FALSE
Bs_spoVD,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P95_scaffold_54-cat_2,cat_2,FALSE
Bs_spoVD,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P95_scaffold_792-cat_2,cat_2,FALSE
Bs_spoVD,CSUsets,Methylamines,7,VIRSorter_NIH_meth_P99_scaffold_92_gene_40_gene_221-35069-194788-cat_5,cat_5,FALSE
Bs_spoVD,CSUsets,Methylamines,8,VIRSorter_NIH_meth_P99_scaffold_92_gene_40_gene_254-35069-241862-cat_5,cat_5,FALSE
Bs_spoVD,CSUsets,Methylamines,9,VIRSorter_NIH_meth_P99_scaffold_96-cat_2,cat_2,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,1,ivig_1412,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,2,uvig_101201,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,3,uvig_105918,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,4,uvig_124162,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,5,uvig_128102,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,6,uvig_144089,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,7,uvig_148807,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,8,uvig_14932,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,9,uvig_15268,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,10,uvig_157307,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,11,uvig_160111,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,12,uvig_160148,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,13,uvig_16729,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,14,uvig_175577,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,15,uvig_178920,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,16,uvig_180234,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,17,uvig_184551,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,18,uvig_185574,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,19,uvig_188307,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,20,uvig_188595,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,21,uvig_192192,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,22,uvig_197061,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,23,uvig_203752,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,24,uvig_206302,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,25,uvig_206323,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,26,uvig_209249,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,27,uvig_214902,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,28,uvig_215846,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,29,uvig_239365,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,30,uvig_240119,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,31,uvig_247275,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,32,uvig_253627,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,33,uvig_254239,NA,FALSE
Bs_spoVD,GPD,Camarillo-Guerrero,34,uvig_298317,NA,FALSE
