focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Cd_nrdR,CSUsets,Anaerobic_Digestors,1,VIRSorter_AD_CERC_C7A_k121_124730_flag_0_multi_243_7125_len_12434-cat_2,cat_2,FALSE
Cd_nrdR,CSUsets,Anaerobic_Digestors,2,VIRSorter_AD_CERC_C8A_k121_45979_flag_0_multi_164_2007_len_53684_gene_23_gene_57-27424-53734-cat_5,cat_5,FALSE
Cd_nrdR,CSUsets,Anaerobic_Digestors,3,VIRSorter_AD_CERC_I3A_k121_212845_flag_1_multi_64_0021_len_17511-cat_2,cat_2,FALSE
Cd_nrdR,CSUsets,Anaerobic_Digestors,4,VIRSorter_AD_CERC_I7A_k121_144119_flag_0_multi_66_0207_len_44193_gene_1_gene_23-0-16724-cat_5,cat_5,FALSE
Cd_nrdR,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_feces_day27_scaffold_29_gene_111_gene_229-130066-232054-cat_5,cat_5,FALSE
Cd_nrdR,CSUsets,CT_soil,1,VIRSorter_CT_soil_enrich_CT_day20_scaffold_275_gene_10_gene_37-11326-42367-cat_5,cat_5,FALSE
Cd_nrdR,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA103_NP-F11_scaffold_402_gene_4_gene_13-3199-11739-cat_5,cat_5,FALSE
Cd_nrdR,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA108_ANT-21_scaffold_703_gene_2_gene_11-537-9177-cat_5,cat_5,FALSE
Cd_nrdR,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA115_ANT-F21_scaffold_29_gene_13_gene_24-12267-24797-cat_5,cat_5,FALSE
Cd_nrdR,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA124_ANT-21_scaffold_1174_gene_3_gene_12-2060-10600-cat_5,cat_5,FALSE
Cd_nrdR,CSUsets,Frac_DJ_basin,5,VIRSorter_DJKA126_ANT-KO_scaffold_2739_gene_3_gene_12-1736-10130-cat_5,cat_5,FALSE
Cd_nrdR,CSUsets,Frac_DJ_basin,6,VIRSorter_DJKA129_NP-J24_scaffold_1045-cat_2,cat_2,FALSE
Cd_nrdR,CSUsets,Frac_DJ_basin,7,VIRSorter_DJKA59_ANT-F21_scaffold_1097_gene_2_gene_11-1310-9850-cat_5,cat_5,FALSE
Cd_nrdR,CSUsets,Frac_DJ_basin,8,VIRSorter_DJKA68_ANT-21_scaffold_732_gene_2_gene_11-1310-9850-cat_5,cat_5,FALSE
Cd_nrdR,CSUsets,Frac_DJ_basin,9,VIRSorter_DJKA86_ANT-KO_scaffold_684_gene_2_gene_11-1310-9850-cat_5,cat_5,FALSE
Cd_nrdR,CSUsets,Frac_DJ_basin,10,VIRSorter_DJKA95_NP-F11_scaffold_430_gene_5_gene_14-3770-12310-cat_5,cat_5,FALSE
Cd_nrdR,CSUsets,Fractured_shale,1,VIRSorter_shale_MC_6_LG_scaffold_10083_gene_6_gene_23-3277-17617-cat_2,cat_2,TRUE
Cd_nrdR,CSUsets,Fractured_shale,2,VIRSorter_shale_MC_6_LG_scaffold_9384-cat_2,cat_2,MAYBE
