Gene,symbol,Function,FC,header,mutant.strain
CD0125,  spoIIQ ,  Stage II sporulation protein Q,0.11,Sporulation,sigF
CD2470,  gpr,  Spore endopeptidase,0.22,Sporulation,sigF
CD2469,  spoIIP,Stage II sporulation protein P,0.14,Sporulation,sigF
CD2468,  , Conserved hypothetical protein,0.28,Sporulation,sigF
CD3564,  spoIIR,Pro-SigE endopeptidase signalling protein,0.43,Sporulation,sigF
CD3563,  sleB, Spore-cortex-lytic protein,0.16,Sporulation,sigF
CD3499,  spoVT,   Stage V sporulation protein T,0.07,Sporulation,sigF
CD0783,  spoIVB ,"  Stage IV sporulation protein SpoIVB, S55 peptidase family",0.1,Sporulation,sigF
CD0773,  spoVAC ,  Stage V sporulation protein AC,0.24,Sporulation,sigF
CD0774,  spoVAD ,  Stage V sporulation protein AD,0.27,Sporulation,sigF
CD0775,  spoVAE ,  Stage V sporulation protein AE,0.32,Sporulation,sigF
CD2688,  sspA," Small, acid-soluble spore protein alpha",0,Sporulation,sigF
CD3249,  sspB," Small, acid-soluble spore protein alpha",0.01,Sporulation,sigF
CD1290, , Putative small acid-soluble spore protein SASP,0.29,Sporulation,sigF
CD3220.1 ,  ,Small acid-soluble spore protein,0.28,Sporulation,sigF
CD1230,  sigK,Fragment of RNA polymerase sigma-K factor SigK (Part1),0.47,Sporulation,sigF
CD1613,  cotA, Spore outer coat layer protein CotA,0.13,Sporulation,sigF
CD0598,  cotCB, Spore-coat protein CotCB manganese catalase,0.18,Sporulation,sigF
CD0214,  , Conserved hypothetical protein,0.3,Sporulation,sigF
CD0213,  , Putative spore coat protein,0.47,Sporulation,sigF
CD0332,  bclA1, Putative exosporium glycoprotein,0.43,Sporulation,sigF
CD3230,  bclA2, Putative exosporium glycoprotein,0.16,Sporulation,sigF
CD3349,  bclA3, Exosporium glycoprotein BclA3,0.12,Sporulation,sigF
CD1567,,putative manganese catalase,0.25,Stress,sigF
CD2845,rbr,Rubrerythrin,0.14,Stress,sigF
CD1631,sodA,Superoxide dismutase (Mn),0.06,Stress,sigF
CD3462,mazE,Putative antitoxin EndoAI,0.2,Stress,sigF
CD3461,mazF,Endoribonuclease toxin,0.31,Stress,sigF
CD1430,pdaA,Putative ?-lactam-biosynthetic deacteylase,0.06,enveloppes,sigF
CD1291,dacF,D-alanyl-D-alanine carboxypeptidase,0.11,enveloppes,sigF
CD2141,,Serine-type D-Ala-D-Ala carboxypeptidase,0.3,enveloppes,sigF
CD2184,,Putative N-acetylmuramoyl-L-alanine amidase,0.39,enveloppes,sigF
CD3463,alr2,Alanine racemase 2,0.23,enveloppes,sigF
CD3464,,Conserved hypothetical protein,0.18,enveloppes,sigF
CD0784,,Putative N-acetylmuramoyl-L-alanine amidase,0.23,enveloppes,sigF
CD1229,,Putative peptidoglycan glycosyltransferase,0.42,enveloppes,sigF
CD2664,murE,UDP-N-acetylmuramyl-tripeptide synthetase,0.51,enveloppes,sigF
CD2762,uppS,Putative undecaprenyl pyrophosphate synthetase,0.2,enveloppes,sigF
CD0514,cwpV,Cell surface protein,0.61,enveloppes,sigF
CD0792,,"Putative membrane protein, DUF81 family",0.39,enveloppes,sigF
CD0793,,"Putative membrane protein, DUF81 family",0.26,enveloppes,sigF
CD1297,,Putative membrane protein,0.31,enveloppes,sigF
CD1298,,Conserved hypothetical protein,0.19,enveloppes,sigF
CD1677,,Putative membrane protein,0.48,enveloppes,sigF
CD1940,,Putative membrane protein,0.25,enveloppes,sigF
CD2315,,Putative exported protein,0.31,enveloppes,sigF
CD2634,,Conserved hypothetical protein,0.27,enveloppes,sigF
CD2635,,Putative membrane protein,0.33,enveloppes,sigF
CD2636,,Putative membrane protein,0.2,enveloppes,sigF
CD2686,,Putative membrane protein,0.33,enveloppes,sigF
CD2856,,Putative membrane protein,0.46,enveloppes,sigF
CD3551.1,,Putative membrane protein,0.11,enveloppes,sigF
CD1707,,"Putative C4-dicarboxylate anaerobic carrier, DcuC family",0.29,enveloppes,sigF
CD2107,,Xanthine/uracil/thiamine/ascorbate permease family protein,0.37,enveloppes,sigF
CD1891,,"Fragment of ABC-type transport system, substrate-binding pr",0.4,enveloppes,sigF
CD2102,,Putative Na(+)/H(+) antiporter,0.49,enveloppes,sigF
CD2465,,Putative amino acid/polyamine transporter,0.36,enveloppes,sigF
