focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_spoVT,CSUsets,Anaerobic_Digestors,1,VIRSorter_AD_CERC_I3A_k121_73791_flag_1_multi_157_0000_len_81244-cat_2,cat_2,TRUE
Bs_spoVT,CSUsets,Anaerobic_Digestors,2,VIRSorter_AD_CERC_I7A_k121_116032_flag_1_multi_114_9835_len_166410-cat_2,cat_2,MAYBE
Bs_spoVT,CSUsets,Anaerobic_Digestors,3,VIRSorter_AD_CERC_I8A_k121_70598_flag_1_multi_58_9920_len_166412-cat_2,cat_2,MAYBE
Bs_spoVT,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA99_ANT-F21_scaffold_1583-cat_2,cat_2,TRUE
Bs_spoVT,CSUsets,Fractured_shale,1,VIRSorter_shale_W_2__Widges_2_scaffold_208-cat_2,cat_2,TRUE
Bs_spoVT,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS013940_scaffold_302_gene_14_gene_45-18776-52749-cat_5-cat_2,cat_2,FALSE
Bs_spoVT,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS015133_scaffold_2503-cat_2-cat_2,cat_2,TRUE
Bs_spoVT,CSUsets,Human_Microbiome_Project,3,VIRSorter_HMP_SRS015264_scaffold_923-cat_2-cat_2,cat_2,TRUE
Bs_spoVT,CSUsets,Human_Microbiome_Project,4,VIRSorter_HMP_SRS017916_scaffold_126-cat_2-cat_2,cat_2,MAYBE
Bs_spoVT,CSUsets,Human_Microbiome_Project,5,VIRSorter_HMP_SRS144537_scaffold_403-cat_2-cat_2,cat_2,TRUE
Bs_spoVT,CSUsets,Human_Microbiome_Project,6,VIRSorter_HMP_SRS144537_scaffold_447-cat_2-cat_2,cat_2,MAYBE
Bs_spoVT,CSUsets,Human_Microbiome_Project,7,VIRSorter_HMP_SRS147557_scaffold_119-cat_2_gene_8_gene_70-8644-56463-cat_5,cat_5,TRUE
Bs_spoVT,CSUsets,Human_Microbiome_Project,8,VIRSorter_HMP_SRS149784_scaffold_363_gene_2_gene_18-1318-12845-cat_5-cat_2,cat_2,TRUE
Bs_spoVT,CSUsets,Huttenhower,1,VIRSorter_2042_megahit_k119_260722_flag_0_multi_14_2152_len_45792_gene_1_gene_34-0-16641-cat_5,cat_5,FALSE
Bs_spoVT,CSUsets,Huttenhower,2,VIRSorter_2047_megahit_k119_129654_flag_1_multi_27_0000_len_50325-cat_2,cat_2,FALSE
Bs_spoVT,CSUsets,Huttenhower,3,VIRSorter_2047_megahit_k119_153989_flag_0_multi_85_7845_len_76900_gene_1_gene_41-0-46670-cat_5,cat_5,FALSE
Bs_spoVT,CSUsets,Huttenhower,4,VIRSorter_2060_megahit_k119_50941_flag_0_multi_38_9202_len_12162-cat_2,cat_2,TRUE
Bs_spoVT,CSUsets,Huttenhower,5,VIRSorter_2064_megahit_k119_280137_flag_0_multi_47_9270_len_41133_gene_18_gene_51-21361-41183-cat_5,cat_5,TRUE
Bs_spoVT,CSUsets,Huttenhower,6,VIRSorter_2064_megahit_k119_95555_flag_3_multi_451_3933_len_145151-circular-cat_2,cat_2,TRUE
Bs_spoVT,CSUsets,Huttenhower,7,VIRSorter_2068_megahit_k119_119692_flag_0_multi_51_9035_len_64121_gene_49_gene_74-41235-55326-cat_5,cat_5,FALSE
Bs_spoVT,CSUsets,Huttenhower,8,VIRSorter_3005_megahit_k119_54264_flag_1_multi_9_0000_len_23603-cat_2,cat_2,MAYBE
Bs_spoVT,CSUsets,Huttenhower,9,VIRSorter_3008_megahit_k119_80595_flag_0_multi_28_2215_len_47644-cat_2,cat_2,MAYBE
Bs_spoVT,CSUsets,Huttenhower,10,VIRSorter_3015_megahit_k119_136605_flag_1_multi_9_0000_len_15093-cat_2,cat_2,FALSE
Bs_spoVT,CSUsets,Huttenhower,11,VIRSorter_3022_megahit_k119_190474_flag_1_multi_49_6939_len_122144-cat_2,cat_2,FALSE
Bs_spoVT,CSUsets,Huttenhower,12,VIRSorter_3023_megahit_k119_8776_flag_1_multi_928_7983_len_125361-cat_2,cat_2,FALSE
Bs_spoVT,CSUsets,Huttenhower,13,VIRSorter_4027_megahit_k119_127079_flag_1_multi_23_0000_len_19622-cat_2,cat_2,FALSE
Bs_spoVT,CSUsets,Huttenhower,14,VIRSorter_4039_megahit_k119_71083_flag_0_multi_56_1041_len_127707-cat_2,cat_2,FALSE
Bs_spoVT,CSUsets,Huttenhower,15,VIRSorter_5009_megahit_k119_138079_flag_0_multi_18_9845_len_46602-cat_2,cat_2,FALSE
Bs_spoVT,CSUsets,Huttenhower,16,VIRSorter_5013_megahit_k119_172440_flag_0_multi_37_9530_len_40263-cat_2,cat_2,MAYBE
Bs_spoVT,CSUsets,Huttenhower,17,VIRSorter_6010_megahit_k119_43930_flag_1_multi_30_8430_len_67223-cat_2,cat_2,FALSE
Bs_spoVT,CSUsets,Huttenhower,18,VIRSorter_6018_megahit_k119_159985_flag_0_multi_24_3638_len_47315-cat_2,cat_2,FALSE
Bs_spoVT,CSUsets,Huttenhower,19,VIRSorter_6038_megahit_k119_28561_flag_0_multi_25_3014_len_104811_gene_2_gene_105-625-59372-cat_5,cat_5,MAYBE
