focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_spoVAD,CSUsets,CT_soil,1,VIRSorter_CT_soil_enrich_CT_day20_scaffold_68-cat_2,cat_2,FALSE
Bs_spoVAD,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS015264_scaffold_977-cat_2-cat_2,cat_2,FALSE
Bs_spoVAD,CSUsets,Huttenhower,1,VIRSorter_2072_megahit_k119_103444_flag_0_multi_59_5726_len_110573_gene_23_gene_123-19063-95298-cat_5,cat_5,FALSE
Bs_spoVAD,CSUsets,Huttenhower,2,VIRSorter_2083_megahit_k119_51870_flag_0_multi_486_9588_len_123211-cat_2,cat_2,FALSE
Bs_spoVAD,CSUsets,Huttenhower,3,VIRSorter_4022_megahit_k119_142623_flag_0_multi_25_1562_len_114804-cat_2,cat_2,FALSE
Bs_spoVAD,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P16_scaffold_0_gene_1_gene_100-140-95780-cat_5,cat_5,FALSE
Bs_spoVAD,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P78_scaffold_66_gene_1_gene_165-0-138088-cat_5,cat_5,FALSE
Bs_spoVAD,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P99_scaffold_745-cat_2,cat_2,FALSE
Bs_spoVAD,CSUsets,Salmonella_HFD,1,VIRSorter_KS_megahit_final_contigs_2500_k141_174395_flag_0_multi_32_4299_len_47235-cat_2,cat_2,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,1,uvig_106647,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,2,uvig_106651,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,3,uvig_109345,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,4,uvig_126907,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,5,uvig_130037,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,6,uvig_139494,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,7,uvig_140341,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,8,uvig_141515,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,9,uvig_15007,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,10,uvig_166271,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,11,uvig_171517,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,12,uvig_177288,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,13,uvig_186748,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,14,uvig_187462,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,15,uvig_192076,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,16,uvig_192542,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,17,uvig_195855,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,18,uvig_200796,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,19,uvig_201728,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,20,uvig_202033,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,21,uvig_202494,NA,FALSE
Bs_spoVAD,GPD,Camarillo-Guerrero,22,uvig_207792,NA,FALSE
