refseq.id.x,VIRSorter category,Circular,Prophage,Gene count,Strand switches,potential AMG count,Transposase present,Possible Non-Viral Contig,Viral replication genes,Viral genes with unknown function,Viral hypothetical genes,Viral genes with host benefits,Viral structure genes,Viral genes with viral benefits,virus.tax.id,virus.name,virus.lineage,refseq.id.y,KEGG.GENOME,KEGG.DISEASE,DISEASE,host.tax.id,host.name,host.lineage,domain,phylum,class,order,family,genus.etc,pmid,evidence,sample.type,source.organism,spor_host
NC_000866,0,FALSE,0,265,12,2,FALSE,0.064150943,29,135,34,37,13,17,10665,Escherichia virus T4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus,NC_000866,NA,NA,NA,562,Escherichia coli,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,FALSE
NC_000871,0,FALSE,0,46,0,0,FALSE,0.065217391,3,36,3,3,1,0,72638,Streptococcus virus Sfi19,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Moineauvirus,NC_000871,NA,NA,NA,1308,Streptococcus thermophilus,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,"NCBI Virus, RefSeq",NA,NA,FALSE
NC_000872,0,FALSE,0,54,2,0,FALSE,0.074074074,4,40,5,4,1,0,64186,Streptococcus virus Sfi21,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Moineauvirus,NC_000872,NA,NA,NA,1308,Streptococcus thermophilus,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,"NCBI Virus, RefSeq",NA,NA,FALSE
NC_000896,0,FALSE,0,66,3,0,FALSE,0.03030303,4,26,33,2,1,0,12417,Lactobacillus phage phiadh,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_000896,NA,NA,NA,1596,Lactobacillus gasseri,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,10452953,"Literature, NCBI Virus, RefSeq",NA,NA,FALSE
NC_000902,0,FALSE,0,85,2,0,FALSE,0.082352941,4,55,14,7,1,4,97081,Enterobacteria phage VT2-Sakai,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Sepvirinae; Traversvirus; unclassified Traversvirus,NC_000902,NA,NA,NA,83334,Escherichia coli O157:H7,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia; Escherichia coli,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,FALSE
NC_000924,0,FALSE,0,87,4,0,FALSE,0.103448276,4,58,10,9,1,5,10730,Escherichia phage 933W,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae; Sepvirinae; Traversvirus; Escherichia virus 933W,NC_000924,NA,NA,NA,155864,Escherichia coli O157:H7 str. EDL933,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli; Escherichia coli O157:H7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia; Escherichia coli; Escherichia coli O157:H7,NA,RefSeq,NA,NA,FALSE
NC_000929,0,FALSE,0,55,6,0,FALSE,0.309090909,7,12,7,23,2,4,2681603,Escherichia phage Mu,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Muvirus; Escherichia virus Mu,NC_000929,NA,NA,NA,562,Escherichia coli,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,NA,RefSeq,NA,NA,FALSE
NC_000935,0,FALSE,0,39,4,0,FALSE,0.102564103,8,12,12,4,2,1,67571,Hamiltonella virus APSE1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Podoviridae,NC_000935,NA,NA,NA,543,Enterobacteriaceae,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,10877764,Literature,NA,NA,FALSE
NC_001271,0,FALSE,0,46,0,0,FALSE,0.02173913,17,15,3,1,3,7,110457,Yersinia phage phiYeO3-12,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Autographiviridae; Studiervirinae; Teetrevirus; Yersinia virus YeO3-12,NC_001271,NA,NA,NA,34051,Yersinia enterocolitica (type O:3),Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia enterocolitica,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia; Yersinia enterocolitica,NA,RefSeq,NA,NA,FALSE
NC_001317,0,FALSE,0,41,3,0,FALSE,0.097560976,7,11,6,10,3,4,2681630,Escherichia phage 186,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Peduovirinae; Eganvirus; Escherichia virus 186,NC_001317,NA,NA,NA,562,Escherichia coli,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,NA,UniProt,NA,NA,FALSE
