focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_gapB,CSUsets,Frack_STACK,1,VIRSorter_VIRSorter_MC_FT3_sol_scaffold_1_gene_821_gene_919-612720-710772-cat_5-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Fractured_shale,1,VIRSorter_shale_6_PW210_scaffold_510-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Fractured_shale,2,VIRSorter_shale_6_PW90_scaffold_353-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Fractured_shale,3,VIRSorter_shale_MC_3_A_scaffold_55-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Fractured_shale,4,VIRSorter_shale_MC_FT3_sol_scaffold_1_gene_821_gene_919-612720-710772-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS017916_scaffold_126-cat_2-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS144537_scaffold_1527_gene_1_gene_56-0-37708-cat_4-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Huttenhower,1,VIRSorter_2028_megahit_k119_70292_flag_0_multi_35_9836_len_42923-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Huttenhower,2,VIRSorter_2071_megahit_k119_10581_flag_0_multi_39_9907_len_167223-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Huttenhower,3,VIRSorter_2071_megahit_k119_68401_flag_0_multi_117_9806_len_120436-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Huttenhower,4,VIRSorter_3011_megahit_k119_72710_flag_0_multi_17_9869_len_93312-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Huttenhower,5,VIRSorter_3027_megahit_k119_97920_flag_0_multi_41_2214_len_32662-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Huttenhower,6,VIRSorter_3034_megahit_k119_76609_flag_0_multi_27_9870_len_41744-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Huttenhower,7,VIRSorter_4006_megahit_k119_28319_flag_0_multi_44_0000_len_41348-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Huttenhower,8,VIRSorter_4020_megahit_k119_45896_flag_0_multi_32_9916_len_76152-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Huttenhower,9,VIRSorter_6016_megahit_k119_103662_flag_0_multi_25_1009_len_94010-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P146_scaffold_40_gene_54_gene_166-54402-156372-cat_5,cat_5,FALSE
Bs_gapB,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P26_scaffold_272-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P31_scaffold_416-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P36_scaffold_136-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P44_scaffold_21_gene_2_gene_55-3146-59265-cat_5,cat_5,FALSE
Bs_gapB,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P46_scaffold_147_gene_56_gene_117-62596-101649-cat_4,cat_4,FALSE
Bs_gapB,CSUsets,Methylamines,7,VIRSorter_NIH_meth_P46_scaffold_165_gene_116_gene_215-124738-189129-cat_4,cat_4,FALSE
Bs_gapB,CSUsets,Methylamines,8,VIRSorter_NIH_meth_P51_scaffold_304_gene_20_gene_94-18059-75782-cat_5,cat_5,FALSE
Bs_gapB,CSUsets,Methylamines,9,VIRSorter_NIH_meth_P52_scaffold_0_gene_357_gene_393-383710-419872-cat_5,cat_5,FALSE
Bs_gapB,CSUsets,Methylamines,10,VIRSorter_NIH_meth_P52_scaffold_804-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Methylamines,11,VIRSorter_NIH_meth_P64_scaffold_366-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Methylamines,12,VIRSorter_NIH_meth_P68_scaffold_33_gene_1_gene_92-0-90033-cat_5,cat_5,FALSE
Bs_gapB,CSUsets,Methylamines,13,VIRSorter_NIH_meth_P71_scaffold_21_gene_82_gene_191-84458-187448-cat_5,cat_5,FALSE
Bs_gapB,CSUsets,Methylamines,14,VIRSorter_NIH_meth_P71_scaffold_31_gene_1_gene_94-0-91681-cat_5,cat_5,FALSE
Bs_gapB,CSUsets,Methylamines,15,VIRSorter_NIH_meth_P78_scaffold_303_gene_29_gene_89-26726-64699-cat_4,cat_4,FALSE
Bs_gapB,CSUsets,Methylamines,16,VIRSorter_NIH_meth_P78_scaffold_303_gene_29_gene_93-26726-68471-cat_4,cat_4,FALSE
Bs_gapB,CSUsets,Methylamines,17,VIRSorter_NIH_meth_P78_scaffold_33_gene_324_gene_425-324367-423867-cat_5,cat_5,FALSE
Bs_gapB,CSUsets,Methylamines,18,VIRSorter_NIH_meth_P78_scaffold_4433-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Methylamines,19,VIRSorter_NIH_meth_P78_scaffold_472_gene_43_gene_123-48242-139374-cat_5,cat_5,FALSE
Bs_gapB,CSUsets,Methylamines,20,VIRSorter_NIH_meth_P83_scaffold_85-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Methylamines,21,VIRSorter_NIH_meth_P95_scaffold_4_gene_343_gene_389-369805-416462-cat_5,cat_5,FALSE
Bs_gapB,CSUsets,Salmonella_HFD,1,VIRSorter_5_10_2_1_no_mouse_final_contigs_ml25000_k141_195042_flag_0_multi_50_1666_len_114362_gene_8_gene_71-8298-66721-cat_5,cat_5,FALSE
Bs_gapB,CSUsets,Salmonella_HFD,2,VIRSorter_5_10_2_8_no_mouse_final_contigs_ml25000_k141_23847_flag_0_multi_2120_8049_len_195690_gene_28_gene_139-33515-159933-cat_5,cat_5,FALSE
Bs_gapB,CSUsets,Salmonella_HFD,3,VIRSorter_5_14_2_5_no_mouse_final_contigs_ml25000_k141_296244_flag_1_multi_18_9681_len_100541-cat_2,cat_2,FALSE
Bs_gapB,CSUsets,Salmonella_HFD,4,VIRSorter_IDBACoAss_scaffold_2500_scaffold_157_gene_172_gene_257-183280-248084-cat_5,cat_5,FALSE
