focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_yhaM,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA100_ANT-21_scaffold_584-cat_2,cat_2,TRUE
Bs_yhaM,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA107_ANT-F21_scaffold_2391-cat_2,cat_2,TRUE
Bs_yhaM,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA107_ANT-F21_scaffold_3244-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA108_ANT-21_scaffold_181-cat_2,cat_2,TRUE
Bs_yhaM,CSUsets,Frac_DJ_basin,5,VIRSorter_DJKA113_NP-J24_scaffold_1_gene_271_gene_392-269920-381865-cat_5,cat_5,FALSE
Bs_yhaM,CSUsets,Frac_DJ_basin,6,VIRSorter_DJKA115_ANT-F21_scaffold_423-cat_2,cat_2,TRUE
Bs_yhaM,CSUsets,Frac_DJ_basin,7,VIRSorter_DJKA123_ANT-F21_scaffold_347-cat_2,cat_2,TRUE
Bs_yhaM,CSUsets,Frac_DJ_basin,8,VIRSorter_DJKA39_NP-F11_scaffold_64-cat_2,cat_2,TRUE
Bs_yhaM,CSUsets,Frac_DJ_basin,9,VIRSorter_DJKA47_NP-F11_scaffold_88_gene_19_gene_30-19832-35740-cat_5,cat_5,FALSE
Bs_yhaM,CSUsets,Frac_DJ_basin,10,VIRSorter_DJKA51_ANT-F21_scaffold_572-cat_2,cat_2,TRUE
Bs_yhaM,CSUsets,Frac_DJ_basin,11,VIRSorter_DJKA59_ANT-F21_scaffold_548-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Frac_DJ_basin,12,VIRSorter_DJKA64_NP-F35_scaffold_67_gene_13_gene_24-13121-29029-cat_5,cat_5,TRUE
Bs_yhaM,CSUsets,Frac_DJ_basin,13,VIRSorter_DJKA67_ANT-F21_scaffold_40-circular-cat_1,cat_1,TRUE
Bs_yhaM,CSUsets,Frac_DJ_basin,14,VIRSorter_DJKA75_ANT-F21_scaffold_30-circular-cat_1,cat_1,MAYBE
Bs_yhaM,CSUsets,Frac_DJ_basin,15,VIRSorter_DJKA83_ANT-F21_scaffold_344-cat_2,cat_2,FALSE
Bs_yhaM,CSUsets,Frac_DJ_basin,16,VIRSorter_DJKA95_NP-F11_scaffold_1_gene_38_gene_146-36310-138510-cat_5,cat_5,TRUE
Bs_yhaM,CSUsets,Frac_DJ_basin,17,VIRSorter_DJKA99_ANT-F21_scaffold_478-cat_2,cat_2,TRUE
Bs_yhaM,CSUsets,Frac_DJ_basin,18,VIRSorter_DJKA99_ANT-F21_scaffold_84-circular-cat_1,cat_1,MAYBE
Bs_yhaM,CSUsets,Fractured_shale,1,VIRSorter_shale_K_7_7_scaffold_1102-cat_2,cat_2,TRUE
Bs_yhaM,CSUsets,Fractured_shale,2,VIRSorter_shale_M1_7_4_scaffold_171-cat_2,cat_2,TRUE
Bs_yhaM,CSUsets,Fractured_shale,3,VIRSorter_shale_M2_7_2_scaffold_409-cat_2,cat_2,TRUE
Bs_yhaM,CSUsets,Fractured_shale,4,VIRSorter_shale_M2_7_4_scaffold_306-cat_2,cat_2,TRUE
Bs_yhaM,CSUsets,Fractured_shale,5,VIRSorter_shale_W_2__Widges_2_scaffold_208-cat_2,cat_2,TRUE
Bs_yhaM,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS011405_scaffold_679-cat_2-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS098717_scaffold_698-cat_1-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,1,VIRSorter_2008_megahit_k119_46411_flag_1_multi_36_7474_len_66344_gene_40_gene_79-44834-66095-cat_5,cat_5,MAYBE
Bs_yhaM,CSUsets,Huttenhower,2,VIRSorter_2008_megahit_k119_61853_flag_0_multi_361_0000_len_20220-cat_2,cat_2,FALSE
Bs_yhaM,CSUsets,Huttenhower,3,VIRSorter_2014_megahit_k119_28865_flag_0_multi_192_9491_len_71817_gene_1_gene_78-295-52552-cat_5,cat_5,FALSE
Bs_yhaM,CSUsets,Huttenhower,4,VIRSorter_2014_megahit_k119_68098_flag_0_multi_274_4691_len_54828-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,5,VIRSorter_2026_megahit_k119_31340_flag_0_multi_71_8714_len_23905-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,6,VIRSorter_2027_megahit_k119_3659_flag_0_multi_45_8354_len_47699-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,7,VIRSorter_2028_megahit_k119_79361_flag_0_multi_266_0000_len_51860-cat_1,cat_1,MAYBE
Bs_yhaM,CSUsets,Huttenhower,8,VIRSorter_2034_megahit_k119_134605_flag_1_multi_13_8068_len_27214-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,9,VIRSorter_2042_megahit_k119_384075_flag_0_multi_25_9100_len_22631-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,10,VIRSorter_2047_megahit_k119_80893_flag_0_multi_152_9720_len_48951-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,11,VIRSorter_2048_megahit_k119_170290_flag_0_multi_31_7284_len_21345-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,12,VIRSorter_2061_megahit_k119_30140_flag_0_multi_68_6327_len_21570-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,13,VIRSorter_2071_megahit_k119_44736_flag_0_multi_32_9830_len_37720-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,14,VIRSorter_2071_megahit_k119_45937_flag_0_multi_264_8771_len_43084-cat_1,cat_1,MAYBE
Bs_yhaM,CSUsets,Huttenhower,15,VIRSorter_2075_megahit_k119_59390_flag_0_multi_14_9597_len_23027-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,16,VIRSorter_2077_megahit_k119_45781_flag_0_multi_141_8618_len_179445_gene_107_gene_188-105828-159610-cat_5,cat_5,MAYBE
Bs_yhaM,CSUsets,Huttenhower,17,VIRSorter_2079_megahit_k119_84714_flag_0_multi_14_0000_len_22161-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,18,VIRSorter_2085_megahit_k119_84508_flag_1_multi_9_0000_len_11673-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,19,VIRSorter_2097_megahit_k119_132476_flag_0_multi_49_4788_len_54557-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,20,VIRSorter_3012_megahit_k119_149764_flag_0_multi_58_6016_len_39342-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,21,VIRSorter_3021_megahit_k119_156493_flag_0_multi_26_7188_len_69532-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,22,VIRSorter_3022_megahit_k119_222135_flag_0_multi_183_3403_len_21221-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,23,VIRSorter_3027_megahit_k119_30817_flag_0_multi_26_9971_len_182286-cat_2,cat_2,FALSE
Bs_yhaM,CSUsets,Huttenhower,24,VIRSorter_3028_megahit_k119_39848_flag_1_multi_62_1611_len_61576-cat_2,cat_2,TRUE
Bs_yhaM,CSUsets,Huttenhower,25,VIRSorter_3028_megahit_k119_48407_flag_0_multi_43_2370_len_20050-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,26,VIRSorter_3029_megahit_k119_58547_flag_0_multi_175_6393_len_24462-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,27,VIRSorter_3034_megahit_k119_6712_flag_1_multi_20_9830_len_23662-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,28,VIRSorter_3035_megahit_k119_46006_flag_0_multi_189_8788_len_62513-cat_2,cat_2,FALSE
Bs_yhaM,CSUsets,Huttenhower,29,VIRSorter_3037_megahit_k119_623_flag_0_multi_126_0000_len_21855-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,30,VIRSorter_4006_megahit_k119_131832_flag_0_multi_584_6457_len_17969-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,31,VIRSorter_4006_megahit_k119_187557_flag_0_multi_1054_6001_len_20207-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,32,VIRSorter_4009_megahit_k119_60070_flag_1_multi_12_0000_len_20561-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,33,VIRSorter_4010_megahit_k119_153775_flag_0_multi_35_9126_len_52896-cat_2,cat_2,FALSE
Bs_yhaM,CSUsets,Huttenhower,34,VIRSorter_4014_megahit_k119_87095_flag_0_multi_49_0000_len_34261-cat_2,cat_2,FALSE
Bs_yhaM,CSUsets,Huttenhower,35,VIRSorter_4015_megahit_k119_172858_flag_0_multi_22_0000_len_32289_gene_1_gene_36-0-18425-cat_5,cat_5,FALSE
Bs_yhaM,CSUsets,Huttenhower,36,VIRSorter_4019_megahit_k119_272375_flag_0_multi_129_8788_len_21403-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,37,VIRSorter_4022_megahit_k119_12610_flag_1_multi_15_3980_len_20411-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,38,VIRSorter_4027_megahit_k119_66479_flag_0_multi_14_7161_len_18062-cat_2,cat_2,MAYBE
Bs_yhaM,CSUsets,Huttenhower,39,VIRSorter_4042_megahit_k119_62175_flag_0_multi_38_4029_len_59130-cat_2,cat_2,FALSE
