focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_exoA,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA107_ANT-F21_scaffold_3795-cat_2,cat_2,FALSE
Bs_exoA,CSUsets,Huttenhower,1,VIRSorter_2008_megahit_k119_69864_flag_0_multi_25_2461_len_34657-cat_2,cat_2,FALSE
Bs_exoA,CSUsets,Huttenhower,2,VIRSorter_2069_megahit_k119_187914_flag_0_multi_92_9888_len_164225-cat_2,cat_2,FALSE
Bs_exoA,CSUsets,Huttenhower,3,VIRSorter_3006_megahit_k119_118901_flag_0_multi_36_7816_len_281245_gene_53_gene_176-59175-163353-cat_5,cat_5,FALSE
Bs_exoA,CSUsets,Huttenhower,4,VIRSorter_3015_megahit_k119_120892_flag_0_multi_85_0000_len_62992-cat_2,cat_2,FALSE
Bs_exoA,CSUsets,Huttenhower,5,VIRSorter_4023_megahit_k119_25673_flag_0_multi_78_2349_len_49039-cat_2,cat_2,FALSE
Bs_exoA,CSUsets,Huttenhower,6,VIRSorter_4039_megahit_k119_162042_flag_0_multi_27_9982_len_321661_gene_56_gene_199-60926-198421-cat_5,cat_5,FALSE
Bs_exoA,CSUsets,Huttenhower,7,VIRSorter_5004_megahit_k119_83573_flag_0_multi_25_9983_len_302096_gene_205_gene_304-205917-301852-cat_4,cat_4,FALSE
Bs_exoA,CSUsets,Huttenhower,8,VIRSorter_6012_megahit_k119_22206_flag_0_multi_15_1909_len_28274-cat_2,cat_2,FALSE
Bs_exoA,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P36_scaffold_3816-cat_2,cat_2,FALSE
Bs_exoA,CSUsets,Salmonella_HFD,1,VIRSorter_LM_megahit_final_contigs_2500_k119_254914_flag_0_multi_34_6940_len_227932_gene_50_gene_174-50302-156682-cat_5,cat_5,FALSE
Bs_exoA,CSUsets,Salmonella_HFD,2,VIRSorter_LP_idba_scaffold_2500_scaffold_289_gene_94_gene_130-102471-132202-cat_5,cat_5,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,1,ivig_2365,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,2,ivig_3556,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,3,ivig_3994,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,4,uvig_106432,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,5,uvig_10684,NA,TRUE
Bs_exoA,GPD,Camarillo-Guerrero,6,uvig_110766,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,7,uvig_113044,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,8,uvig_113788,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,9,uvig_114,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,10,uvig_116833,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,11,uvig_117903,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,12,uvig_118024,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,13,uvig_122630,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,14,uvig_123220,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,15,uvig_132581,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,16,uvig_137951,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,17,uvig_140329,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,18,uvig_140710,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,19,uvig_142595,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,20,uvig_149569,NA,MAYBE
Bs_exoA,GPD,Camarillo-Guerrero,21,uvig_153853,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,22,uvig_154635,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,23,uvig_15584,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,24,uvig_158032,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,25,uvig_158293,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,26,uvig_169080,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,27,uvig_169680,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,28,uvig_173090,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,29,uvig_173692,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,30,uvig_17403,NA,MAYBE
Bs_exoA,GPD,Camarillo-Guerrero,31,uvig_174538,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,32,uvig_174818,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,33,uvig_178180,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,34,uvig_180035,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,35,uvig_182546,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,36,uvig_182703,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,37,uvig_189301,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,38,uvig_195377,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,39,uvig_196005,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,40,uvig_197009,NA,MAYBE
Bs_exoA,GPD,Camarillo-Guerrero,41,uvig_197376,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,42,uvig_198330,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,43,uvig_19871,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,44,uvig_199651,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,45,uvig_201725,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,46,uvig_202048,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,47,uvig_203617,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,48,uvig_203750,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,49,uvig_205710,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,50,uvig_209271,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,51,uvig_210902,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,52,uvig_211606,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,53,uvig_212893,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,54,uvig_21374,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,55,uvig_216314,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,56,uvig_221654,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,57,uvig_223186,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,58,uvig_229201,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,59,uvig_230170,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,60,uvig_242354,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,61,uvig_243532,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,62,uvig_244405,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,63,uvig_24555,NA,MAYBE
Bs_exoA,GPD,Camarillo-Guerrero,64,uvig_247950,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,65,uvig_2505,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,66,uvig_254602,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,67,uvig_258098,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,68,uvig_260823,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,69,uvig_261553,NA,MAYBE
Bs_exoA,GPD,Camarillo-Guerrero,70,uvig_291620,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,71,uvig_297643,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,72,uvig_304630,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,73,uvig_307607,NA,TRUE
Bs_exoA,GPD,Camarillo-Guerrero,74,uvig_310218,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,75,uvig_311283,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,76,uvig_312488,NA,MAYBE
Bs_exoA,GPD,Camarillo-Guerrero,77,uvig_319926,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,78,uvig_327562,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,79,uvig_329149,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,80,uvig_332006,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,81,uvig_341325,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,82,uvig_365549,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,83,uvig_381356,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,84,uvig_383331,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,85,uvig_389015,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,86,uvig_389082,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,87,uvig_397802,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,88,uvig_401219,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,89,uvig_405298,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,90,uvig_406232,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,91,uvig_407196,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,92,uvig_428592,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,93,uvig_428695,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,94,uvig_43091,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,95,uvig_433490,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,96,uvig_434269,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,97,uvig_445656,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,98,uvig_446218,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,99,uvig_449095,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,100,uvig_459674,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,101,uvig_459676,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,102,uvig_464927,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,103,uvig_465256,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,104,uvig_466266,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,105,uvig_469308,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,106,uvig_470267,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,107,uvig_486818,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,108,uvig_489164,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,109,uvig_493577,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,110,uvig_502439,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,111,uvig_505811,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,112,uvig_515786,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,113,uvig_532793,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,114,uvig_541925,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,115,uvig_544869,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,116,uvig_554378,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,117,uvig_566764,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,118,uvig_56870,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,119,uvig_571781,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,120,uvig_577594,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,121,uvig_579185,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,122,uvig_58351,NA,MAYBE
Bs_exoA,GPD,Camarillo-Guerrero,123,uvig_583979,NA,TRUE
Bs_exoA,GPD,Camarillo-Guerrero,124,uvig_585683,NA,TRUE
Bs_exoA,GPD,Camarillo-Guerrero,125,uvig_586168,NA,MAYBE
Bs_exoA,GPD,Camarillo-Guerrero,126,uvig_591551,NA,TRUE
Bs_exoA,GPD,Camarillo-Guerrero,127,uvig_592480,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,128,uvig_59733,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,129,uvig_59808,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,130,uvig_598221,NA,MAYBE
Bs_exoA,GPD,Camarillo-Guerrero,131,uvig_68073,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,132,uvig_70474,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,133,uvig_74362,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,134,uvig_75939,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,135,uvig_77476,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,136,uvig_87905,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,137,uvig_9142,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,138,uvig_92086,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,139,uvig_95786,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,140,uvig_97072,NA,FALSE
Bs_exoA,GPD,Camarillo-Guerrero,141,uvig_98813,NA,MAYBE
Bs_exoA,GVD,Gregory_gvd,1,Han_2018_ERR1398074_NODE_3_length_298235_cov_265.721423,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,2,Han_2018_ERR1398154_NODE_3281_length_6173_cov_9.956522,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,3,Han_2018_ERR1398254_NODE_39_length_150434_cov_120.278949,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,4,Ma_2019_SRR1778456_NODE_587_length_43395_cov_2.646170,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,5,Ma_2019_SRR341636_NODE_134_length_70412_cov_6.378740,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,6,Ma_2019_SRR341709_NODE_118_length_92168_cov_17.187129,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,7,Ma_2019_SRR413566_NODE_135_length_88474_cov_99.915652,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,8,Ma_2019_SRR413569_NODE_1182_length_15453_cov_2.768606,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,9,Ma_2019_SRR413598_NODE_18_length_196052_cov_7.336561,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,10,Ma_2019_SRR413612_NODE_347_length_45969_cov_2.920242,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,11,Ma_2019_SRR413614_NODE_1652_length_12022_cov_2.225119,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,12,Ma_2019_SRR413620_NODE_1344_length_13779_cov_4.731784,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,13,Ma_2019_SRR413626_NODE_949_length_14159_cov_6.076645,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,14,Ma_2019_SRR413629_NODE_60_length_113715_cov_4.704012,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,15,Ma_2019_SRR413656_NODE_249_length_45824_cov_5.787848,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,16,Ma_2019_SRR413671_NODE_333_length_46215_cov_7.899675,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,17,Ma_2019_SRR413714_NODE_205_length_79928_cov_21.460644,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,18,Ma_2019_SRR413721_NODE_72_length_137017_cov_17.141171,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,19,Ma_2019_SRR413762_NODE_7261_length_5362_cov_1.614283,NA,FALSE
Bs_exoA,GVD,Gregory_gvd,20,Zuo_2017_SRR5677794_NODE_53_length_26103_cov_6.169840,NA,TRUE
