focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_ysfB,CSUsets,Anaerobic_Digestors,1,VIRSorter_AD_CERC_C7A_k121_68018_flag_0_multi_72_2192_len_298311-cat_2,cat_2,MAYBE
Bs_ysfB,CSUsets,Anaerobic_Digestors,2,VIRSorter_AD_CERC_C8A_k121_102752_flag_0_multi_33_0028_len_149371-cat_2,cat_2,FALSE
Bs_ysfB,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_30_gene_47_gene_146-53824-154949-cat_4,cat_4,FALSE
Bs_ysfB,CSUsets,CT_feces,2,VIRSorter_CT_feces_enrich_feces_day27_scaffold_6_gene_266_gene_399-262705-378195-cat_5,cat_5,FALSE
Bs_ysfB,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA39_NP-F11_scaffold_404_gene_3_gene_15-1162-14268-cat_5,cat_5,FALSE
Bs_ysfB,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA47_NP-F11_scaffold_474_gene_4_gene_16-3401-16508-cat_5,cat_5,FALSE
Bs_ysfB,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA72_NP-F35_scaffold_231_gene_3_gene_15-1162-14269-cat_5,cat_5,FALSE
Bs_ysfB,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA80_NP-35_scaffold_506_gene_2_gene_12-331-11231-cat_5,cat_5,FALSE
Bs_ysfB,CSUsets,Huttenhower,1,VIRSorter_2027_megahit_k119_162558_flag_0_multi_15_8450_len_13437-cat_2,cat_2,MAYBE
Bs_ysfB,CSUsets,Huttenhower,2,VIRSorter_2039_megahit_k119_1216_flag_1_multi_11_0000_len_12375-cat_2,cat_2,MAYBE
Bs_ysfB,CSUsets,Huttenhower,3,VIRSorter_2039_megahit_k119_88373_flag_0_multi_215_9134_len_52250-cat_2,cat_2,FALSE
Bs_ysfB,CSUsets,Huttenhower,4,VIRSorter_2047_megahit_k119_96490_flag_0_multi_90_8564_len_11477-cat_2,cat_2,MAYBE
Bs_ysfB,CSUsets,Huttenhower,5,VIRSorter_2068_megahit_k119_191989_flag_0_multi_35_9929_len_99089-cat_2,cat_2,FALSE
Bs_ysfB,CSUsets,Huttenhower,6,VIRSorter_2084_megahit_k119_146861_flag_1_multi_16_0000_len_14518-cat_2,cat_2,MAYBE
Bs_ysfB,CSUsets,Huttenhower,7,VIRSorter_2103_megahit_k119_28439_flag_3_multi_64_7758_len_46216-circular-cat_2,cat_2,TRUE
Bs_ysfB,CSUsets,Huttenhower,8,VIRSorter_3004_megahit_k119_121371_flag_0_multi_42_9824_len_95547-cat_2,cat_2,MAYBE
Bs_ysfB,CSUsets,Huttenhower,9,VIRSorter_3006_megahit_k119_182760_flag_1_multi_16_0000_len_35050-cat_2,cat_2,FALSE
Bs_ysfB,CSUsets,Huttenhower,10,VIRSorter_3021_megahit_k119_164062_flag_0_multi_11_0000_len_23477-cat_2,cat_2,MAYBE
Bs_ysfB,CSUsets,Huttenhower,11,VIRSorter_3031_megahit_k119_137729_flag_0_multi_60_0251_len_63544-cat_2,cat_2,FALSE
Bs_ysfB,CSUsets,Huttenhower,12,VIRSorter_4006_megahit_k119_153257_flag_0_multi_19_5431_len_146697_gene_22_gene_124-22855-96140-cat_5,cat_5,FALSE
Bs_ysfB,CSUsets,Huttenhower,13,VIRSorter_4015_megahit_k119_2585_flag_0_multi_29_0000_len_62024-cat_2,cat_2,TRUE
Bs_ysfB,CSUsets,Huttenhower,14,VIRSorter_4032_megahit_k119_68705_flag_1_multi_13_0000_len_14474-cat_2,cat_2,MAYBE
Bs_ysfB,CSUsets,Huttenhower,15,VIRSorter_6012_megahit_k119_9824_flag_1_multi_27_9872_len_84443-circular-cat_2,cat_2,FALSE
Bs_ysfB,CSUsets,Huttenhower,16,VIRSorter_6024_megahit_k119_54125_flag_0_multi_20_9978_len_180860_gene_37_gene_179-36625-158601-cat_5,cat_5,FALSE
