focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_asd,CSUsets,CT_soil,1,VIRSorter_CT_soil_enrich_CT_day20_scaffold_5_gene_15_gene_135-17063-126965-cat_5,cat_5,FALSE
Bs_asd,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS015264_scaffold_198-cat_2-cat_2,cat_2,FALSE
Bs_asd,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS098061_scaffold_754-cat_2-cat_2,cat_2,FALSE
Bs_asd,CSUsets,Human_Microbiome_Project,3,VIRSorter_HMP_SRS149784_scaffold_411-cat_2-cat_2,cat_2,FALSE
Bs_asd,CSUsets,Huttenhower,1,VIRSorter_2027_megahit_k119_170940_flag_1_multi_12_9960_len_56998-cat_2,cat_2,FALSE
Bs_asd,CSUsets,Huttenhower,2,VIRSorter_2064_megahit_k119_298569_flag_0_multi_62_8691_len_119734_gene_30_gene_136-26423-119694-cat_5,cat_5,FALSE
Bs_asd,CSUsets,Huttenhower,3,VIRSorter_2069_megahit_k119_82867_flag_0_multi_127_9733_len_120604-cat_2,cat_2,FALSE
Bs_asd,CSUsets,Huttenhower,4,VIRSorter_2097_megahit_k119_75485_flag_1_multi_11_0000_len_19668-cat_2,cat_2,FALSE
Bs_asd,CSUsets,Huttenhower,5,VIRSorter_3004_megahit_k119_10820_flag_0_multi_38_9762_len_32067_gene_4_gene_15-6375-19320-cat_5,cat_5,FALSE
Bs_asd,CSUsets,Huttenhower,6,VIRSorter_3004_megahit_k119_77673_flag_1_multi_43_9925_len_228888_gene_59_gene_158-61913-146507-cat_4,cat_4,FALSE
Bs_asd,CSUsets,Huttenhower,7,VIRSorter_3031_megahit_k119_12026_flag_1_multi_22_9919_len_54377-cat_2,cat_2,FALSE
Bs_asd,CSUsets,Huttenhower,8,VIRSorter_3037_megahit_k119_30096_flag_0_multi_28_9842_len_113370-cat_2,cat_2,FALSE
