focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_glgA,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_feces_day27_scaffold_159-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA102_ANT-KO_scaffold_821-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Frac_DJ_basin,2,VIRSorter_DJKA107_ANT-F21_scaffold_323-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Frac_DJ_basin,3,VIRSorter_DJKA64_NP-F35_scaffold_593_gene_1_gene_10-0-10116-cat_5,cat_5,FALSE
Bs_glgA,CSUsets,Frac_DJ_basin,4,VIRSorter_DJKA87_NP-F11_scaffold_628_gene_1_gene_10-220-8368-cat_5,cat_5,FALSE
Bs_glgA,CSUsets,Huttenhower,1,VIRSorter_2039_megahit_k119_70054_flag_0_multi_56_2691_len_58132-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Huttenhower,2,VIRSorter_2064_megahit_k119_106246_flag_0_multi_29_9944_len_102849-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Huttenhower,3,VIRSorter_2068_megahit_k119_212318_flag_0_multi_26_3988_len_90163_gene_5_gene_86-4500-63023-cat_5,cat_5,FALSE
Bs_glgA,CSUsets,Huttenhower,4,VIRSorter_3011_megahit_k119_72710_flag_0_multi_17_9869_len_93312-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Huttenhower,5,VIRSorter_3037_megahit_k119_30096_flag_0_multi_28_9842_len_113370-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Huttenhower,6,VIRSorter_4014_megahit_k119_69741_flag_0_multi_71_5010_len_121163-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Huttenhower,7,VIRSorter_4014_megahit_k119_80372_flag_1_multi_21_0000_len_49450-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Huttenhower,8,VIRSorter_4035_megahit_k119_67602_flag_1_multi_55_0000_len_58003-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Huttenhower,9,VIRSorter_4039_megahit_k119_81460_flag_0_multi_25_0000_len_97732-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Huttenhower,10,VIRSorter_6033_megahit_k119_88524_flag_1_multi_23_9953_len_98768-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P130_scaffold_7_gene_142_gene_382-133408-391695-cat_5,cat_5,FALSE
Bs_glgA,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P135_scaffold_8889-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P139_scaffold_332_gene_10_gene_36-9648-33372-cat_5,cat_5,FALSE
Bs_glgA,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P140_scaffold_35_gene_1_gene_100-293-91677-cat_4,cat_4,FALSE
Bs_glgA,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P142_scaffold_2924-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P159_scaffold_387-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Methylamines,7,VIRSorter_NIH_meth_P27_scaffold_262-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Methylamines,8,VIRSorter_NIH_meth_P44_scaffold_19_gene_36_gene_170-32795-163543-cat_5,cat_5,FALSE
Bs_glgA,CSUsets,Methylamines,9,VIRSorter_NIH_meth_P54_scaffold_19_gene_156_gene_285-144946-271607-cat_5,cat_5,FALSE
Bs_glgA,CSUsets,Methylamines,10,VIRSorter_NIH_meth_P71_scaffold_0_gene_11_gene_246-9590-256217-cat_5,cat_5,FALSE
Bs_glgA,CSUsets,Salmonella_HFD,1,VIRSorter_5_10_2_1_no_mouse_final_contigs_ml25000_k141_145782_flag_0_multi_579_8743_len_202753_gene_61_gene_233-50471-195989-cat_5,cat_5,FALSE
Bs_glgA,CSUsets,Salmonella_HFD,2,VIRSorter_5_10_2_1_no_mouse_final_contigs_ml25000_k141_195042_flag_0_multi_50_1666_len_114362_gene_8_gene_71-8298-66721-cat_5,cat_5,FALSE
Bs_glgA,CSUsets,Salmonella_HFD,3,VIRSorter_5_10_2_1_no_mouse_final_contigs_ml25000_k141_237626_flag_0_multi_41_0000_len_144923_gene_1_gene_115-0-81503-cat_5,cat_5,FALSE
Bs_glgA,CSUsets,Salmonella_HFD,4,VIRSorter_5_10_2_5_no_mouse_final_contigs_ml25000_k141_27396_flag_0_multi_229_9029_len_82695-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Salmonella_HFD,5,VIRSorter_5_10_2_5_no_mouse_final_contigs_ml25000_k141_57818_flag_0_multi_480_8958_len_202753_gene_61_gene_233-50471-195989-cat_5,cat_5,FALSE
Bs_glgA,CSUsets,Salmonella_HFD,6,VIRSorter_5_10_2_8_no_mouse_final_contigs_ml25000_k141_101766_flag_0_multi_75_2536_len_148580_gene_68_gene_182-67078-148630-cat_5,cat_5,FALSE
Bs_glgA,CSUsets,Salmonella_HFD,7,VIRSorter_5_10_2_8_no_mouse_final_contigs_ml25000_k141_119647_flag_0_multi_283_5844_len_202756_gene_61_gene_233-50471-195992-cat_5,cat_5,FALSE
Bs_glgA,CSUsets,Salmonella_HFD,8,VIRSorter_5_14_2_1_no_mouse_final_contigs_ml25000_k141_168035_flag_0_multi_22_0918_len_119325_gene_41_gene_155-37817-119375-cat_5,cat_5,FALSE
Bs_glgA,CSUsets,Salmonella_HFD,9,VIRSorter_LP_idba_scaffold_2500_scaffold_654-cat_2,cat_2,FALSE
Bs_glgA,CSUsets,Salmonella_HFD,10,VIRSorter_LP_megahit_final_contigs_2500_k119_353447_flag_1_multi_18_5940_len_68344-cat_2,cat_2,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,1,ivig_1670,NA,MAYBE
Bs_glgA,GPD,Camarillo-Guerrero,2,ivig_2426,NA,MAYBE
Bs_glgA,GPD,Camarillo-Guerrero,3,ivig_3897,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,4,uvig_102947,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,5,uvig_106654,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,6,uvig_109524,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,7,uvig_111496,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,8,uvig_117385,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,9,uvig_119588,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,10,uvig_122693,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,11,uvig_123799,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,12,uvig_123814,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,13,uvig_12514,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,14,uvig_129506,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,15,uvig_134080,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,16,uvig_138962,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,17,uvig_139292,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,18,uvig_14016,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,19,uvig_145229,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,20,uvig_147038,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,21,uvig_151480,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,22,uvig_152831,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,23,uvig_159268,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,24,uvig_162712,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,25,uvig_163812,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,26,uvig_170031,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,27,uvig_178801,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,28,uvig_185786,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,29,uvig_188824,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,30,uvig_193527,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,31,uvig_194327,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,32,uvig_194994,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,33,uvig_19560,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,34,uvig_202044,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,35,uvig_204870,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,36,uvig_207988,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,37,uvig_216421,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,38,uvig_218579,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,39,uvig_227400,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,40,uvig_228174,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,41,uvig_228941,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,42,uvig_232887,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,43,uvig_232945,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,44,uvig_236403,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,45,uvig_23712,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,46,uvig_239374,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,47,uvig_247275,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,48,uvig_257519,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,49,uvig_257852,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,50,uvig_25895,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,51,uvig_268098,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,52,uvig_280868,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,53,uvig_281920,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,54,uvig_283484,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,55,uvig_285996,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,56,uvig_288096,NA,MAYBE
Bs_glgA,GPD,Camarillo-Guerrero,57,uvig_294331,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,58,uvig_294712,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,59,uvig_296027,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,60,uvig_296908,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,61,uvig_296916,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,62,uvig_298311,NA,MAYBE
Bs_glgA,GPD,Camarillo-Guerrero,63,uvig_301056,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,64,uvig_303993,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,65,uvig_319968,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,66,uvig_323792,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,67,uvig_326456,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,68,uvig_328003,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,69,uvig_335111,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,70,uvig_341169,NA,TRUE
Bs_glgA,GPD,Camarillo-Guerrero,71,uvig_354815,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,72,uvig_362277,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,73,uvig_362439,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,74,uvig_363317,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,75,uvig_363318,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,76,uvig_365301,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,77,uvig_366451,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,78,uvig_374832,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,79,uvig_377121,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,80,uvig_384909,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,81,uvig_38703,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,82,uvig_388064,NA,TRUE
Bs_glgA,GPD,Camarillo-Guerrero,83,uvig_389939,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,84,uvig_395912,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,85,uvig_396132,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,86,uvig_403478,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,87,uvig_40474,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,88,uvig_408061,NA,MAYBE
Bs_glgA,GPD,Camarillo-Guerrero,89,uvig_415234,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,90,uvig_433498,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,91,uvig_436013,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,92,uvig_437153,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,93,uvig_440187,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,94,uvig_440190,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,95,uvig_440873,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,96,uvig_45186,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,97,uvig_455760,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,98,uvig_459071,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,99,uvig_460749,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,100,uvig_462937,NA,MAYBE
Bs_glgA,GPD,Camarillo-Guerrero,101,uvig_466817,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,102,uvig_482629,NA,MAYBE
Bs_glgA,GPD,Camarillo-Guerrero,103,uvig_484645,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,104,uvig_490203,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,105,uvig_491084,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,106,uvig_497769,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,107,uvig_500508,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,108,uvig_504990,NA,FALSE
Bs_glgA,GPD,Camarillo-Guerrero,109,uvig_510752,NA,FALSE
