ko,bsu
K06337,BSU_30900
K06331,BSU_30920
K06345,BSU_27830
K06350,BSU_04090
K01028,BSU_38990
K01029,BSU_38980
K00019,BSU_38970
K01707,BSU_02460
K01706,BSU_02490
K01708,BSU_02510
K02483,BSU_02550
K01449,BSU_02600
K01113,BSU_02620
K03118,BSU_02640
K00560,BSU_17680
K01083,BSU_19800
K00963,BSU_30850
K01223,BSU_40110
K02886,BSU_01190
K02906,BSU_01160
K02926,BSU_01170
K02864,BSU_01040
K02892,BSU_01180
K03100,BSU_04010
K02361,BSU_31990
K02835,BSU_37010
K03147,BSU_08790
K02493,BSU_37000
K00626,BSU_24170
K00074,BSU_24160
K01720,BSU_24130
K01839,BSU_23500
K01887,BSU_37330
K02575,BSU_37320
K01222,BSU_38560
K00128,BSU_39860
K00057,BSU_22830
K02000,BSU_02980
K02001,BSU_02990
K02002,BSU_03000
K00995,BSU_16920
K02040,BSU_24990
K02037,BSU_24980
K02038,BSU_24970
K02036,BSU_24960
K02036,BSU_24950
K02160,BSU_24350
K00874,BSU_22110
K02525,BSU_22120
K02526,BSU_22090
K00065,BSU_22140
K01815,BSU_22130
K00525,BSU_17380
K00526,BSU_17390
K02933,BSU_01310
K02881,BSU_01320
K00260,BSU_22960
K01449,BSU_22930
K01823,BSU_22870
K01299,BSU_22080
K02356,BSU_24450
K00962,BSU_16690
K01579,BSU_22410
K00605,BSU_24570
K00282,BSU_24560
K00283,BSU_24550
K01448,BSU_01530
K00606,BSU_22430
K01918,BSU_22420
K01977,BSU__rRNA_1
K03183,BSU_22750
K00940,BSU_22730
K01657,BSU_22680
K01817,BSU_22650
K01696,BSU_22640
K01695,BSU_22630
K00800,BSU_22600
K03091,BSU_23450
K01424,BSU_23580
K01744,BSU_23570
K00167,BSU_24040
K00166,BSU_24050
K02316,BSU_25210
K03086,BSU_25200
K01873,BSU_28090
K02888,BSU_27960
K02899,BSU_27940
K01338,BSU_28200
K02497,BSU_28160
K01719,BSU_28140
K01698,BSU_28130
K01845,BSU_28120
K00928,BSU_28470
K00989,BSU_28370
K01868,BSU_28950
K01895,BSU_29680
K01866,BSU_29670
K02986,BSU_29660
K01679,BSU_33040
K00692,BSU_34450
K02398,BSU_35430
K02396,BSU_35410
K00963,BSU_35670
K01791,BSU_35660
K01448,BSU_35620
K03048,BSU_37160
K01937,BSU_37150
K01624,BSU_37120
K00790,BSU_37100
K02446,BSU_37090
K02909,BSU_37070
K01868,BSU_37560
K01915,BSU_17460
K01599,BSU_10120
K01772,BSU_10130
K00231,BSU_10140
K01179,BSU_18130
K02988,BSU_01330
K02907,BSU_01340
K02876,BSU_01350
K03076,BSU_01360
K00939,BSU_01370
K01265,BSU_01380
K00980,BSU_35740
K01809,BSU_35790
K00891,BSU_03150
K00003,BSU_32260
K00259,BSU_31930
K01575,BSU_36000
K01176,BSU_03040
K01489,BSU_25300
K01681,BSU_18000
K01493,BSU_25580
K01447,BSU_25900
K00058,BSU_23070
K01586,BSU_23380
K03100,BSU_23310
K00793,BSU_23270
K02859,BSU_23240
K03088,BSU_23100
K02400,BSU_16390
K02401,BSU_16380
K02404,BSU_16400
K00826,BSU_38550
