"","strain","locus_tag","symbol","description","ko"
"1","cdf","CD630_00160","dnaX"," DNA polymerase III subunits gamma and tau","K02343"
"2","cdf","CD630_00170",NA,"DNA binding protein","K09747"
"3","cdf","CD630_00470","ispD"," 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase","K00991"
"4","cdf","CD630_00480","ispF"," 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","K01770"
"5","cdf","CD630_01060","cwlD"," Germination-specific N-acetylmuramoyl-L-alanine amidase, Autolysin","K01448"
"6","cdf","CD630_01190","glmM"," Phosphoglucosamine mutase","K03431"
"7","cdf","CD630_01200","glmS"," Glucosamine--fructose-6-phosphate aminotransferase [isomerizing]","K00820"
"8","cdf","CD630_01240","spoIID"," Stage II sporulation protein D","K06381"
"9","cdf","CD630_01260","spoIIID"," Stage III sporulation protein D","K06283"
"10","cdf","CD630_02510","fliI"," ATP synthase subunit beta FliI","K02412"
"11","cdf","CD630_02750","splB"," Spore photoproduct (thymine dimer) lyase,radical S-adenosylmethionine superfamily","K03716"
"12","cdf","CD630_05570",NA,"putative uridine kinase","K00876"
"13","cdf","CD630_05800","gapN"," Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (GADPH)","K00131"
"14","cdf","CD630_05970","cotF"," Spore coat peptide assembly protein CotF","K06333"
"15","cdf","CD630_05980","cotCB"," Spore-coat protein, manganese catalase","K06334"
"16","cdf","CD630_06290",NA,"Transcriptional regulator, Crp family","K01420"
"17","cdf","CD630_06840",NA,"putative ATP-dependent peptidase, M41 family","K03798"
"18","cdf","CD630_07490",NA,"putative DNA helicase, UvrD/REP type","K03657"
"19","cdf","CD630_07600",NA,"putative Ca2+/Na+ antiporter","K07301"
"20","cdf","CD630_07610",NA,"putative ATP-dependent RNA helicase","K05592"
"21","cdf","CD630_07700","spoIIAA"," Anti-sigma F factor antagonist","K06378"
"22","cdf","CD630_07710","spoIIAB"," Anti-sigma F factor (Stage II sporulation protein AB)","K06379"
"23","cdf","CD630_07720","sigF"," RNA polymerase sigma-F factor","K03091"
"24","cdf","CD630_07730","spoVAC"," Stage V sporulation protein AC","K06405"
"25","cdf","CD630_07740","spoVAD"," Stage V sporulation protein AD","K06406"
"26","cdf","CD630_07750","spoVAE"," Stage V sporulation protein AE","K06407"
"27","cdf","CD630_07840",NA,"putative N-acetylmuramoyl-L-alanine amidase","K01448"
"28","cdf","CD630_07920",NA,"putative membrane protein, DUF81 family","K07090"
"29","cdf","CD630_07930",NA,"putative membrane protein, DUF81 family","K07090"
"30","cdf","CD630_11280","polA"," DNA polymerase I (POLI)","K02335"
"31","cdf","CD630_11290","coaE"," Dephospho-CoA kinase (Dephosphocoenzyme A kinase)","K00859"
"32","cdf","CD630_11300",NA,"putative lytic transglycosylase-like protein","K08309"
