focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_dapA,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_CT_feces_day17_scaffold_30_gene_47_gene_146-53824-154949-cat_4,cat_4,FALSE
Bs_dapA,CSUsets,CT_feces,2,VIRSorter_CT_feces_enrich_feces_day27_scaffold_152_gene_20_gene_119-19682-118828-cat_5,cat_5,FALSE
Bs_dapA,CSUsets,CT_soil,1,VIRSorter_CT_soil_enrich_noCT_day10_scaffold_78_gene_29_gene_67-27076-61602-cat_5,cat_5,FALSE
Bs_dapA,CSUsets,Frac_DJ_basin,1,VIRSorter_DJKA62_ANT-KO_scaffold_1434-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Frack_STACK,1,VIRSorter_Widges3_VIRSorter_scaffold_1221-cat_2-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Fractured_shale,1,VIRSorter_shale_K_1_A_K-1-A_scaffold_776-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Fractured_shale,2,VIRSorter_shale_W_3__scaffold_1221-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS015264_scaffold_198-cat_2-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS148253_scaffold_7_gene_1_gene_41-0-41717-cat_5-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Human_Microbiome_Project,3,VIRSorter_HMP_SRS149784_scaffold_411-cat_2-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Huttenhower,1,VIRSorter_2021_megahit_k119_47697_flag_0_multi_57_5548_len_261482_gene_90_gene_189-115201-232229-cat_4,cat_4,FALSE
Bs_dapA,CSUsets,Huttenhower,2,VIRSorter_2028_megahit_k119_71856_flag_0_multi_272_9410_len_184559_gene_65_gene_169-78693-184609-cat_5,cat_5,FALSE
Bs_dapA,CSUsets,Huttenhower,3,VIRSorter_2060_megahit_k119_15884_flag_0_multi_69_8094_len_251716_gene_81_gene_230-95623-251766-cat_5,cat_5,FALSE
Bs_dapA,CSUsets,Huttenhower,4,VIRSorter_2069_megahit_k119_82867_flag_0_multi_127_9733_len_120604-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Huttenhower,5,VIRSorter_2079_megahit_k119_60662_flag_0_multi_175_9761_len_292655_gene_145_gene_257-163461-291208-cat_5,cat_5,FALSE
Bs_dapA,CSUsets,Huttenhower,6,VIRSorter_3031_megahit_k119_12026_flag_1_multi_22_9919_len_54377-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Huttenhower,7,VIRSorter_4004_megahit_k119_11326_flag_1_multi_14_0000_len_14727_gene_7_gene_16-3989-14776-cat_5,cat_5,FALSE
Bs_dapA,CSUsets,Huttenhower,8,VIRSorter_4004_megahit_k119_21995_flag_1_multi_19_9980_len_194836_gene_15_gene_114-15911-104823-cat_4,cat_4,FALSE
Bs_dapA,CSUsets,Huttenhower,9,VIRSorter_4018_megahit_k119_26051_flag_0_multi_32_9933_len_191774_gene_105_gene_205-103628-191824-cat_5,cat_5,FALSE
Bs_dapA,CSUsets,Huttenhower,10,VIRSorter_4023_megahit_k119_29752_flag_1_multi_18_7717_len_68695-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Huttenhower,11,VIRSorter_4028_megahit_k119_117112_flag_0_multi_37_3412_len_238361_gene_43_gene_170-47693-178856-cat_5,cat_5,FALSE
Bs_dapA,CSUsets,Huttenhower,12,VIRSorter_4045_megahit_k119_138568_flag_0_multi_124_9800_len_247996_gene_126_gene_230-143272-248046-cat_5,cat_5,FALSE
Bs_dapA,CSUsets,Huttenhower,13,VIRSorter_6005_megahit_k119_120961_flag_0_multi_17_5781_len_127668-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Huttenhower,14,VIRSorter_6018_megahit_k119_143143_flag_0_multi_31_9610_len_255982_gene_100_gene_199-103960-192244-cat_4,cat_4,FALSE
Bs_dapA,CSUsets,Huttenhower,15,VIRSorter_6024_megahit_k119_59277_flag_0_multi_17_1496_len_48900-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Huttenhower,16,VIRSorter_6035_megahit_k119_98124_flag_0_multi_11_9951_len_45147-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Methylamines,1,VIRSorter_NIH_meth_P13_scaffold_75_gene_205_gene_304-238553-341967-cat_5,cat_5,FALSE
Bs_dapA,CSUsets,Methylamines,2,VIRSorter_NIH_meth_P139_scaffold_319-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Methylamines,3,VIRSorter_NIH_meth_P20_scaffold_114-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Methylamines,4,VIRSorter_NIH_meth_P21_scaffold_166-cat_2,cat_2,FALSE
Bs_dapA,CSUsets,Methylamines,5,VIRSorter_NIH_meth_P31_scaffold_17_gene_1_gene_134-0-137624-cat_5,cat_5,FALSE
Bs_dapA,CSUsets,Methylamines,6,VIRSorter_NIH_meth_P36_scaffold_401-cat_2,cat_2,FALSE
