focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Cd_cysE,CSUsets,Anaerobic_Digestors,1,VIRSorter_AD_CERC_C1A_k121_690556_flag_1_multi_19_0000_len_41261-cat_2,cat_2,FALSE
Cd_cysE,CSUsets,Anaerobic_Digestors,2,VIRSorter_AD_CERC_C7A_k121_169456_flag_0_multi_221_0000_len_11931-cat_2,cat_2,FALSE
Cd_cysE,CSUsets,Anaerobic_Digestors,3,VIRSorter_AD_CERC_C7A_k121_18704_flag_0_multi_51_5194_len_112620_gene_9_gene_106-4790-95673-cat_4,cat_4,FALSE
Cd_cysE,CSUsets,Anaerobic_Digestors,4,VIRSorter_AD_CERC_C7A_k121_267218_flag_0_multi_67_9926_len_109514-cat_2,cat_2,FALSE
Cd_cysE,CSUsets,Anaerobic_Digestors,5,VIRSorter_AD_CERC_C8A_k121_13425_flag_0_multi_102_5157_len_109514-cat_2,cat_2,FALSE
Cd_cysE,CSUsets,Anaerobic_Digestors,6,VIRSorter_AD_CERC_C8A_k121_18808_flag_0_multi_49_5922_len_112251_gene_33_gene_132-16579-107462-cat_4,cat_4,FALSE
Cd_cysE,CSUsets,Anaerobic_Digestors,7,VIRSorter_AD_CERC_C8A_k121_21578_flag_1_multi_349_5037_len_19623_gene_8_gene_18-7640-19397-cat_5,cat_5,FALSE
Cd_cysE,CSUsets,Anaerobic_Digestors,8,VIRSorter_AD_CERC_C8A_k121_55198_flag_0_multi_42_9945_len_19141_gene_7_gene_18-8138-18712-cat_5,cat_5,FALSE
Cd_cysE,CSUsets,Anaerobic_Digestors,9,VIRSorter_AD_CERC_C8A_k121_99735_flag_1_multi_338_2923_len_36974_gene_11_gene_34-9764-36995-cat_5,cat_5,FALSE
Cd_cysE,CSUsets,Anaerobic_Digestors,10,VIRSorter_AD_CERC_I1A_k121_959139_flag_0_multi_25_0001_len_81475_gene_1_gene_66-0-59673-cat_5,cat_5,FALSE
Cd_cysE,CSUsets,Anaerobic_Digestors,11,VIRSorter_AD_CERC_I3A_k121_19101_flag_0_multi_261_3116_len_57341-cat_2,cat_2,FALSE
Cd_cysE,CSUsets,Anaerobic_Digestors,12,VIRSorter_AD_CERC_I3A_k121_19979_flag_0_multi_121_9838_len_13117-cat_2,cat_2,FALSE
Cd_cysE,CSUsets,Anaerobic_Digestors,13,VIRSorter_AD_CERC_I7A_k121_84970_flag_1_multi_46_0326_len_109346-cat_2,cat_2,FALSE
Cd_cysE,CSUsets,Anaerobic_Digestors,14,VIRSorter_AD_CERC_I8A_k121_13840_flag_0_multi_79_0434_len_109514-cat_2,cat_2,FALSE
Cd_cysE,CSUsets,Anaerobic_Digestors,15,VIRSorter_AD_CERC_I8A_k121_28972_flag_1_multi_61_1951_len_104990-cat_2,cat_2,FALSE
Cd_cysE,CSUsets,CT_feces,1,VIRSorter_CT_feces_enrich_feces_day27_scaffold_270-cat_2,cat_2,FALSE
