gene_id,nonsporulator.host,sporulator.host,spor_gene,M,N,K,p.val,adj.p,sig,n_spor_gene,spor_description,print.lab,lab,bs,cd
K01356,16,69,sporulation_gene,3036,10571,85,6.253664664639511e-32,8.793614620739249e-31,TRUE,1,lexA;lexa repressor,TRUE,K01356(1),lexA [lexa repressor],NA
K01449,20,59,sporulation_gene,3036,10571,79,4.484761976318638e-24,6.118018576649607e-23,TRUE,3,"cwlJ;cell wall hydrolase CwlJ,sleB;spore cortex-lytic enzyme,putative spore cortex-lytic hydrolase",TRUE,K01449(3),cwlJ [cell wall hydrolase CwlJ];sleB [spore cortex-lytic enzyme],NA
K03469,82,99,sporulation_gene,3036,10571,181,3.8233673407431555e-22,5.139055513881242e-21,TRUE,1,ypeP;hypothetical protein,TRUE,K03469(1),ypeP [hypothetical protein],NA
K07171,63,81,sporulation_gene,3036,10571,144,1.6811989934966409e-19,2.2269795363129416e-18,TRUE,1,Endoribonuclease toxin,TRUE,K07171(1),NA,EndoA [Endoribonuclease toxin]
K03091,28,47,sporulation_gene,3036,10571,75,1.042709288304818e-14,1.3614804135865772e-13,TRUE,8,"sigH;RNA polymerase sigma-H factor,sigE;RNA polymerase sigma-E factor,sigG;RNA polymerase sigma-G factor,sigF;RNA polymerase sigma-F factor,RNA polymerase sigma-F factor,Sigma K,RNA polymerase sigma-G factor,RNA polymerase sigma-E factor",TRUE,K03091(8),sigH [RNA polymerase sigma-H factor];sigE [RNA polymerase sigma-E factor];sigG [RNA polymerase sigma-G factor];sigF [RNA polymerase sigma-F factor],sigF [RNA polymerase sigma-F factor];sigK [Sigma K];sigG [RNA polymerase sigma-G factor];sigE [RNA polymerase sigma-E factor]
K06334,9,31,sporulation_gene,3036,10571,40,1.3972792245784111e-14,1.798751001781222e-13,TRUE,3,"cotJC;spore coat peptide assembly protein CotJC,Spore-coat protein, manganese catalase,Spore coat protein, manganese catalase",TRUE,K06334(3),cotJC [spore coat peptide assembly protein CotJC],"cotCB [Spore-coat protein, manganese catalase];cotD [Spore coat protein, manganese catalase]"
K02051,16,30,sporulation_gene,3036,10571,46,7.804435112434756e-11,9.771580401048446e-10,TRUE,1,ytlA;ABC transporter substrate-binding protein YtlA,TRUE,K02051(1),ytlA [ABC transporter substrate-binding protein YtlA],NA
K23989,1,12,sporulation_gene,3036,10571,13,3.3291177131984854e-9,4.1119102565721836e-8,TRUE,1,lytD;beta-N-acetylglucosaminidase,TRUE,K23989(1),lytD [beta-N-acetylglucosaminidase],NA
K06333,6,18,sporulation_gene,3036,10571,24,5.222925758323074e-9,6.365005524143053e-8,TRUE,3,"cotJB;spore coat protein CotJB,Spore coat peptide assembly protein CotF,Spore coat peptide assembly protein CotJB 2",TRUE,K06333(3),cotJB [spore coat protein CotJB],cotF [Spore coat peptide assembly protein CotF];cotJB2 [Spore coat peptide assembly protein CotJB 2]
K07097,7,17,sporulation_gene,3036,10571,24,5.9066318077537545e-8,6.921360861906321e-7,TRUE,1,nrnB;oligoribonuclease NrnB,TRUE,K07097(1),nrnB [oligoribonuclease NrnB],NA
K04769,6,15,sporulation_gene,3036,10571,21,2.3084747698482753e-7,2.4534255112108413e-6,TRUE,2,"spoVT;stage V sporulation protein T,Stage V sporulation protein T",TRUE,K04769(2),spoVT [stage V sporulation protein T],spoVT [Stage V sporulation protein T]
K02049,8,16,sporulation_gene,3036,10571,24,5.435880574115186e-7,5.5204387163792e-6,TRUE,1,ytlC;ABC transporter ATP-binding protein,TRUE,K02049(1),ytlC [ABC transporter ATP-binding protein],NA
K01448,225,113,sporulation_gene,3036,10571,338,7.423315810439164e-7,7.45594577004549e-6,TRUE,6,"cwlD;germination-specific N-acetylmuramoyl-L-alanine amidase,cwlC;sporulation-specific N-acetylmuramoyl-L-alanine amidase,Germination-specific N-acetylmuramoyl-L-alanine amidase, Autolysin,putative N-acetylmuramoyl-L-alanine amidase,putative phage-related cell wall hydrolase (endolysin),putative N-acetylmuramoyl-L-alanine amidase",TRUE,K01448(6),cwlD [germination-specific N-acetylmuramoyl-L-alanine amidase];cwlC [sporulation-specific N-acetylmuramoyl-L-alanine amidase],NA
K08384,1,8,sporulation_gene,3036,10571,9,1.3578417041339977e-6,1.320284380402632e-5,TRUE,2,"spoVD;stage V sporulation protein D,Stage V sporulation protein D (Sporulation-specific penicillin-binding protein)",TRUE,K08384(2),spoVD [stage V sporulation protein D],spoVD [Stage V sporulation protein D (Sporulation-specific penicillin-binding protein)]
K00626,12,18,sporulation_gene,3036,10571,30,1.6331000064245508e-6,1.571214111444252e-5,TRUE,1,mmgA;acetyl-CoA acetyltransferase,TRUE,K00626(1),mmgA [acetyl-CoA acetyltransferase],NA
K00688,20,21,sporulation_gene,3036,10571,41,1.1818786061723051e-5,1.1022827000423338e-4,TRUE,1,glgP;glycogen phosphorylase,TRUE,K00688(1),glgP [glycogen phosphorylase],NA
K07699,39,28,sporulation_gene,3036,10571,67,1.0214682020897505e-4,8.80775411990596e-4,TRUE,2,"spo0A;stage 0 sporulation protein A,Stage 0 sporulation protein A",TRUE,K07699(2),spo0A [stage 0 sporulation protein A],spo0A [Stage 0 sporulation protein A]
