focal_gene,set_group,set,idx,scaffold,v.cat,skim_plot_isViral
Bs_clsA,CSUsets,Human_Microbiome_Project,1,VIRSorter_HMP_SRS015133_scaffold_5660-cat_2-cat_2,cat_2,FALSE
Bs_clsA,CSUsets,Human_Microbiome_Project,2,VIRSorter_HMP_SRS019062_scaffold_2057-cat_2-cat_2,cat_2,FALSE
Bs_clsA,CSUsets,Human_Microbiome_Project,3,VIRSorter_HMP_SRS144537_scaffold_585-cat_2-cat_2,cat_2,FALSE
Bs_clsA,CSUsets,Huttenhower,1,VIRSorter_2034_megahit_k119_253501_flag_0_multi_11_9842_len_14066-cat_2,cat_2,MAYBE
Bs_clsA,CSUsets,Huttenhower,2,VIRSorter_2047_megahit_k119_120221_flag_1_multi_66_2870_len_107457-cat_2,cat_2,FALSE
Bs_clsA,CSUsets,Huttenhower,3,VIRSorter_2064_megahit_k119_380402_flag_0_multi_368_6697_len_178372_gene_53_gene_177-58022-178422-cat_5,cat_5,FALSE
Bs_clsA,CSUsets,Huttenhower,4,VIRSorter_2068_megahit_k119_23579_flag_1_multi_10_0000_len_12974-cat_2,cat_2,FALSE
Bs_clsA,CSUsets,Huttenhower,5,VIRSorter_2079_megahit_k119_81216_flag_0_multi_41_9870_len_125883-cat_2,cat_2,FALSE
Bs_clsA,CSUsets,Huttenhower,6,VIRSorter_2097_megahit_k119_26076_flag_0_multi_37_9607_len_38417-cat_2,cat_2,FALSE
Bs_clsA,CSUsets,Huttenhower,7,VIRSorter_3002_megahit_k119_3669_flag_0_multi_134_9217_len_167819_gene_5_gene_109-4088-82127-cat_5,cat_5,FALSE
Bs_clsA,CSUsets,Huttenhower,8,VIRSorter_3004_megahit_k119_88099_flag_0_multi_18_8708_len_19624-cat_2,cat_2,MAYBE
Bs_clsA,CSUsets,Huttenhower,9,VIRSorter_3008_megahit_k119_136816_flag_0_multi_24_8176_len_22684-cat_2,cat_2,FALSE
Bs_clsA,CSUsets,Huttenhower,10,VIRSorter_3021_megahit_k119_65176_flag_0_multi_41_3941_len_56203-cat_2,cat_2,FALSE
Bs_clsA,CSUsets,Huttenhower,11,VIRSorter_3028_megahit_k119_9452_flag_0_multi_107_9639_len_59446-cat_2,cat_2,FALSE
Bs_clsA,CSUsets,Huttenhower,12,VIRSorter_4009_megahit_k119_102078_flag_0_multi_101_9845_len_130729-cat_2,cat_2,FALSE
